Dataset_id,Name,Provider,Snippet,Tags,DOI,Website
Dataset_11,BLM AIM TerrADat TerrestrialAIM Point v1,US Department of Interior Bureau of Land Management (BLM),BLM/AIM/v1/TerrADat/TerrestrialAIM,"blm, hydrology, vegetation",,https://developers.google.com/earth-engine/datasets/catalog/BLM_AIM_v1_TerrADat_TerrestrialAIM
Dataset_12,CCNL: Consistent And Corrected Nighttime Light Dataset from DMSP-OLS (1992-2013) v1,Beijng Normal University,BNU/FGS/CCNL/v1,"dmsp, eog, imagery, lights, nighttime, ols, visible, yearly",,https://developers.google.com/earth-engine/datasets/catalog/BNU_FGS_CCNL_v1
Dataset_13,PML_V2 0.1.7: Coupled Evapotranspiration and Gross Primary Product (GPP),PML_V2,CAS/IGSNRR/PML/V2_v017,"evapotranspiration, gpp",https://doi.org/10.1002/eco.1974,https://developers.google.com/earth-engine/datasets/catalog/CAS_IGSNRR_PML_V2_v017
Dataset_14,SRTM Digital Elevation Data Version 4,NASA/CGIAR,CGIAR/SRTM90_V4,"dem, elevation, geophysical, srtm, topography",,https://developers.google.com/earth-engine/datasets/catalog/CGIAR_SRTM90_V4
Dataset_15,GPWv411: Basic Demographic Characteristics (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_Basic_Demographic_Characteristics,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H46M34XX,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Basic_Demographic_Characteristics
Dataset_16,GPWv411: Data Context (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_Data_Context,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H42Z13KG,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Data_Context
Dataset_17,GPWv411: Land Area (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_Land_Area,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H4Z60M4Z,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Land_Area
Dataset_18,GPWv411: Mean Administrative Unit Area (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_Mean_Administrative_Unit_Area,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H42Z13KG,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Mean_Administrative_Unit_Area
Dataset_19,GPWv411: National Identifier Grid (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_National_Identifier_Grid,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H4TD9VDP,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_National_Identifier_Grid
Dataset_20,GPWv411: Population Count (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_Population_Count,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H4JW8BX5,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Population_Count
Dataset_21,GPWv411: Population Density (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_Population_Density,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H49C6VHW,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Population_Density
Dataset_22,GPWv411: Adjusted to Match 2015 Revision of UN WPP Country Totals (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Count,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H4PN93PB,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Count
Dataset_23,GPWv411: UN-Adjusted Population Density (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_UNWPP-Adjusted_Population_Density,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H4F47M65,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_UNWPP-Adjusted_Population_Density
Dataset_24,GPWv411: Water Area (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_Water_Area,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H4Z60M4Z,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Water_Area
Dataset_25,GPWv411: Water Mask (Gridded Population of the World Version 4.11),NASA SEDAC at the Center for International Earth Science Information Network,CIESIN/GPWv411/GPW_Water_Mask,"ciesin, gpw, nasa, population",https://doi.org/10.7927/H42Z13KG,https://developers.google.com/earth-engine/datasets/catalog/CIESIN_GPWv411_GPW_Water_Mask
Dataset_26,Copernicus CORINE Land Cover,EEA/Copernicus,COPERNICUS/CORINE/V20/100m,"copernicus, eea, esa, eu, landcover",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_CORINE_V20_100m
Dataset_27,Copernicus DEM GLO-30: Global 30m Digital Elevation Model,Copernicus,COPERNICUS/DEM/GLO30,"copernicus, dem, elevation, geophysical",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_DEM_GLO30
Dataset_28,Copernicus Global Land Cover Layers: CGLS-LC100 Collection 3,Copernicus,COPERNICUS/Landcover/100m/Proba-V-C3/Global,"copernicus, eea, esa, eu, landcover, proba, probav, vito",https://doi.org/10.5281/ZENODO.3518036,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_Landcover_100m_Proba-V-C3_Global
Dataset_29,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",European Union/ESA/Copernicus,COPERNICUS/S1_GRD,"copernicus, esa, eu, radar, sar, sentinel",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S1_GRD
Dataset_30,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",European Union/ESA/Copernicus,COPERNICUS/S2,"copernicus, esa, eu, msi, radiance, sentinel",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2
Dataset_31,Sentinel-2: Cloud Probability,European Union/ESA/Copernicus/SentinelHub,COPERNICUS/S2_CLOUD_PROBABILITY,"cloud, copernicus, esa, eu, msi, radiance, sentinel",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_CLOUD_PROBABILITY
Dataset_32,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",European Union/ESA/Copernicus,COPERNICUS/S2_HARMONIZED,"copernicus, esa, eu, msi, radiance, sentinel",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_HARMONIZED
Dataset_33,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",European Union/ESA/Copernicus,COPERNICUS/S2_SR,"copernicus, esa, eu, msi, reflectance, sentinel, sr",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_SR
Dataset_34,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",European Union/ESA/Copernicus,COPERNICUS/S2_SR_HARMONIZED,"copernicus, esa, eu, msi, reflectance, sentinel, sr",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S2_SR_HARMONIZED
Dataset_35,Sentinel-3 OLCI EFR: Ocean and Land Color Instrument Earth Observation Full Resolution,European Union/ESA/Copernicus,COPERNICUS/S3/OLCI,"copernicus, esa, eu, radiance, sentinel, toa",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S3_OLCI
Dataset_36,Sentinel-5P NRTI AER AI: Near Real-Time UV Aerosol Index,European Union/ESA/Copernicus,COPERNICUS/S5P/NRTI/L3_AER_AI,"aai, aerosol, air-quality, copernicus, esa, eu, knmi, pollution, s5p, sentinel, tropomi, uvai",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_AER_AI
Dataset_37,Sentinel-5P NRTI AER LH: Near Real-Time UV Aerosol Layer Height,European Union/ESA/Copernicus,COPERNICUS/S5P/NRTI/L3_AER_LH,"aerosol, air-quality, alh, copernicus, esa, eu, knmi, pollution, s5p, sentinel, tropomi, uvai",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_AER_LH
Dataset_38,Sentinel-5P NRTI CLOUD: Near Real-Time Cloud,European Union/ESA/Copernicus,COPERNICUS/S5P/NRTI/L3_CLOUD,"climate, cloud, copernicus, dlr, esa, eu, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_CLOUD
Dataset_39,Sentinel-5P NRTI CO: Near Real-Time Carbon Monoxide,European Union/ESA/Copernicus,COPERNICUS/S5P/NRTI/L3_CO,"air-quality, carbon-monoxide, copernicus, esa, eu, knmi, pollution, s5p, sentinel, sron, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_CO
Dataset_40,Sentinel-5P NRTI HCHO: Near Real-Time Formaldehyde,European Union/ESA/Copernicus,COPERNICUS/S5P/NRTI/L3_HCHO,"air-quality, bira, copernicus, dlr, esa, eu, formaldehyde, hcho, pollution, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_HCHO
Dataset_41,Sentinel-5P NRTI NO2: Near Real-Time Nitrogen Dioxide,European Union/ESA/Copernicus,COPERNICUS/S5P/NRTI/L3_NO2,"air-quality, copernicus, esa, eu, knmi, nitrogen-dioxide, no2, pollution, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_NO2
Dataset_42,Sentinel-5P NRTI O3: Near Real-Time Ozone,European Union/ESA/Copernicus,COPERNICUS/S5P/NRTI/L3_O3,"air-quality, copernicus, esa, eu, o3, ozone, pollution, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_O3
Dataset_43,Sentinel-5P NRTI SO2: Near Real-Time Sulfur Dioxide,European Union/ESA/Copernicus,COPERNICUS/S5P/NRTI/L3_SO2,"air-quality, bira, copernicus, dlr, esa, eu, pollution, s5p, sentinel, so2, sulfur-dioxide, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_NRTI_L3_SO2
Dataset_44,Sentinel-5P OFFL AER AI: Offline UV Aerosol Index,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_AER_AI,"aai, aerosol, air-quality, copernicus, esa, eu, knmi, pollution, s5p, sentinel, tropomi, uvai",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_AER_AI
Dataset_45,Sentinel-5P OFFL AER LH: Offline UV Aerosol Layer Height,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_AER_LH,"aerosol, air-quality, alh, copernicus, esa, eu, knmi, pollution, s5p, sentinel, tropomi, uvai",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_AER_LH
Dataset_46,Sentinel-5P OFFL CH4: Offline Methane,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_CH4,"climate, copernicus, esa, eu, knmi, s5p, sentinel, sron, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_CH4
Dataset_47,Sentinel-5P OFFL CLOUD: Near Real-Time Cloud,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_CLOUD,"climate, cloud, copernicus, dlr, esa, eu, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_CLOUD
Dataset_48,Sentinel-5P OFFL CO: Offline Carbon Monoxide,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_CO,"air-quality, carbon-monoxide, copernicus, esa, eu, knmi, pollution, s5p, sentinel, sron, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_CO
Dataset_49,Sentinel-5P OFFL HCHO: Offline Formaldehyde,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_HCHO,"air-quality, bira, copernicus, dlr, esa, eu, formaldehyde, hcho, pollution, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_HCHO
Dataset_50,Sentinel-5P OFFL NO2: Offline Nitrogen Dioxide,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_NO2,"air-quality, copernicus, esa, eu, knmi, nitrogen-dioxide, no2, pollution, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_NO2
Dataset_51,Sentinel-5P OFFL O3: Offline Ozone,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_O3,"air-quality, copernicus, esa, eu, o3, ozone, pollution, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_O3
Dataset_52,Sentinel-5P OFFL O3 TCL: Offline Tropospheric Ozone,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_O3_TCL,"air-quality, copernicus, esa, eu, o3, ozone, pollution, s5p, sentinel, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_O3_TCL
Dataset_53,Sentinel-5P OFFL SO2: Offline Sulfur Dioxide,European Union/ESA/Copernicus,COPERNICUS/S5P/OFFL/L3_SO2,"air-quality, bira, copernicus, dlr, esa, eu, pollution, s5p, sentinel, so2, sulfur-dioxide, tropomi",,https://developers.google.com/earth-engine/datasets/catalog/COPERNICUS_S5P_OFFL_L3_SO2
Dataset_54,CryoSat-2 Antarctica 1km DEM,CPOM,CPOM/CryoSat2/ANTARCTICA_DEM,"antarctica, dem, elevation, polar",https://doi.org/10.5194/tc-2017-223,https://developers.google.com/earth-engine/datasets/catalog/CPOM_CryoSat2_ANTARCTICA_DEM
Dataset_55,"SPEIbase: Standardised Precipitation-Evapotranspiration Index database, Version 2.8",Spanish National Research Council (CSIC),CSIC/SPEI/2_8,"climate, climate-change, drought, evapotranspiration, global, monthly, palmer, precipitation, temperature",https://doi.org/10.1175/2009JCLI2909.1,https://developers.google.com/earth-engine/datasets/catalog/CSIC_SPEI_2_8
Dataset_56,SLGA: Soil and Landscape Grid of Australia (Soil Attributes),CSIRO/SLGA,CSIRO/SLGA,"australia, csiro, soil, tern",https://doi.org/10.4225/08/546ED604ADD8A,https://developers.google.com/earth-engine/datasets/catalog/CSIRO_SLGA
Dataset_57,Global ALOS CHILI (Continuous Heat-Insolation Load Index),Conservation Science Partners,CSP/ERGo/1_0/Global/ALOS_CHILI,"aspect, csp, elevation, ergo, geophysical, global, landforms, slope, topography",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_ALOS_CHILI
Dataset_58,Global ALOS Landforms,Conservation Science Partners,CSP/ERGo/1_0/Global/ALOS_landforms,"aspect, csp, elevation, ergo, geophysical, global, landforms, slope, topography",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_ALOS_landforms
Dataset_59,Global ALOS mTPI (Multi-Scale Topographic Position Index),Conservation Science Partners,CSP/ERGo/1_0/Global/ALOS_mTPI,"aspect, csp, elevation, ergo, geophysical, global, landforms, slope, topography",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_ALOS_mTPI
Dataset_60,Global ALOS Topographic Diversity,Conservation Science Partners,CSP/ERGo/1_0/Global/ALOS_topoDiversity,"aspect, csp, elevation, ergo, geophysical, global, landforms, slope, topography",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_ALOS_topoDiversity
Dataset_61,Global SRTM CHILI (Continuous Heat-Insolation Load Index),Conservation Science Partners,CSP/ERGo/1_0/Global/SRTM_CHILI,"aspect, csp, elevation, ergo, geophysical, global, landforms, slope, topography",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_CHILI
Dataset_62,Global SRTM Landforms,Conservation Science Partners,CSP/ERGo/1_0/Global/SRTM_landforms,"aspect, csp, elevation, ergo, geophysical, global, landforms, slope, topography",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_landforms
Dataset_63,Global SRTM mTPI (Multi-Scale Topographic Position Index),Conservation Science Partners,CSP/ERGo/1_0/Global/SRTM_mTPI,"aspect, csp, elevation, ergo, geophysical, global, landforms, slope, topography",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_mTPI
Dataset_64,Global SRTM Topographic Diversity,Conservation Science Partners,CSP/ERGo/1_0/Global/SRTM_topoDiversity,"aspect, csp, elevation, ergo, geophysical, global, landforms, slope, topography",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_Global_SRTM_topoDiversity
Dataset_65,US NED CHILI (Continuous Heat-Insolation Load Index),Conservation Science Partners,CSP/ERGo/1_0/US/CHILI,"aspect, csp, elevation, ergo, geophysical, landforms, slope, topography, us",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_US_CHILI
Dataset_66,US NED Landforms,Conservation Science Partners,CSP/ERGo/1_0/US/landforms,"aspect, csp, elevation, ergo, geophysical, landforms, slope, topography, us",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_US_landforms
Dataset_67,US Lithology,Conservation Science Partners,CSP/ERGo/1_0/US/lithology,"aspect, csp, elevation, ergo, geophysical, landforms, slope, topography, us",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_US_lithology
Dataset_68,US NED mTPI (Multi-Scale Topographic Position Index),Conservation Science Partners,CSP/ERGo/1_0/US/mTPI,"aspect, csp, elevation, ergo, geophysical, landforms, slope, topography, us",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_US_mTPI
Dataset_69,US NED Physiographic Diversity,Conservation Science Partners,CSP/ERGo/1_0/US/physioDiversity,"aspect, csp, elevation, ergo, geophysical, landforms, slope, topography, us",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_US_physioDiversity
Dataset_70,US Physiography,Conservation Science Partners,CSP/ERGo/1_0/US/physiography,"aspect, csp, elevation, ergo, geophysical, landforms, slope, topography, us",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_US_physiography
Dataset_71,US NED Topographic Diversity,Conservation Science Partners,CSP/ERGo/1_0/US/topoDiversity,"aspect, csp, elevation, ergo, geophysical, landforms, slope, topography, us",,https://developers.google.com/earth-engine/datasets/catalog/CSP_ERGo_1_0_US_topoDiversity
Dataset_72,CSP gHM: Global Human Modification,Conservation Science Partners,CSP/HM/GlobalHumanModification,"csp, fragmentation, human-modification, landcover, landscape-gradient, stressors",,https://developers.google.com/earth-engine/datasets/catalog/CSP_HM_GlobalHumanModification
Dataset_73,World Settlement Footprint 2015,Deutsches Zentrum für Luft- und Raumfahrt (DLR),DLR/WSF/WSF2015/v1,"landcover, landsat-derived, sentinel1-derived, settlement, urban",https://doi.org/10.1038/s41597-020-00580-5,https://developers.google.com/earth-engine/datasets/catalog/DLR_WSF_WSF2015_v1
Dataset_74,"LandScan High Definition Data for Ukraine, January 2022",Oak Ridge National Laboratory,DOE/ORNL/LandScan_HD/Ukraine_202201,"landscan, population",,https://developers.google.com/earth-engine/datasets/catalog/DOE_ORNL_LandScan_HD_Ukraine_202201
Dataset_75,Copernicus Atmosphere Monitoring Service (CAMS) Global Near-Real-Time,European Centre for Medium-Range Weather Forecasts (ECMWF),ECMWF/CAMS/NRT,"aerosol, atmosphere, climate, copernicus, ecmwf, forecast",https://doi.org/10.1029/2008JD011115,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_CAMS_NRT
Dataset_76,ERA5 Daily Aggregates - Latest Climate Reanalysis Produced by ECMWF / Copernicus Climate Change Service,ECMWF / Copernicus Climate Change Service,ECMWF/ERA5/DAILY,"climate, copernicus, dewpoint, ecmwf, era5, precipitation, pressure, reanalysis, surface, temperature, wind",,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_DAILY
Dataset_77,ERA5 Monthly Aggregates - Latest Climate Reanalysis Produced by ECMWF / Copernicus Climate Change Service,ECMWF / Copernicus Climate Change Service,ECMWF/ERA5/MONTHLY,"climate, copernicus, dewpoint, ecmwf, era5, precipitation, pressure, reanalysis, surface, temperature, wind",,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_MONTHLY
Dataset_78,ERA5-Land Daily Aggregated - ECMWF Climate Reanalysis,Daily Aggregates: Google and Copernicus Climate Data Store,ECMWF/ERA5_LAND/DAILY_AGGR,"cds, climate, copernicus, ecmwf, era5-land, evaporation, heat, lakes, precipitation, pressure, radiation, reanalysis, runoff, snow, soil-water, temperature, vegetation, wind",,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_LAND_DAILY_AGGR
Dataset_79,ERA5-Land Hourly - ECMWF Climate Reanalysis,Copernicus Climate Data Store,ECMWF/ERA5_LAND/HOURLY,"cds, climate, copernicus, ecmwf, era5-land, evaporation, heat, lakes, precipitation, pressure, radiation, reanalysis, runoff, snow, soil-water, temperature, vegetation, wind",,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_LAND_HOURLY
Dataset_80,ERA5-Land Monthly Aggregated - ECMWF Climate Reanalysis,Monthly Aggregates: Google and Copernicus Climate Data Store,ECMWF/ERA5_LAND/MONTHLY_AGGR,"cds, climate, copernicus, ecmwf, era5-land, evaporation, heat, lakes, precipitation, pressure, radiation, reanalysis, runoff, snow, soil-water, temperature, vegetation, wind",,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_LAND_MONTHLY_AGGR
Dataset_81,ERA5-Land Monthly Averaged by Hour of Day - ECMWF Climate Reanalysis,Climate Data Store,ECMWF/ERA5_LAND/MONTHLY_BY_HOUR,"cds, climate, copernicus, ecmwf, era5-land, evaporation, heat, lakes, precipitation, pressure, radiation, reanalysis, runoff, snow, soil-water, temperature, vegetation, wind",,https://developers.google.com/earth-engine/datasets/catalog/ECMWF_ERA5_LAND_MONTHLY_BY_HOUR
Dataset_82,EO-1 Hyperion Hyperspectral Imager,USGS,EO1/HYPERION,usgs,,https://developers.google.com/earth-engine/datasets/catalog/EO1_HYPERION
Dataset_83,US EPA Ecoregions (Level III),United States Environmental Protection Agency,EPA/Ecoregions/2013/L3,"ecoregions, epa",,https://developers.google.com/earth-engine/datasets/catalog/EPA_Ecoregions_2013_L3
Dataset_84,US EPA Ecoregions (Level IV),United States Environmental Protection Agency,EPA/Ecoregions/2013/L4,"ecoregions, epa",,https://developers.google.com/earth-engine/datasets/catalog/EPA_Ecoregions_2013_L4
Dataset_85,"FireCCI51: MODIS Fire_cci Burned Area Pixel Product, Version 5.1","European Space Agency (ESA) Climate Change Initiative (CCI) Programme, Fire ECV",ESA/CCI/FireCCI/5_1,"burn, climate-change, copernicus, esa, fire, fragmentation, geophysical, global, human-modification, landcover, landscape-gradient, modis, monthly, stressors",https://doi.org/10.1016/j.rse.2019.111493,https://developers.google.com/earth-engine/datasets/catalog/ESA_CCI_FireCCI_5_1
Dataset_86,GlobCover: Global Land Cover Map,ESA,ESA/GLOBCOVER_L4_200901_200912_V2_3,"esa, landcover",,https://developers.google.com/earth-engine/datasets/catalog/ESA_GLOBCOVER_L4_200901_200912_V2_3
Dataset_87,ESA WorldCereal Active Cropland 10 m v100,ESA WorldCereal Consortium,ESA/WorldCereal/2021/MARKERS/v100,"agriculture, copernicus, crop, esa, global, landcover, landsat, sentinel1-derived, sentinel2-derived",https://doi.org/10.5194/essd-2023-184,https://developers.google.com/earth-engine/datasets/catalog/ESA_WorldCereal_2021_MARKERS_v100
Dataset_88,ESA WorldCereal 10 m v100,ESA WorldCereal Consortium,ESA/WorldCereal/2021/MODELS/v100,"agriculture, copernicus, crop, esa, global, landcover, landsat, sentinel1-derived, sentinel2-derived",https://doi.org/10.5194/essd-2023-184,https://developers.google.com/earth-engine/datasets/catalog/ESA_WorldCereal_2021_MODELS_v100
Dataset_89,ESA WorldCereal AEZ v100,ESA WorldCereal Consortium,ESA/WorldCereal/AEZ/v100,"agriculture, borders, boundaries, crop, esa, global",https://doi.org/10.5194/essd-2023-184,https://developers.google.com/earth-engine/datasets/catalog/ESA_WorldCereal_AEZ_v100
Dataset_90,ESA WorldCover 10m v100,ESA/VITO/Brockmann Consult/CS/GAMMA Remote Sensing/IIASA/WUR,ESA/WorldCover/v100,"esa, landcover, landuse, sentinel1-derived, sentinel2-derived",,https://developers.google.com/earth-engine/datasets/catalog/ESA_WorldCover_v100
