Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update,Tail_Entity_update_pair
12,script_103827.txt,users/hrishippatel/IndiaStates,ActOn,Add layer selection widget for user comparison,users/hrishippatel/,Link Maps For Synchronized Viewing,Visualize Terrain Features
13,script_103827.txt,COPERNICUS/S1_GRD,ActOn,Create weekly Sentinel-1 composites for flood monitoring,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Calculate Features To Refine Flood Analysis,Converts Joined Data To Image Collection
14,script_106121.txt,COPERNICUS/S2,ActOn,Filtering Sentinel-2 images by cloud cover and date,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Cloud Coverage,Selects Surface Temperature Data
15,script_106121.txt,COPERNICUS/S2,ActOn,Selecting specific bands for reprojection,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Select Specific Bands From Images,Selects Temperature Data
16,script_106121.txt,COPERNICUS/S2,ActOn,Reprojecting image to EPSG:4326 for export,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Composite Image,Export Processed Data To Google Drive
17,script_10828.txt,MODIS/006/MOD09A1,ActOn,"Cloud masking to remove cloud, shadow, and snow effects",MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Filter Image Collection By Date And Boundaries
18,script_10828.txt,MODIS/006/MOD09A1,ActOn,Calculation of NDVI and NIRV values,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Calculate Normalized Difference And Other Indices,Computes Normalized Difference Vegetation Index (NDVI)
19,script_10828.txt,MODIS/006/MOD09A1,ActOn,Linear interpolation for filling missing values,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Buffering Points For Sample Expansion,Buffering Points To Create Zones For Analysis
20,script_10828.txt,MODIS/006/MOD09A1,ActOn,Feature collection creation for point information extraction,MOD09A1.061 Terra Surface Reflectance 8-Day Global 500m,Image Segmentation,Combine Multiple Image Properties
21,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Selecting Sentinel-1 GRD data based on defined parameters,users/felixgeooperations/Drin/,Generate Time Series Data For NDVI Changes,Filter And Select
22,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Calculating flood extent by comparing before and after images,users/felixgeooperations/Drin/,Calculate Ratio Between Recent And Historical Images,Calculate Ratio Between Recent And Historical Images
23,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Refining flood result using JRC surface water seasonality data,users/felixgeooperations/Drin/,Sampling Regions For Training Data,Classify Images Based On Trained Model
24,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,ActOn,Masking out areas with more than 5% slope using a Digital Elevation Model,users/felixgeooperations/Drin/,Filter Image Collection By Cloud Coverage,Selects Surface Temperature Data
25,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Selecting Sentinel-1 GRD data based on defined parameters,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Generate Time Series Data For NDVI Changes,Filter And Select
26,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Calculating flood extent by comparing before and after images,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Calculate Ratio Between Recent And Historical Images,Calculate Ratio Between Recent And Historical Images
27,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Refining flood result using JRC surface water seasonality data,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Sampling Regions For Training Data,Classify Images Based On Trained Model
28,script_110133.txt,COPERNICUS/S1_GRD,ActOn,Masking out areas with more than 5% slope using a Digital Elevation Model,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Cloud Coverage,Selects Surface Temperature Data
29,script_110133.txt,JRC/GSW1_0/GlobalSurfaceWater,ActOn,Refining flood result using JRC surface water seasonality data,"JRC Global Surface Water Mapping Layers, v1.4",Sampling Regions For Training Data,Classify Images Based On Trained Model
30,script_110133.txt,WWF/HydroSHEDS/03VFDEM,ActOn,Masking out areas with more than 5% slope using a Digital Elevation Model,"WWF HydroSHEDS Void-Filled DEM, 3 Arc-Seconds",Filter Image Collection By Cloud Coverage,Selects Surface Temperature Data
31,script_110133.txt,JRC/GHSL/P2016/POP_GPW_GLOBE_V1/2015,ActOn,Calculating exposed population density based on GHSL data,"GHSL: Global Human Settlement Layers, Built-Up Grid 1975-1990-2000-2015 (P2016)",Estimating Soil Loss,Generate Ratio Images
32,script_115907.txt,users/nicolasalejandromari/Sitios_NDVI_Tessi,ActOn,Masking clouds in Landsat 8 images,users/nicolasalejandromari/,Filter Image Collection By Cloud Coverage,Selects Surface Temperature Data
33,script_115907.txt,users/franciscoalaggia/Transectas,ActOn,Masking clouds in Landsat 8 images,users/franciscoalaggia/,Filter Image Collection By Cloud Coverage,Selects Surface Temperature Data
34,script_115907.txt,users/nicolasalejandromari/Sitios_NDVI_Tessi,ActOn,Adding NDVI and time bands to Landsat 8 images,users/nicolasalejandromari/,Add NDVI Band To Images,Generate ColumnChart For Precipitation
35,script_115907.txt,users/franciscoalaggia/Transectas,ActOn,Adding NDVI and time bands to Landsat 8 images,users/franciscoalaggia/,Add NDVI Band To Images,Generate ColumnChart For Precipitation
36,script_115907.txt,users/nicolasalejandromari/Sitios_NDVI_Tessi,ActOn,Filtering and processing Landsat 8 data,users/nicolasalejandromari/,Data Acquisition And Preprocessing,Combine Multiple Image Properties
37,script_115907.txt,users/franciscoalaggia/Transectas,ActOn,Filtering and processing Landsat 8 data,users/franciscoalaggia/,Data Acquisition And Preprocessing,Combine Multiple Image Properties
38,script_115907.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Masking clouds in Sentinel-2 images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,Filter Image Collection By Date And Boundaries
39,script_115907.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Adding NDVI and time bands to Sentinel-2 images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Generate Time Series Charts Of Corrected Data,Convert Flood Detection Results To Vector Polygons
40,script_115907.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Filtering and processing Sentinel-2 data,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Data Acquisition And Preprocessing,Combine Multiple Image Properties
41,script_115907.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Creating and displaying a temporal signature chart for NDVI in different vegetation areas,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Nighttime light data analysis,Calculate Statistical Indicators Of Image Collection
42,script_118175.txt,LANDSAT/LC09/C02/T1_L2,ActOn,Apply scale factors to Landsat imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image,Apply Scale Factors To Image
43,script_118175.txt,LANDSAT/LC08/C02/T1_L2,ActOn,Apply scale factors to Landsat imagery,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image,Apply Scale Factors To Image
44,script_118175.txt,COPERNICUS/S2_SR,ActOn,Mask clouds in Sentinel-2 imagery,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Smooth Radar Speckle In Images,Filter Image Collection By Date And Region
45,script_118175.txt,COPERNICUS/S2_SR,ActOn,"Calculate NDVI, NDWI, MNDWI, NDSI, EWI indices","Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Normalized Difference And Other Indices,Computes Normalized Difference Vegetation Index (NDVI)
46,script_118175.txt,COPERNICUS/S2_SR,ActOn,Identify ICE pixels in Sentinel-2 imagery,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Generate Time Series Charts Of Temperature Data,Generate Time Series Charts Of Corrected Data
47,script_118175.txt,COPERNICUS/S2_SR,ActOn,Quality mosaic and max composite creation,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter And Mosaic Landsat Images,Filter Image Collection By Region
48,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Calculation of NBR before and after the fire,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Burn Area Index Calculation,Apply Techniques To  Correct And Fill Data Gaps
49,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Calculation of NBR before and after the fire,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Burn Area Index Calculation,Apply Techniques To  Correct And Fill Data Gaps
50,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Generation of training dataset,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Data Preparation For Training,Classify Images Based On Training Data
51,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Generation of training dataset,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Data Preparation For Training,Classify Images Based On Training Data
52,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Training the dataset using wekaCascadeKMeans algorithm,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Stacking Multiple Images,Generate Ratio Images
53,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Training the dataset using wekaCascadeKMeans algorithm,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Stacking Multiple Images,Generate Ratio Images
54,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Statistical analysis and visualization of results,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Estimating Phenology Metrics,Filter Image Collection By Date And Boundaries
55,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Statistical analysis and visualization of results,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Estimating Phenology Metrics,Filter Image Collection By Date And Boundaries
56,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Application of filters for result visualization,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Data Visualization,Generate And Display A Scatter Plot
57,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Application of filters for result visualization,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Data Visualization,Generate And Display A Scatter Plot
58,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,ActOn,Reclassification and multiplication of binary and severity classification images,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Feature Filtering And Mapping,Filter Image Collection By Date And Boundaries
59,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,ActOn,Reclassification and multiplication of binary and severity classification images,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Feature Filtering And Mapping,Filter Image Collection By Date And Boundaries
60,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Cloud and shadow masking,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Cloud And Cloud Shadow Masking,Filter Image Collection By Date And Boundaries
61,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,NDVI calculation,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Pixel Count Calculation,Sampling Regions For Test Data
62,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Image collection filtering,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Temporal Image Collection Filtering,Mosaic Landsat Images
63,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Image differencing,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Differencing,Performs Image Differencing To Compare Changes
64,script_11983.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Anomaly calculation,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Anomaly Calculation,"Calculate Other Vegetation Indices/index (SAVI, EVI)"
65,script_120271.txt,COPERNICUS/S2_SR,ActOn,Calculate NDVI band,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Tree Cover Area,Sampling Regions For Validation
66,script_120271.txt,COPERNICUS/S2_SR,ActOn,Filter Sentinel-2 images by date and cloud cover,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Image Collection By Date And Region,Filter Image Collection By Bounds
67,script_120271.txt,COPERNICUS/S2_SR,ActOn,Generate median composite image,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Create Median Composite Of Images,Limit The Number Of Images
68,script_120271.txt,COPERNICUS/S2_SR,ActOn,Clip image to testing area,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Clip Temperature Data To Area Of Interest,Display Selected Images
69,script_120271.txt,COPERNICUS/S2_SR,ActOn,Visualize NDVI with color palette,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Visualize True Color Images,Visualize Tree Cover
70,script_120271.txt,COPERNICUS/S2_SR,ActOn,Calculate min and max values,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate NBR for Post-Fire Image,Load and Display Pre- And Post-Fire Satellite Image
71,script_120271.txt,COPERNICUS/S2_SR,ActOn,Create gradient bar for visualization,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Temporal Spectral Indices,Calculate NBR for Post-Fire Image
72,script_120271.txt,COPERNICUS/S2_SR,ActOn,Add frame for visualization,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Select Specific Polarization From Images,Filter Image Collection By Region
73,script_120271.txt,COPERNICUS/S2_SR,ActOn,Add scalebar for visualization,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Add NDWI Band To Images,Add NDWI Band To Images
74,script_120557.txt,TIGER/2016/States,ActOn,Cloud and cloud shadow masking,TIGER: US Census States 2016,Cloud And Cloud Shadow Masking,Filter Image Collection By Date And Boundaries
75,script_120557.txt,TIGER/2016/States,ActOn,Decision tree classification for water and vegetation detection,TIGER: US Census States 2016,Training And Sampling For Land Cover Classification,Calculate Data For Specific Spectral Bands
76,script_120557.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Cloud and cloud shadow masking,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Cloud And Cloud Shadow Masking,Filter Image Collection By Date And Boundaries
77,script_120557.txt,LANDSAT/LC08/C01/T1_SR,ActOn,Decision tree classification for water and vegetation detection,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Training And Sampling For Land Cover Classification,Calculate Data For Specific Spectral Bands
78,script_125294.txt,users/GeoForPy/Tesis/EcorregionAltoParana,ActOn,Cloud masking for Landsat 5 imagery,users/GeoForPy/Tesis/,Terrain Occlusion Masking,Calculate Normalized Burn Ratio (NBR) For Images
79,script_125294.txt,users/GeoForPy/Tesis/EcorregionAltoParana,ActOn,Image collection filtering by date and cloud cover,users/GeoForPy/Tesis/,Filter Image Collection By Cloud Coverage,Selects Surface Temperature Data
80,script_125294.txt,users/GeoForPy/Tesis/EcorregionAltoParana,ActOn,Image compositing and visualization,users/GeoForPy/Tesis/,Visualization And Output Generation,Visualize Precipitation Data
81,script_125294.txt,users/GeoForPy/Tesis/EcorregionAltoParana,ActOn,Exporting processed images to Google Drive,users/GeoForPy/Tesis/,Export Processed Images To Google Drive,Export Fitted Parameters And Phases
82,script_131942.txt,COPERNICUS/S2_SR,ActOn,Cloud masking for cloud-free image extraction,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Feature Filtering And Mapping,Filter Image Collection By Date And Boundaries
83,script_131942.txt,COPERNICUS/S2_SR,ActOn,Image clipping over study area,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Spatial Clipping,Clip Temperature Data To Area Of Interest
84,script_131942.txt,COPERNICUS/S2_SR,ActOn,Filtering Sentinel scenes by date and cloud cover percentage,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Image Collection By Date And Boundaries,Filter Image Collection By Date And Boundaries
85,script_131942.txt,COPERNICUS/S2_SR,ActOn,Creating training data for classification,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Identifying Homogeneous Areas,Calculate Statistical Indicators Of Image Collection
86,script_131942.txt,COPERNICUS/S2_SR,ActOn,Running random forest classifier,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filtering Administrative Boundaries,Select Specific Bands From Images
87,script_131942.txt,COPERNICUS/S2_SR,ActOn,Accuracy assessment using confusion matrix,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Accuracy Assessment,Classify Images Based On Trained Model
88,script_131942.txt,COPERNICUS/S2_SR,ActOn,Reprojecting classified image to UTM,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Exporting Prediction Results,Visualize Precipitation Data
89,script_131942.txt,COPERNICUS/S2_SR,ActOn,Converting classified image to vector,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Applying Mean Filter To Image,Filter Images By Date And Region
90,script_131942.txt,COPERNICUS/S2_SR,ActOn,Exporting classified and reprojected images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Exporting Classified Images,Export Processed Images To Google Drive
91,script_144864.txt,users/thao226355/share/VietNam_Ranh_gioi_tinh,ActOn,Cloud and cirrus mask application,users/thao226355/share/,Image Cloud Masking,Filter Images By Cloud Cover
92,script_144864.txt,users/thao226355/share/VietNam_Ranh_gioi_tinh,ActOn,Satellite image selection and processing,users/thao226355/share/,Terrain Data Generation and Analysis,Calculate Data For Specific Spectral Bands
93,script_144864.txt,users/thao226355/share/VietNam_Ranh_gioi_tinh,ActOn,NDVI calculation and land cover classification,users/thao226355/share/,"Maximum, Minimum And Mean Statistical Analysis (NDVI and Vegetation Indices)",Calculate Median Filtering And Smoothing
94,script_144864.txt,users/thao226355/share/VietNam_Ranh_gioi_tinh,ActOn,Area calculation of classified land cover,users/thao226355/share/,Forest Area Calculation,Calculate Environmental And Vegetation Indices
95,script_144864.txt,COPERNICUS/S2_SR,ActOn,Satellite image selection and processing,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Terrain Data Generation and Analysis,Calculate Data For Specific Spectral Bands
96,script_144864.txt,COPERNICUS/S2_SR,ActOn,NDVI calculation and land cover classification,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A","Maximum, Minimum And Mean Statistical Analysis (NDVI and Vegetation Indices)",Calculate Median Filtering And Smoothing
97,script_144864.txt,COPERNICUS/S2_SR,ActOn,Area calculation of classified land cover,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Forest Area Calculation,Calculate Environmental And Vegetation Indices
98,script_146128.txt,COPERNICUS/S2,ActOn,Image selection based on date and cloud cover,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Date And Region,Filter Image Collection By Bounds
99,script_146128.txt,COPERNICUS/S2,ActOn,Feature collection merging for training data creation,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Merge Feature Collections For Training Data,Classify Images Based On Trained Model
100,script_146128.txt,COPERNICUS/S2,ActOn,Image classification based on trained classifier,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Sampling Regions For Classifier Training,Identify Water And Flood Surfaces Using Indices
101,script_146128.txt,Burnedscar,ActOn,Feature collection merging for training data creation,MTBS Burned Area Boundaries,Merge Feature Collections For Training Data,Classify Images Based On Trained Model
102,script_146128.txt,vegetation,ActOn,Feature collection merging for training data creation,FORMA Vegetation T-Statistics,Merge Feature Collections For Training Data,Classify Images Based On Trained Model
103,script_146128.txt,Bare_Soil,ActOn,Feature collection merging for training data creation,MTBS Burned Area Boundaries,Merge Feature Collections For Training Data,Classify Images Based On Trained Model
104,script_146128.txt,Water,ActOn,Feature collection merging for training data creation,FORMA Alerts,Merge Feature Collections For Training Data,Classify Images Based On Trained Model
105,script_15043.txt,users/abuhafsgaa/Makarfi,ActOn,Training data preparation for RF and CART classifiers,users/abuhafsgaa/,Training Data Creation,Detect Changes By Comparing Pre- And Post-Fire Images
106,script_15043.txt,users/abuhafsgaa/ALLsample,ActOn,Training data preparation for RF and CART classifiers,users/abuhafsgaa/,Training Data Creation,Detect Changes By Comparing Pre- And Post-Fire Images
107,script_15043.txt,users/abuhafsgaa/DATASET_COMPOSITION_2017_21,ActOn,Training data preparation for RF and CART classifiers,users/abuhafsgaa/,Training Data Creation,Detect Changes By Comparing Pre- And Post-Fire Images
108,script_15043.txt,users/abuhafsgaa/TEST_SAR_2017_DATASET_BOXCAR,ActOn,Training data preparation for RF and CART classifiers,users/abuhafsgaa/,Training Data Creation,Detect Changes By Comparing Pre- And Post-Fire Images
109,script_15043.txt,users/abuhafsgaa/Makarfi,ActOn,Feature importance computation,users/abuhafsgaa/,Feature Importance Calculation,Sampling Regions For Training Data
110,script_15043.txt,users/abuhafsgaa/ALLsample,ActOn,Feature importance computation,users/abuhafsgaa/,Feature Importance Calculation,Sampling Regions For Training Data
111,script_15043.txt,users/abuhafsgaa/DATASET_COMPOSITION_2017_21,ActOn,Feature importance computation,users/abuhafsgaa/,Feature Importance Calculation,Sampling Regions For Training Data
112,script_15043.txt,users/abuhafsgaa/TEST_SAR_2017_DATASET_BOXCAR,ActOn,Feature importance computation,users/abuhafsgaa/,Feature Importance Calculation,Sampling Regions For Training Data
113,script_15043.txt,users/abuhafsgaa/Makarfi,ActOn,RF and CART classification of imagery,users/abuhafsgaa/,Land Cover Classification And Mapping,Calculate Tree Cover Area
114,script_15043.txt,users/abuhafsgaa/ALLsample,ActOn,RF and CART classification of imagery,users/abuhafsgaa/,Land Cover Classification And Mapping,Calculate Tree Cover Area
115,script_15043.txt,users/abuhafsgaa/DATASET_COMPOSITION_2017_21,ActOn,RF and CART classification of imagery,users/abuhafsgaa/,Land Cover Classification And Mapping,Calculate Tree Cover Area
116,script_15043.txt,users/abuhafsgaa/TEST_SAR_2017_DATASET_BOXCAR,ActOn,RF and CART classification of imagery,users/abuhafsgaa/,Land Cover Classification And Mapping,Calculate Tree Cover Area
117,script_15043.txt,users/abuhafsgaa/Makarfi,ActOn,Accuracy assessment of classification results,users/abuhafsgaa/,Refinement Of Results,Evaluate Classifier Performance Using Confusion Matrix
118,script_15043.txt,users/abuhafsgaa/ALLsample,ActOn,Accuracy assessment of classification results,users/abuhafsgaa/,Refinement Of Results,Evaluate Classifier Performance Using Confusion Matrix
119,script_15043.txt,users/abuhafsgaa/DATASET_COMPOSITION_2017_21,ActOn,Accuracy assessment of classification results,users/abuhafsgaa/,Refinement Of Results,Evaluate Classifier Performance Using Confusion Matrix
120,script_15043.txt,users/abuhafsgaa/TEST_SAR_2017_DATASET_BOXCAR,ActOn,Accuracy assessment of classification results,users/abuhafsgaa/,Refinement Of Results,Evaluate Classifier Performance Using Confusion Matrix
121,script_15043.txt,users/abuhafsgaa/Makarfi,ActOn,Visualizing classification results,users/abuhafsgaa/,Identifying Homogeneous Areas,Calculate Statistical Indicators Of Image Collection
122,script_15043.txt,users/abuhafsgaa/ALLsample,ActOn,Visualizing classification results,users/abuhafsgaa/,Identifying Homogeneous Areas,Calculate Statistical Indicators Of Image Collection
123,script_15043.txt,users/abuhafsgaa/DATASET_COMPOSITION_2017_21,ActOn,Visualizing classification results,users/abuhafsgaa/,Identifying Homogeneous Areas,Calculate Statistical Indicators Of Image Collection
124,script_15043.txt,users/abuhafsgaa/TEST_SAR_2017_DATASET_BOXCAR,ActOn,Visualizing classification results,users/abuhafsgaa/,Identifying Homogeneous Areas,Calculate Statistical Indicators Of Image Collection
125,script_15043.txt,users/abuhafsgaa/Makarfi,ActOn,Training data preparation for RF and CART classifiers,users/abuhafsgaa/,Training Data Creation,Detect Changes By Comparing Pre- And Post-Fire Images
126,script_15043.txt,users/abuhafsgaa/ALLsample,ActOn,Training data preparation for RF and CART classifiers,users/abuhafsgaa/,Training Data Creation,Detect Changes By Comparing Pre- And Post-Fire Images
127,script_15043.txt,users/abuhafsgaa/DATASET_COMPOSITION_2017_21,ActOn,Training data preparation for RF and CART classifiers,users/abuhafsgaa/,Training Data Creation,Detect Changes By Comparing Pre- And Post-Fire Images
128,script_15043.txt,users/abuhafsgaa/TEST_SAR_2017_DATASET_BOXCAR,ActOn,Training data preparation for RF and CART classifiers,users/abuhafsgaa/,Training Data Creation,Detect Changes By Comparing Pre- And Post-Fire Images
129,script_15043.txt,users/abuhafsgaa/Makarfi,ActOn,Feature importance computation,users/abuhafsgaa/,Feature Importance Calculation,Sampling Regions For Training Data
130,script_15043.txt,users/abuhafsgaa/ALLsample,ActOn,Feature importance computation,users/abuhafsgaa/,Feature Importance Calculation,Sampling Regions For Training Data
131,script_15043.txt,users/abuhafsgaa/DATASET_COMPOSITION_2017_21,ActOn,Feature importance computation,users/abuhafsgaa/,Feature Importance Calculation,Sampling Regions For Training Data
