ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI,Value_GPT3.5,Usage
24,script_159299.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7422
25,script_165234.txt,Theme,NDVI analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8408280611038208,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6815358400344849,VEGETATION INDEX,7422
26,script_165234.txt,Theme,Greenest pixel identification,GREEN INFRASTRUCTURE,0.7802545428276062,GREEN INFRASTRUCTURE,0.5768555402755737,LAND USE/LAND COVER CLASSIFICATION,7417
27,script_165234.txt,Theme,Temporal analysis,BIVARIATE ENSO TIMESERIES INDEX,0.8212127685546875,STRATIGRAPHIC SEQUENCE,0.6864268779754639,LAND USE CLASSES,7417
28,script_173652.txt,Theme,Land cover change detection,LAND SURFACE/AGRICULTURE INDICATORS,0.8651163578033447,LAND USE/LAND COVER,0.6711500883102417,LAND USE/LAND COVER,7417
29,script_174376.txt,Theme,Landcover classification,LAND USE/LAND COVER CLASSIFICATION,0.9243932962417604,LAND USE/LAND COVER CLASSIFICATION,0.7549629807472229,LAND RESOURCES,7417
30,script_174474.txt,Theme,Landsat 5 imagery processing,SATELLITE SOIL MOISTURE INDEX,0.8055908679962158,LANDSCAPE PROCESSES,0.6015312671661377,LAND/OCEAN/ICE MASK,7417
31,script_174747.txt,Theme,Land Surface Temperature Analysis,LAND SURFACE TEMPERATURE,0.8780211210250854,LAND SURFACE TEMPERATURE,0.7907720804214478,LAND SURFACE TEMPERATURE,7429
32,script_176914.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7429
33,script_179626.txt,Theme,Land surface temperature (LST) analysis,LAND SURFACE TEMPERATURE,0.862112283706665,LAND SURFACE TEMPERATURE,0.7319170832633972,LAND SURFACE TEMPERATURE,7429
34,script_179626.txt,Theme,Normalized Difference Vegetation Index (NDVI) calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.9101797342300416,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8464065790176392,VEGETATION INDEX,7429
35,script_180257.txt,Theme,Landsat image zonal statistics extraction,SATELLITE SOIL MOISTURE INDEX,0.8194187879562378,STRATIGRAPHIC SEQUENCE,0.5465811491012573,REMOTE SENSING,7429
36,script_186294.txt,Theme,NDVI calculation for vegetation monitoring.,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8577961325645447,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.7633107900619507,VEGETATION INDEX,7437
37,script_186319.txt,Theme,NDVI and NBR calculation for land cover analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8353397846221924,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6015567779541016,LAND USE/LAND COVER CLASSIFICATION,7437
38,script_186320.txt,Theme,NDVI and NBR calculation for vegetation analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8426745533943176,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6787548661231995,VEGETATION INDEX,7437
39,script_186321.txt,Theme,Image processing and analysis using Sentinel-2 data,RADAR IMAGERY,0.8031795620918274,PHOTOSYNTHESIS,0.6348192691802979,REMOTE SENSING DATA ANALYSIS,7437
40,script_186323.txt,Theme,NDVI and NBR calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.7976992130279541,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6075087785720825,VEGETATION INDEX,7437
41,script_186323.txt,Theme,Image export,PASTURE,0.7873992919921875,PHOTOSYNTHESIS,0.5811210870742798,LAND USE/LAND COVER,7415
42,script_186325.txt,Theme,Satellite image processing,SATELLITE SOIL MOISTURE INDEX,0.8256751298904419,PHOTOSYNTHESIS,0.6894546151161194,LAND USE/LAND COVER,7415
43,script_186325.txt,Theme,Vegetation monitoring,VEGETATION INDEX,0.884047269821167,FOREST MENSURATION,0.7622950077056885,VEGETATION INDEX,7415
44,script_186325.txt,Theme,Forest loss detection,FOREST MENSURATION,0.8872436285018921,FOREST MENSURATION,0.7410728931427002,FOREST LOSS DETECTION,7415
45,script_186326.txt,Theme,NDVI and NBR calculation for vegetation analysis,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8426745533943176,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6787548661231995,VEGETATION INDEX,7415
46,script_186329.txt,Theme,Image collection and processing,FLUVIAL PROCESSES,0.7868162393569946,PHOTOSYNTHESIS,0.7469131946563721,LAND USE/LAND COVER CLASSIFICATION,7432
47,script_186329.txt,Theme,NDVI and NBR calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.7976992130279541,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6075087785720825,LAND USE/LAND COVER CLASSIFICATION,7432
48,script_186329.txt,Theme,Image export and mosaic creation,MARICULTURE PRODUCTION,0.7836676836013794,PHOTOSYNTHESIS,0.603312075138092,LAND USE/LAND COVER CLASSIFICATION,7432
49,script_186329.txt,Theme,"Forest loss, degradation, and fire detection",FOREST FIRE DANGER INDEX,0.8502487540245056,FOREST MENSURATION,0.7049717307090759,FOREST FIRE DANGER INDEX,7432
50,script_186332.txt,Theme,Crop classification based on NDVI values,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8778947591781616,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.7586653232574463,CROP CLASSIFICATION,7432
51,script_186333.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7416
52,script_186334.txt,Theme,Crop classification,SOIL CLASSIFICATION,0.8767026662826538,SOIL CLASSIFICATION,0.719805121421814,FIELD CROP PRODUCTS,7416
53,script_186338.txt,Theme,SAR backscatter analysis,RADAR BACKSCATTER,0.8922966718673706,RADAR BACKSCATTER,0.7199022769927979,RADAR BACKSCATTER,7416
54,script_186356.txt,Theme,Land cover classification using SAR data,LAND USE/LAND COVER CLASSIFICATION,0.8645894527435303,LAND USE/LAND COVER CLASSIFICATION,0.7239082455635071,LAND USE/LAND COVER CLASSIFICATION,7416
55,script_186365.txt,Theme,Vegetation analysis,VEGETATION INDEX,0.9112643003463744,VEGETATION,0.7123562097549438,VEGETATION COVER,7416
56,script_186365.txt,Theme,Water analysis,WATER QUALITY/WATER CHEMISTRY,0.8756136894226074,WATER CHARACTERISTICS,0.7426890134811401,WATER QUALITY/WATER CHEMISTRY,7407
57,script_186365.txt,Theme,Burn area index calculation,FIRE WEATHER INDEX,0.8147635459899902,FIRE WEATHER INDEX,0.6186607480049133,FIRE MANAGEMENT,7407
58,script_186365.txt,Theme,Snow analysis,SNOW STRATIGRAPHY,0.906541645526886,SNOW CLASSIFICATION,0.734158992767334,SNOW/ICE,7407
59,script_186365.txt,Theme,Spectral unmixing,SPECTRAL IRRADIANCE,0.8740299940109253,SPECTRAL IRRADIANCE,0.660219132900238,SPECTRAL/ENGINEERING,7407
60,script_186365.txt,Theme,HSV transformation,VECTOR-BORN DISEASES,0.8038206696510315,HABITAT CONVERSION/FRAGMENTATION,0.5643525123596191,LAND SURFACE,7398
61,script_186378.txt,Theme,Remote sensing data fusion for land cover analysis.,RADAR CROSS-SECTION,0.8120999336242676,LAND USE/LAND COVER,0.633476972579956,LAND USE/LAND COVER CLASSIFICATION,7438
62,script_186380.txt,Theme,Spectral index calculation around marsh bird survey points,SURFACE MOISTURE INDEX,0.8017323017120361,FOREST MENSURATION,0.5790625810623169,PLANT DISEASES/DISORDERS/PESTS,7438
63,script_186411.txt,Theme,Land cover change detection,LAND SURFACE/AGRICULTURE INDICATORS,0.8651163578033447,LAND USE/LAND COVER,0.6711500883102417,LAND USE/LAND COVER CLASSIFICATION,7438
64,script_186418.txt,Theme,Surface temperature retrieval from Landsat data,LAND SURFACE TEMPERATURE,0.8210746049880981,LAND SURFACE TEMPERATURE,0.6644320487976074,LAND SURFACE TEMPERATURE,7438
65,script_186442.txt,Theme,Pest risk assessment,PLANT DISEASES/DISORDERS/PESTS,0.815462589263916,ENVIRONMENTAL ASSESSMENTS,0.5805643796920776,PESTICIDES,7438
66,script_186449.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7429
67,script_186466.txt,Theme,Forest loss detection and degradation monitoring using Sentinel-1 imagery,FOREST MENSURATION,0.8485546708106995,FOREST MENSURATION,0.6739096641540527,FOREST MANAGEMENT,7429
68,script_186503.txt,Theme,Land cover classification using SAR data,LAND USE/LAND COVER CLASSIFICATION,0.8645894527435303,LAND USE/LAND COVER CLASSIFICATION,0.7239082455635071,LAND USE/LAND COVER CLASSIFICATION,7429
69,script_186507.txt,Theme,Landsat data processing,SATELLITE SOIL MOISTURE INDEX,0.8224142789840698,LANDSCAPE PROCESSES,0.6364806890487671,LAND USE/LAND COVER CLASSIFICATION,7429
70,script_186507.txt,Theme,Cloud and shadow masking,CLOUD REFLECTANCE,0.8822983503341675,CLOUD OPTICAL DEPTH/THICKNESS,0.6500060558319092,CLOUD MICROPHYSICS,7429
71,script_186521.txt,Theme,Land cover change detection,LAND SURFACE/AGRICULTURE INDICATORS,0.8651163578033447,LAND USE/LAND COVER,0.6711500883102417,LAND USE/LAND COVER CLASSIFICATION,7417
72,script_186528.txt,Theme,Land cover classification using Sentinel-1 data,LAND USE/LAND COVER CLASSIFICATION,0.8409910798072815,LAND USE/LAND COVER CLASSIFICATION,0.7032828330993652,LAND USE/LAND COVER CLASSIFICATION,7417
73,script_186540.txt,Theme,Vegetation analysis,VEGETATION INDEX,0.9112643003463744,VEGETATION,0.7123562097549438,VEGETATION INDEX,7417
74,script_186540.txt,Theme,Cloud cover removal,CLOUD CLUSTERS,0.8461673259735107,CLOUD CEILING,0.6432720422744751,CLOUDS,7417
75,script_186540.txt,Theme,NDVI calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8218573331832886,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6938648819923401,VEGETATION COVER,7417
76,script_186540.txt,Theme,Change detection,SENSOR CHARACTERISTICS,0.8144798278808594,WAVE DIFFRACTION,0.668730616569519,CHANGE DETECTION,7439
77,script_186548.txt,Theme,Water detection using SAR imagery,LIDAR,0.8574777841567993,WATER CHARACTERISTICS,0.6547404527664185,WATER QUALITY/WATER CHEMISTRY,7439
78,script_186562.txt,Theme,"Satellite image processing for forest monitoring in Bha Le, Tay Giang, Quang Nam",FOREST MENSURATION,0.846550464630127,FOREST MENSURATION,0.597476601600647,LAND USE/LAND COVER,7439
79,script_186570.txt,Theme,Satellite image processing for forest monitoring,FOREST MENSURATION,0.8620465993881226,FOREST MENSURATION,0.7257004976272583,LAND USE/LAND COVER,7439
80,script_186601.txt,Theme,Forest loss detection using Sentinel-1 satellite imagery,FOREST MENSURATION,0.8422021865844727,FOREST MENSURATION,0.6501908898353577,LAND USE/LAND COVER,7439
81,script_186605.txt,Theme,NDVI and NBR calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.7976992130279541,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6075087785720825,LAND SURFACE,7417
82,script_186605.txt,Theme,Image export and mosaic creation,MARICULTURE PRODUCTION,0.7836676836013794,PHOTOSYNTHESIS,0.603312075138092,LAND SURFACE,7417
83,script_186607.txt,Theme,Forest monitoring using Landsat 8 imagery,FOREST MENSURATION,0.8626357316970825,FOREST MENSURATION,0.6799746751785278,FOREST MONITORING,7417
84,script_186815.txt,Theme,Image collection and processing,FLUVIAL PROCESSES,0.7868162393569946,PHOTOSYNTHESIS,0.7469131946563721,IMAGE PROCESSING,7417
85,script_186822.txt,Theme,Agricultural field monitoring,LAND SURFACE/AGRICULTURE INDICATORS,0.8486144542694092,AGRICULTURE PRODUCTION,0.697100818157196,AGRICULTURE PRODUCTION,7417
86,script_186822.txt,Theme,Sentinel-1 satellite data processing,SATELLITE SOIL MOISTURE INDEX,0.8320255279541016,FEED PROCESSING,0.6030552983283997,LAND SURFACE TEMPERATURE,7425
87,script_186829.txt,Theme,Temperature analysis in forested areas,FOREST MENSURATION,0.8927538394927979,FOREST MENSURATION,0.7532523274421692,VEGETATION COVER,7425
88,script_186856.txt,Theme,Cloud and shadow detection for image enhancement,MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),0.826245129108429,CLOUD OPTICAL DEPTH/THICKNESS,0.6576198935508728,CLOUD MICROPHYSICS,7425
89,script_186886.txt,Theme,NDVI and NBR calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.7976992130279541,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6075087785720825,VEGETATION INDEX,7425
90,script_186886.txt,Theme,Image export and mosaic creation,MARICULTURE PRODUCTION,0.7836676836013794,PHOTOSYNTHESIS,0.603312075138092,LAND SURFACE TEMPERATURE,7425
91,script_186888.txt,Theme,Cloud masking,CLOUD MICROPHYSICS,0.8962477445602417,CLOUD CEILING,0.6455549001693726,CLOUDS,7424
92,script_186888.txt,Theme,Radiation calculation,RADIATION EXPOSURE,0.8749499320983887,RADIATION EXPOSURE,0.7431521415710449,ATMOSPHERIC RADIATION,7424
93,script_186888.txt,Theme,Vegetation analysis,VEGETATION INDEX,0.9112643003463744,VEGETATION,0.7123562097549438,VEGETATION INDEX,7424
94,script_186892.txt,Theme,Satellite image processing,SATELLITE SOIL MOISTURE INDEX,0.8256751298904419,PHOTOSYNTHESIS,0.6894546151161194,LAND SURFACE/AGRICULTURE INDICATORS,7424
95,script_186892.txt,Theme,NDVI and NBR calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.7976992130279541,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6075087785720825,LAND SURFACE/AGRICULTURE INDICATORS,7424
96,script_186892.txt,Theme,Image export and mosaic creation,MARICULTURE PRODUCTION,0.7836676836013794,PHOTOSYNTHESIS,0.603312075138092,LAND USE/LAND COVER,7409
97,script_186892.txt,Theme,Forest loss detection,FOREST MENSURATION,0.8872436285018921,FOREST MENSURATION,0.7410728931427002,DEFORESTATION,7409
98,script_186914.txt,Theme,Flood monitoring,FLOOD LEVELS,0.8622714877128601,FLOODING,0.7557883262634277,FLOODS,7409
99,script_186915.txt,Theme,Flood monitoring,FLOOD LEVELS,0.8622714877128601,FLOODING,0.7557883262634277,FLOODS,7409
100,script_186940.txt,Theme,Landsat image mosaicking,RADAR IMAGERY,0.7991675138473511,RADAR IMAGERY,0.5846256613731384,LAND USE/LAND COVER,7409
101,script_186974.txt,Theme,Water body analysis,AQUIFER DEPTH,0.8611956834793091,WATER CHARACTERISTICS,0.7135779857635498,SURFACE WATER,7422
102,script_187038.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7422
103,script_187038.txt,Theme,Cloud cover assessment,MESOSPHERIC CLOUDS (OBSERVED/ANALYZED),0.9107376337051392,CLOUD OPTICAL DEPTH/THICKNESS,0.6709363460540771,CLOUD MICROPHYSICS,7422
104,script_187125.txt,Theme,Water detection using Sentinel-2 imagery,LIDAR,0.8129026889801025,WATER CHARACTERISTICS,0.6546980142593384,WATER QUALITY/WATER CHEMISTRY,7422
105,script_187125.txt,Theme,Monthly water occurrence analysis,FLOOD FREQUENCY,0.8429505825042725,INUNDATION FREQUENCY,0.6709818243980408,PRECIPITATION AMOUNT,7422
106,script_187131.txt,Theme,Fire monitoring,FIRE MANAGEMENT,0.9137814044952391,FIRE MANAGEMENT,0.730659544467926,FIRE MANAGEMENT,7415
107,script_187137.txt,Theme,Temperature analysis,PARTICLE TEMPERATURE,0.8788950443267822,AMBIENT TEMPERATURE,0.7193711996078491,ATMOSPHERIC TEMPERATURE,7415
108,script_187138.txt,Theme,Temperature analysis of forested regions,FOREST MENSURATION,0.8890087604522705,FOREST MENSURATION,0.7384359836578369,FOREST FIRE DANGER INDEX,7415
109,script_187226.txt,Theme,Cloud and shadow detection,CLOUD INDICATORS,0.8567993640899658,CLOUD OPTICAL DEPTH/THICKNESS,0.6741504073143005,CLOUD MICROPHYSICS,7415
110,script_187226.txt,Theme,Water body identification,LAKES/RESERVOIRS,0.8486472368240356,WATER CHARACTERISTICS,0.721213161945343,HYDROGRAPHY,7415
111,script_187248.txt,Theme,LST mapping,LEAF AREA INDEX (LAI),0.8117755055427551,DST INDEX,0.61016845703125,LAND SURFACE TEMPERATURE,7414
112,script_187481.txt,Theme,Flood mapping,FLOOD LEVELS,0.8788281679153442,FLOODING,0.7579173445701599,FLOODS,7414
113,script_187481.txt,Theme,Backscatter analysis,RADAR BACKSCATTER,0.8840136528015137,RADAR BACKSCATTER,0.6893082857131958,AEROSOL BACKSCATTER,7414
114,script_187481.txt,Theme,Histogram visualization,VISIBLE WAVELENGTHS,0.7972127199172974,VIEWING GEOMETRY,0.6639342308044434,REMOTE SENSING DATA VISUALIZATION,7414
115,script_187523.txt,Theme,Flood mapping using Sentinel-1 data,FLOOD LEVELS,0.8309977650642395,FLOOD FREQUENCY,0.6671980619430542,FLOODS,7414
116,script_187528.txt,Theme,Flood mapping using Sentinel-1 data,FLOOD LEVELS,0.8309977650642395,FLOOD FREQUENCY,0.6671980619430542,FLOOD MAPPING,7420
117,script_187530.txt,Theme,Flood mapping using Sentinel-1 backscatter data.,LIDAR BACKSCATTER,0.8318696022033691,FLOOD FREQUENCY,0.6279414892196655,BACKSCATTER ANALYSIS,7420
118,script_187532.txt,Theme,Flood mapping,FLOOD LEVELS,0.8788281679153442,FLOODING,0.7579173445701599,FLOOD MAPPING,7420
119,script_187532.txt,Theme,Backscatter analysis,RADAR BACKSCATTER,0.8840136528015137,RADAR BACKSCATTER,0.6893082857131958,BACKSCATTER ANALYSIS,7420
120,script_187532.txt,Theme,Image histogram generation,RADAR IMAGERY,0.7694493532180786,PHOTOSYNTHESIS,0.6409343481063843,IMAGE HISTOGRAM GENERATION,7420
121,script_187533.txt,Theme,Flood mapping using Sentinel-1 data,FLOOD LEVELS,0.8309977650642395,FLOOD FREQUENCY,0.6671980619430542,FLOOD MAPPING,7422
122,script_187534.txt,Theme,Flood mapping,FLOOD LEVELS,0.8788281679153442,FLOODING,0.7579173445701599,FLOOD MAPPING,7422
123,script_187534.txt,Theme,Backscatter analysis,RADAR BACKSCATTER,0.8840136528015137,RADAR BACKSCATTER,0.6893082857131958,BACKSCATTER ANALYSIS,7422
124,script_187535.txt,Theme,Flood mapping using Sentinel-1 data,FLOOD LEVELS,0.8309977650642395,FLOOD FREQUENCY,0.6671980619430542,FLOOD MAPPING,7422
125,script_187582.txt,Theme,Land cover classification using Sentinel-2 data,LAND USE/LAND COVER CLASSIFICATION,0.8395122289657593,LAND USE/LAND COVER CLASSIFICATION,0.702070415019989,LAND USE/LAND COVER CLASSIFICATION,7422
126,script_187585.txt,Theme,Vegetation monitoring through MODIS EVI,VEGETATION INDEX,0.8314121961593628,VEGETATION INDEX,0.6365107297897339,VEGETATION INDEX,7425
127,script_187585.txt,Theme,Principal Component Analysis (PCA),PRECIPITATION ANOMALIES,0.8126816749572754,PARTICULATE MATTER (PM 1.0),0.6080098152160645,PRINCIPAL COMPONENT ANALYSIS,7425
128,script_187586.txt,Theme,Vegetation monitoring,VEGETATION INDEX,0.884047269821167,FOREST MENSURATION,0.7622950077056885,VEGETATION INDEX,7425
129,script_187586.txt,Theme,Principal Component Analysis,PRECIPITATION ANOMALIES,0.8241201639175415,SENSOR CHARACTERISTICS,0.633380651473999,PRINCIPAL COMPONENT ANALYSIS,7425
130,script_187587.txt,Theme,Vegetation monitoring through MODIS EVI analysis,VEGETATION INDEX,0.8500301837921143,VEGETATION INDEX,0.6218575239181519,VEGETATION INDEX,7425
131,script_187587.txt,Theme,Principal Component Analysis (PCA) for feature extraction,PRECIPITATION PROFILES,0.7692127227783203,SENSOR CHARACTERISTICS,0.6057206392288208,LAND USE/LAND COVER CLASSIFICATION,7419
132,script_187738.txt,Theme,Cropland segmentation and classification,LAND SURFACE/AGRICULTURE INDICATORS,0.8490258455276489,SOIL CLASSIFICATION,0.6873120069503784,AGRICULTURE PRODUCTION,7419
133,script_187749.txt,Theme,Vegetation monitoring,VEGETATION INDEX,0.884047269821167,FOREST MENSURATION,0.7622950077056885,VEGETATION INDEX,7419
134,script_187821.txt,Theme,Fire monitoring,FIRE MANAGEMENT,0.9137814044952391,FIRE MANAGEMENT,0.730659544467926,FIRE MANAGEMENT,7419
135,script_187822.txt,Theme,Fire monitoring,FIRE MANAGEMENT,0.9137814044952391,FIRE MANAGEMENT,0.730659544467926,FOREST FIRE DANGER INDEX,7419
136,script_187825.txt,Theme,Fire monitoring,FIRE MANAGEMENT,0.9137814044952391,FIRE MANAGEMENT,0.730659544467926,FIRE MANAGEMENT,7408
137,script_187888.txt,Theme,NDVI calculation,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.8218573331832886,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.6938648819923401,VEGETATION INDEX,7408
138,script_187888.txt,Theme,Woodlot intermediate point sampling,PARTICLE SIZE DISTRIBUTION,0.7866894006729126,COMMON MIDPOINT GATHER,0.5776757001876831,FOREST MANAGEMENT,7408
139,script_187895.txt,Theme,Land cover classification,LAND USE/LAND COVER CLASSIFICATION,0.9255800247192384,LAND USE/LAND COVER CLASSIFICATION,0.8051952123641968,LAND USE/LAND COVER CLASSIFICATION,7408
140,script_188011.txt,Theme,Temperature analysis,PARTICLE TEMPERATURE,0.8788950443267822,AMBIENT TEMPERATURE,0.7193711996078491,LAND SURFACE TEMPERATURE,7408
141,script_188030.txt,Theme,NDVI analysis on Landsat 8 TOA data,BERYLLIUM-10 ANALYSIS,0.7988078594207764,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI),0.5204875469207764,LAND USE/LAND COVER,7420
142,script_188052.txt,Theme,Water extraction based on Otsu thresholding,WATER VAPOR CONCENTRATION PROFILES,0.8438810110092163,WATER CHARACTERISTICS,0.6136304140090942,WATER RESOURCES,7420
143,script_188068.txt,Theme,Flood impact assessment,FLOOD LEVELS,0.8510619401931763,INUNDATION AMOUNT,0.7028100490570068,HYDROGRAPHY,7420
144,script_188073.txt,Theme,Flood analysis,FLOOD LEVELS,0.8779727220535278,FLOODING,0.6835716366767883,PRECIPITATION,7420
