ID,Script_ID,Entity_Type,Value,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_BAAI,Top1_Similarity_BAAI,Value_GPT3.5,Usage
49,script_120271.txt,Function,Calculate min and max values,Compute Minimum Values,0.934084952,Compute Maximum Values,0.803288221,Compute Maximum Values,4885
50,script_120271.txt,Function,Create gradient bar for visualization,Gradient Calculation,0.849151492,Generate Visualizations and Charts For Analysis,0.681638598,Generate Histograms,4885
51,script_120271.txt,Function,Add frame for visualization,Visualization Setup,0.858812571,Enhancing Image Visualization,0.794111609,Add A Legend,4884
52,script_120271.txt,Function,Add scalebar for visualization,Visualize Data Layers,0.833092928,Enhancing Image Visualization,0.736974299,Add A Legend,4884
53,script_120557.txt,Function,Cloud and cloud shadow masking,Cloud And Shade Masking,0.967410088,Cloud And Cloud Shadow Masking,0.950388312,Cloud And Shade Masking,4884
54,script_120557.txt,Function,Decision tree classification for water and vegetation detection,Decision Tree Classification,0.910028934,Filter And Process Images For Water Detection,0.700044036,Decision Tree Classification,4884
55,script_125294.txt,Function,Cloud masking for Landsat 5 imagery,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.912951708,Image Cloud Masking,0.807549596,Image Cloud Masking,4884
56,script_125294.txt,Function,Image collection filtering by date and cloud cover,Filter Image Collection By Cloud Coverage,0.967042923,Filter Image Collection By Cloud Coverage,0.86286813,Filter Image Collection By Date And Cloud Cover,4899
57,script_125294.txt,Function,Image compositing and visualization,Image Preprocessing,0.902517617,Enhancing Image Visualization,0.822080135,Generate Image Composites,4899
58,script_125294.txt,Function,Exporting processed images to Google Drive,Export Processed Images To Google Drive,0.980241239,Export Processed Images To Google Drive,0.970425546,Export Processed Images To Google Drive,4899
59,script_131942.txt,Function,Cloud masking for cloud-free image extraction,Image Cloud Masking,0.907122612,Image Cloud Masking,0.813851416,Cloud And Shade Masking,4899
60,script_131942.txt,Function,Image clipping over study area,Clip Images To A Specific Region,0.878366113,Clip Images To A Specific Region,0.768338501,Clip Images To A Specific Region,4899
61,script_131942.txt,Function,Filtering Sentinel scenes by date and cloud cover percentage,Filter Images By Cloud Cover,0.888216078,Filter Images By Cloud Cover,0.715757489,Filter Image Collection By Date And Cloud Cover,4887
62,script_131942.txt,Function,Creating training data for classification,Training Data Creation,0.93972832,Training Data Creation,0.852115273,Sample Collection,4887
63,script_131942.txt,Function,Running random forest classifier,Random Forest Classification,0.919842601,Train And Apply Random Forest Classifier,0.8116889,Random Forest Classification,4887
64,script_131942.txt,Function,Accuracy assessment using confusion matrix,Evaluate Classifier Performance Using Confusion Matrix,0.89117831,Accuracy Assessment,0.774016261,Accuracy Assessment,4887
65,script_131942.txt,Function,Reprojecting classified image to UTM,Exporting Classified Images,0.859450996,Image Reprojection,0.734707594,Image Reprojection,4887
66,script_131942.txt,Function,Converting classified image to vector,Exporting Classified Images,0.880267739,Exporting Classified Images,0.75325644,Convert Raster To Vector,4891
67,script_131942.txt,Function,Exporting classified and reprojected images,Exporting Classified Images,0.937758565,Exporting Classified Images,0.837515473,Export Processed Images,4891
68,script_144864.txt,Function,Cloud and cirrus mask application,Cloud And Water Masking,0.905934513,Cloud And Water Masking,0.78176415,Cloud And Shadow Removal,4891
69,script_144864.txt,Function,Satellite image selection and processing,Visualize Satellite Images,0.881573677,Visualize Satellite Images,0.714630723,Image Band Manipulation,4891
70,script_144864.txt,Function,NDVI calculation and land cover classification,Computes Normalized Difference Vegetation Index (NDVI),0.916067719,Land Cover Classification And Mapping,0.761091173,Calculate NDVI And Date Information,4891
71,script_144864.txt,Function,Area calculation of classified land cover,Calculates And Displays Area For Each Land Cover Category,0.922303915,Area Calculation,0.783237994,Area Calculation,4887
72,script_146128.txt,Function,Image selection based on date and cloud cover,Filter Images By Cloud Cover,0.929133773,Filter Images By Cloud Cover,0.804153442,Filter Image Collection By Date And Cloud Cover,4887
73,script_146128.txt,Function,Feature collection merging for training data creation,Merge Feature Collections For Training Data,0.97531867,Merge Feature Collections For Training Data,0.92344898,Merge Feature Collections,4887
74,script_146128.txt,Function,Classifier training using CART algorithm,Training CART Classifier,0.964467883,Training CART Classifier,0.901615024,Training CART Classifier,4887
75,script_146128.txt,Function,Image classification based on trained classifier,Classify Images Based On Training Data,0.956786513,Classify Images Based On Trained Model,0.851449311,Machine Learning Classification,4887
76,script_15043.txt,Function,Training data preparation for RF and CART classifiers,Data Preparation For Training,0.919759274,Training CART Classifier,0.786557853,Training Data Sampling,4875
77,script_15043.txt,Function,Feature importance computation,Feature Importance Calculation,0.964663744,Feature Importance Calculation,0.905576646,Feature Importance Analysis,4875
78,script_15043.txt,Function,RF and CART classification of imagery,Prepares Images For Classification,0.844585836,Training CART Classifier,0.673634827,Machine Learning Classification,4875
79,script_15043.txt,Function,Accuracy assessment of classification results,Correct Classification Results Using Specified Conditions,0.901330709,Accuracy Assessment,0.814639568,Accuracy Assessment,4875
80,script_15043.txt,Function,Visualizing classification results,Generate Visualizations And Statistical Charts For Classification Results,0.922911167,Generate Visualizations And Statistical Charts For Classification Results,0.845932007,Data Visualization,4875
81,script_155017.txt,Function,Filtering MODIS images by location and date,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.904588819,Filter Images By Date And Region,0.829271674,Filter Image Collection By Date And Region,4887
82,script_155017.txt,Function,Scaling MODIS LST data,Apply Scale Factors To Features,0.824339747,Scaling index/indices values,0.685655355,Image Scaling,4887
83,script_155017.txt,Function,Calculating mean LST for settlements,Calculate Long-Term Averages,0.855530381,Compute Mean Values,0.634160519,Calculate Mean Of Image Collection,4887
84,script_155017.txt,Function,Formatting and exporting time series data,Export Time Series Data,0.95075047,Export Time Series Data,0.874237061,Export Time Series Data,4887
85,script_159299.txt,Function,Image collection filtering,Filter Image Collection,0.987343848,Filter Image Collection,0.88791275,Filter Image Collection,4887
86,script_159299.txt,Function,Image median calculation,Calculates Median Of Image Collection,0.943009853,Calculates Median Of Image Collection,0.837702632,Calculate Median Of Image Collection,4863
87,script_159299.txt,Function,Feature collection merging,Merge Feature Collections,0.972714305,Merge Feature Collections,0.92433989,Merge Feature Collections,4863
88,script_159299.txt,Function,Training data creation,Training Data Creation,0.991856694,Training Data Creation,0.951555014,Training Data Creation,4863
89,script_159299.txt,Function,Classifier training,Training CART Classifier,0.921153069,Training CART Classifier,0.808868408,Training Model,4863
90,script_159299.txt,Function,Image classification,Classify Images Based On Training Data,0.934904814,Image Differencing,0.792265058,Classification,4863
91,script_165234.txt,Function,Cloud masking,Cloud And Shade Masking,0.958947599,Image Cloud Masking,0.901710093,Image Cloud Masking,4868
92,script_165234.txt,Function,NDVI calculation,Computes Normalized Difference Vegetation Index (NDVI),0.900147438,Compute Median Of NDVI,0.863728523,Calculate NDVI,4868
93,script_165234.txt,Function,Date extraction,Burn Date Extraction,0.897471666,Burn Date Extraction,0.782136679,Add Date Bands To Images,4868
94,script_165234.txt,Function,Month extraction,Endmember extraction,0.850899458,Creating Monthly Composite,0.691662014,Filter Image Collection By Month,4868
95,script_165234.txt,Function,DOY extraction,Endmember extraction,0.885774493,Texture Feature Extraction,0.564462423,Calculate NDVI,4868
96,script_165234.txt,Function,Quality mosaic,Quality Mosaic Generation,0.868239045,Quality Mosaic Generation,0.782504439,Quality Mosaic,4876
97,script_173652.txt,Function,Cloud and shadow masking,Cloud And Shade Masking,0.970713556,Cloud And Cloud Shadow Masking,0.933878124,Cloud And Shade Masking,4876
98,script_173652.txt,Function,LandTrendr change detection algorithm execution,Run Algorithm For Change Detection,0.890787482,Land Cover Change Detection,0.681940198,Change Detection,4876
99,script_174376.txt,Function,Composite creation from Landsat images,Creates Time Series Composites Of Satellite Images,0.900591969,Generate Image Composites,0.799542904,Generate Image Composites,4876
100,script_174376.txt,Function,Training data sampling,Training Data Sampling,0.973491311,Training Data Sampling,0.967372775,Training Data Sampling,4876
101,script_174376.txt,Function,Random Forest classification,Random Forest Classification,0.984997869,Random Forest Classification,0.968729019,Random Forest Classification,4871
102,script_174376.txt,Function,Classification visualization,Generate Visualizations And Statistical Charts For Classification Results,0.908801198,Data Visualization,0.816664577,Classification And Machine Learning,4871
103,script_174474.txt,Function,Cloud masking operation,Cloud And Shade Masking,0.944452047,Image Cloud Masking,0.812716782,Cloud And Shade Masking,4871
104,script_174474.txt,Function,NDVI calculation operation,Computes Normalized Difference Vegetation Index (NDVI),0.884985924,Compute Median Of NDVI,0.793205738,Calculate NDVI,4871
105,script_174747.txt,Function,Filtering country boundaries,Filtering Administrative Boundaries,0.88061142,Filtering Administrative Boundaries,0.868163466,Filtering Administrative Boundaries,4871
106,script_174747.txt,Function,Calculating mean temperature,Temperature Calculation,0.923380256,Temperature Calculation,0.86078763,'Calculate Mean Values',4886
107,script_174747.txt,Function,Testing trend significance,Significance Testing,0.915867209,Significance Testing,0.638839662,'Trend Analysis',4886
108,script_176914.txt,Function,Training a classifier for land cover classification,Training And Sampling For Land Cover Classification,0.906276345,Training And Sampling For Land Cover Classification,0.865885556,'Training Model',4886
109,script_176914.txt,Function,Classifying the image based on trained classifier,Classify Images Based On Training Data,0.956052482,Classify Images Based On Trained Model,0.885306716,'Machine Learning Classification',4886
110,script_176914.txt,Function,Calculating area for each land cover class,Calculates And Displays Area For Each Land Cover Category,0.925489068,Calculates And Displays Area For Each Land Cover Category,0.86819917,'Calculates Area',4886
111,script_176914.txt,Function,Assessing classification accuracy,Validating Classification,0.911181092,Accuracy Assessment,0.789090693,Accuracy Assessment,4884
112,script_179626.txt,Function,Cloud masking for image preprocessing,Image Cloud Masking,0.959971547,Image Cloud Masking,0.857090473,Cloud And Shade Masking,4884
113,script_179626.txt,Function,NDVI calculation for vegetation analysis,Computes Normalized Difference Vegetation Index (NDVI),0.923241258,Computes Normalized Difference Vegetation Index (NDVI),0.843958735,Vegetation Indices/Index Calculation,4884
114,script_179626.txt,Function,LST calculation for temperature mapping,Temperature Calculation,0.884165943,Temperature Calculation,0.716488183,Surface Temperature Calculation,4884
115,script_180257.txt,Function,Buffering points for analysis,Buffering Points To Create Zones For Analysis,0.924065351,Buffering Points To Create Zones For Analysis,0.872338295,Buffering Points For Sample Expansion,4884
116,script_180257.txt,Function,Calculating zonal statistics for Landsat images,Calculate Area Statistics,0.874895096,Calculate Area Statistics,0.700757861,Statistics Calculation,4890
117,script_186294.txt,Function,Masking clouds in Sentinel-2 images,Image Cloud Masking,0.920149922,Image Cloud Masking,0.79563731,Image Cloud Masking,4890
118,script_186294.txt,Function,Calculating NDVI from NIR and RED bands,Calculate Data For Specific Spectral Bands,0.869957745,Add NDVI Band To Images,0.749431014,Spectral Index Computation,4890
119,script_186319.txt,Function,NDVI calculation for image collection,Calculate Statistical Indicators Of Image Collection,0.886042356,Compute Median Of NDVI,0.762908757,Temporal Data Filtering,4890
120,script_186319.txt,Function,NBR calculation for image collection,Calculate NBR for Post-Fire Image,0.902786493,Calculate Normalized Burn Ratio (NBR) For Images,0.833652139,Change Detection,4890
121,script_186319.txt,Function,Exporting image properties to CSV,Export Composite Image,0.882793188,Exporting Classified Images,0.729690075,Export Processed Data,4886
122,script_186319.txt,Function,Exporting mosaic image to Google Drive,Export Processed Images To Google Drive,0.912618756,Export Processed Images To Google Drive,0.780914545,Export Mosaic,4886
123,script_186319.txt,Function,Exporting individual scenes to Google Drive,Export Processed Images To Google Drive,0.908949018,Export Processed Images To Google Drive,0.78959024,Export Individual Scenes,4886
124,script_186320.txt,Function,NDVI calculation for vegetation health assessment,Computes Normalized Difference Vegetation Index (NDVI),0.917135179,Computes Normalized Difference Vegetation Index (NDVI),0.804829836,Calculate NBR,4886
125,script_186320.txt,Function,NBR calculation for burn severity mapping,Calculate dNBR For Fire Severity,0.924539089,Calculate dNBR For Fire Severity,0.809765875,Export Individual Scenes,4886
126,script_186321.txt,Function,Calculates NDVI for image collection,Calculate Statistical Indicators Of Image Collection,0.888013184,Compute Median Of NDVI,0.76410991,Calculate Spectral Indices And Ratios From Satellite Bands,4903
127,script_186321.txt,Function,Calculates NBR for image collection,Calculate NBR for Post-Fire Image,0.909865379,Calculate Normalized Burn Ratio (NBR) For Images,0.835988998,Calculate NBR for Post-Fire Image,4903
128,script_186321.txt,Function,Exports image properties to CSV,Export Composite Image,0.876732051,Exporting Classified Images,0.71231842,Export Processed Data,4903
129,script_186321.txt,Function,Creates and exports mosaic images,Creates And Exports Image Mosaics,0.96484381,Creates And Exports Image Mosaics,0.877648115,Export Processed Images,4903
130,script_186321.txt,Function,Filters and exports individual scenes,Export Processed Images,0.831586361,Filter And Visualize,0.704257607,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,4903
131,script_186323.txt,Function,NDVI calculation on image collection,Calculate Statistical Indicators Of Image Collection,0.888657868,Compute Median Of NDVI,0.759616077,Calculate Temporal Spectral Indices,4903
132,script_186323.txt,Function,NBR calculation on image collection,Calculate NBR for Post-Fire Image,0.906363904,Calculate Normalized Burn Ratio (NBR) For Images,0.831284225,Calculate Difference Between Pre- And Post-Fire NBR,4903
133,script_186323.txt,Function,Exporting image properties to Drive,Export Processed Images To Drive,0.929979503,Export Processed Images To Drive,0.843175232,Export Processed Images To Drive,4903
134,script_186323.txt,Function,Creating and exporting mosaic image,Creates And Exports Image Mosaics,0.936659932,Creates And Exports Image Mosaics,0.843916535,Creates And Exports Image Mosaics,4903
135,script_186323.txt,Function,Exporting individual scenes,Export Features,0.865091562,Export Selected Image,0.74205327,Export Selected Image,4903
136,script_186325.txt,Function,Calculates NDVI for each image in the collection,Calculates Mean Of Image Collection,0.873276949,Calculates Median Of Image Collection,0.741261244,Image Index Calculation,4897
137,script_186325.txt,Function,Calculates NBR for each image in the collection,Calculate NBR for Post-Fire Image,0.89106214,Calculate Normalized Burn Ratio (NBR) For Images,0.793089151,Image Index Calculation,4897
138,script_186325.txt,Function,Exports image properties to a CSV file,Export Composite Image,0.875251591,Exporting Classified Images,0.705709338,Export Processed Data,4897
139,script_186325.txt,Function,Creates and exports a mosaic image,Creates And Exports Image Mosaics,0.958590329,Creates And Exports Image Mosaics,0.860396326,Export Mosaic,4897
140,script_186325.txt,Function,Detects forest loss and degradation using Landsat 8 data,Detects Forest Loss,0.86768347,Detects Forest Loss,0.78760612,Detects Forest Loss,4897
141,script_186326.txt,Function,NDVI calculation for vegetation health assessment,Computes Normalized Difference Vegetation Index (NDVI),0.917135179,Computes Normalized Difference Vegetation Index (NDVI),0.804829836,Calculate Environmental And Vegetation Indices,4898
142,script_186326.txt,Function,NBR calculation for burn severity mapping,Calculate dNBR For Fire Severity,0.924539089,Calculate dNBR For Fire Severity,0.809765875,Calculate Difference Normalized Burn Ratio (dNBR),4898
143,script_186329.txt,Function,NDVI calculation,Computes Normalized Difference Vegetation Index (NDVI),0.900147438,Compute Median Of NDVI,0.863728523,Calculate Environmental And Vegetation Indices,4898
144,script_186329.txt,Function,NBR calculation,Calculate NBR For Pre-Fire Image,0.892743707,Calculate NBR for Post-Fire Image,0.784500659,Calculate Difference Normalized Burn Ratio (dNBR),4898
145,script_186329.txt,Function,Image export to Drive,Export Processed Images To Drive,0.946893811,Export Processed Images To Drive,0.884583116,Export Processed Data To Drive,4898
146,script_186329.txt,Function,Mosaic creation,Quality Mosaic Generation,0.875687599,Image Mosaicking,0.810672045,Image Mosaicking,4888
147,script_186329.txt,Function,Individual scene export,Export Features,0.869615138,Export Selected Image,0.698870003,Export Processed Data,4888
148,script_186329.txt,Function,"Forest loss, degradation, and fire detection",Detects Forest Loss,0.913128376,Detects Forest Loss,0.807042241,Detects Forest Loss,4888
149,script_186332.txt,Function,NDVI calculation from MODIS bands,Computes Normalized Difference Vegetation Index (NDVI),0.862325847,Compute Median Of NDVI,0.737938881,Calculate Temporal Spectral Indices,4888
150,script_186332.txt,Function,Unsupervised clustering using KMeans algorithm,Unsupervised Clustering,0.911940575,Unsupervised Clustering,0.769752681,Unsupervised Clustering,4888
151,script_186333.txt,Function,NDVI calculation,Computes Normalized Difference Vegetation Index (NDVI),0.900147438,Compute Median Of NDVI,0.863728523,Calculate Spectral Indices And Ratios From Satellite Bands,4885
152,script_186333.txt,Function,Unsupervised clustering,Unsupervised Clustering,0.992793262,Unsupervised Clustering,0.923395514,Unsupervised Clustering,4885
153,script_186333.txt,Function,Class merging,Merging (Combining Multiple Bands),0.83298558,Merging (Combining Multiple Bands),0.699325681,Merge Feature Collections,4885
154,script_186333.txt,Function,Land cover refinement,Mapping Land Cover,0.906526446,Land Cover Change Detection,0.764057755,Land Cover Change Analysis,4885
155,script_186334.txt,Function,Filtering MODIS images by date and region,Filter Images By Date And Region,0.913217545,Filter Images By Date And Region,0.872489572,Filter Image Collection By Date And Region,4885
156,script_186334.txt,Function,Calculating NDVI for each image,Add NDVI Band To Images,0.886396646,Compute Median Of NDVI,0.793122172,Calculate Spectral Indices And Ratios From Satellite Bands,4897
157,script_186334.txt,Function,Creating a multiband image for classification,Classify Images Based On Training Data,0.897135496,Prepares Images For Classification,0.734074235,Image Band Addition,4897
158,script_186334.txt,Function,Training a clusterer for unsupervised classification,Train A Clusterer,0.890414953,Unsupervised Clustering,0.778432369,Train A Clusterer,4897
159,script_186334.txt,Function,Merging classes based on crop types,Remapping Land Cover Classes,0.845048666,Remapping Land Cover Classes,0.682518303,Merge Different Land Cover Feature Collections,4897
160,script_186338.txt,Function,Filtering steep terrain for image selection,Terrain Analysis,0.857719421,Filtering Polygons,0.742617369,Terrain Analysis,4897
161,script_186338.txt,Function,Removing seasonal signal from images,Image Cloud Removal,0.881020486,Seasonal Filtering,0.74361974,Temporal Filtering,4892
162,script_186338.txt,Function,Fitting trend lines to time series data,Time Series Analysis,0.896257758,Detect Trends In Time Series Data,0.805149913,Trend Analysis,4892
163,script_186338.txt,Function,Fitting step functions to time series data,Time Series Analysis,0.874670208,Detect Trends In Time Series Data,0.695367694,Trend Analysis,4892
164,script_186338.txt,Function,Identifying spikes in time series data,Detect Trends In Time Series Data,0.914730906,Detect Trends In Time Series Data,0.803210974,Anomaly Detection,4892
165,script_186356.txt,Function,Refined Lee speckle filtering for noise reduction,Refined Lee Speckle Filtering,0.955109358,Refined Lee Speckle Filtering,0.886125684,Refined Lee Speckle Filtering,4892
166,script_186356.txt,Function,Composite creation for SAR image visualization,Generate Image Composites,0.884643555,Generate Image Composites,0.75547421,Generate Image Composites,4881
167,script_186356.txt,Function,Classification training and application using CART algorithm,Training CART Classifier,0.95210743,Training CART Classifier,0.826275945,Machine Learning Classification,4881
168,script_186365.txt,Function,Image filtering by date and location,Filter Images By Date And Region,0.955160141,Filter Images By Date And Region,0.891982794,Filter Image Collection By Date And Region,4881
169,script_186365.txt,Function,NDVI calculation,Computes Normalized Difference Vegetation Index (NDVI),0.900147438,Compute Median Of NDVI,0.863728523,Calculate NDVI,4881
170,script_186365.txt,Function,EVI calculation,"Calculate Other Vegetation Indices/index (SAVI, EVI)",0.867396772,"Calculate Other Vegetation Indices/index (SAVI, EVI)",0.735640645,Calculate EVI,4881
171,script_186365.txt,Function,NDWI calculation,Calculates Normalized Difference Water Index (NDWI),0.911914587,Calculates Normalized Difference Water Index (NDWI),0.793720603,Calculate Normalized Difference Water Index (NDWI),4900
172,script_186365.txt,Function,NDBI calculation,Calculate Normalized Difference Water Body Index (NDWBI),0.867598057,Calculate Normalized Difference Water Body Index (NDWBI),0.713909745,Calculate Normalized Difference Built-up Index (NDBI),4900
173,script_186365.txt,Function,BAI calculation,Burn Area Index Calculation,0.841940522,Burn Area Index Calculation,0.641473949,Calculate Burn Area Index (BAI),4900
174,script_186365.txt,Function,NBRT calculation,Calculate NBR For Pre-Fire Image,0.87308532,Calculate Difference Normalized Burn Ratio (dNBR),0.65165484,Calculate Normalized Burn Ratio Threshold (NBRT),4900
