ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_BERT,Top1_Similarity_BERT,Value_BERT0,Top1_Similarity_BERT0,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_GPT3.5,Usage
14,script_10828.txt,Function,Linear interpolation for filling missing values,Interpolate Missing Values,0.846874952,Interpolate Missing Values,0.999107361,Buffering Points For Sample Expansion,0.918932199,Interpolate Missing Values,0.948812604,Interpolate Missing Values,4906
15,script_10828.txt,Function,Feature collection creation for point information extraction,Feature Importance Extraction,0.741367936,Map Visualization Of Feature Collection,0.999272764,Image Segmentation,0.95195955,Feature Importance Extraction,0.872635961,Sample Collection,4906
16,script_110133.txt,Function,Selecting Sentinel-1 GRD data based on defined parameters,Filtering Precipitation Data,0.587073147,Refinement Of Datasets,0.998668373,Generate Time Series Data For NDVI Changes,0.906198978,Select Data,0.834402025,Data Acquisition And Preprocessing,4911
17,script_110133.txt,Function,Calculating flood extent by comparing before and after images,Flood Area Calculation,0.743469536,Calculate Ratio Between Recent And Historical Images,0.999031186,Calculate Ratio Between Recent And Historical Images,0.913094759,Flood Area Calculation,0.886034608,Change Detection,4911
18,script_110133.txt,Function,Refining flood result using JRC surface water seasonality data,Calculate Features To Refine Flood Analysis,0.707749605,Convert Flood Detection Results To Vector Polygons,0.999152839,Sampling Regions For Training Data,0.927975357,Calculate Features To Refine Flood Analysis,0.856975734,Quality Assessment,4911
19,script_110133.txt,Function,Masking out areas with more than 5% slope using a Digital Elevation Model,Elevation Masking,0.72098738,Calculate Difference Normalized Burn Ratio (dNBR),0.997667789,Filter Image Collection By Cloud Coverage,0.907308102,Elevation Masking,0.888075709,Spatial Masking,4911
20,script_110133.txt,Function,Calculating exposed population density based on GHSL data,Sensitivity Calculation,0.608640194,Visualize Elevation Data (DEM),0.999145925,Estimating Soil Loss,0.936415911,Calculate Area Statistics,0.815441012,Estimation,4911
21,script_115907.txt,Function,Masking clouds in Landsat 8 images,Image Cloud Masking,0.79304719,Filter Images By Cloud Cover,0.999030113,Filter Image Collection By Cloud Coverage,0.8784284,Image Cloud Masking,0.904496789,Image Cloud Masking,4912
22,script_115907.txt,Function,Adding NDVI and time bands to Landsat 8 images,Add NDVI Band To Images,0.76627624,Add NDWI Band To Images,0.999057412,Add NDVI Band To Images,0.889463186,Add NDVI Band To Images,0.881468654,Add NDVI Band To Images,4912
23,script_115907.txt,Function,Filtering and processing Landsat 8 data,Data Filtering,0.694952607,Filter And Process Images For Water Detection,0.998958707,Data Acquisition And Preprocessing,0.916883051,Filter And Mosaic Landsat Images,0.862750888,Filter And Process Images For Water Detection,4912
24,script_115907.txt,Function,Masking clouds in Sentinel-2 images,Image Cloud Masking,0.79563731,Clip Images To Specific Geographic Boundaries,0.998950839,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.821410894,Image Cloud Masking,0.920149922,Cloud And Shade Masking,4912
25,script_115907.txt,Function,Adding NDVI and time bands to Sentinel-2 images,Add NDVI Band To Images,0.770600796,Calculate Normalized Infrared Vegetation Index (NIRV),0.998737574,Generate Time Series Charts Of Corrected Data,0.875242352,Add NDVI Band To Images,0.918654025,Add NDVI Band To Images,4912
26,script_115907.txt,Function,Filtering and processing Sentinel-2 data,Data Filtering,0.672100604,Visualize Multi-Temporal Satellite Data,0.998712301,Data Acquisition And Preprocessing,0.915425539,Data Filtering,0.864688039,Filter And Process Images For Water Detection,4922
27,script_115907.txt,Function,Creating and displaying a temporal signature chart for NDVI in different vegetation areas,Generate Time Series Charts For NDVI,0.77083838,Calculate Normalized Difference Water Body Index (NDWBI),0.998174191,Nighttime light data analysis,0.902392983,Generate Time Series Charts For NDVI,0.878009737,Generate Time Series Charts For NDVI,4922
28,script_118175.txt,Function,Apply scale factors to Landsat imagery,Apply Scale Factors To Image,0.811321735,Apply Scale Factors To Image,0.999139071,Apply Scale Factors To Image,0.96423173,Apply Scale Factors To Features,0.889811277,Apply Scale Factors To Image,4922
29,script_118175.txt,Function,Mask clouds in Sentinel-2 imagery,Image Cloud Masking,0.732613027,Visualize Elevation Data (DEM),0.998740852,Smooth Radar Speckle In Images,0.864330053,Image Cloud Masking,0.873942494,Image Cloud Masking,4922
30,script_118175.txt,Function,"Calculate NDVI, NDWI, MNDWI, NDSI, EWI indices",Calculates Normalized Difference Water Index (NDWI),0.765654325,Computes Normalized Difference Vegetation Index (NDVI),0.99871707,Calculate Normalized Difference And Other Indices,0.886651576,Calculate Normalized Difference Water Body Index (NDWBI),0.872861624,Calculate Spectral Indices And Ratios From Satellite Bands,4922
31,script_118175.txt,Function,Identify ICE pixels in Sentinel-2 imagery,Filtering Pixels,0.595558465,Clip Images To Specific Geographic Boundaries,0.998415053,Generate Time Series Charts Of Temperature Data,0.912059724,Image Segmentation,0.840328753,Identify Water And Flood Surfaces Using Indices,4903
32,script_118175.txt,Function,Quality mosaic and max composite creation,Quality Mosaic Generation,0.734885275,Quality Mosaic Generation,0.99907279,Filter And Mosaic Landsat Images,0.872198462,Quality Mosaic Generation,0.878625691,Quality Mosaic Generation,4903
33,script_119133.txt,Function,Calculation of NBR before and after the fire,Calculate Burned Area,0.660027087,Calculate NBR For Pre-Fire Image,0.997725725,Burn Area Index Calculation,0.914081275,Estimating Fire Accumulation,0.87591362,Calculate NBR for Pre-Fire Image,4903
34,script_119133.txt,Function,Generation of training dataset,Training Data Creation,0.80900538,Training Data Creation,0.999099195,Data Preparation For Training,0.922669113,Training Data Creation,0.931626141,Training Data Creation,4903
35,script_119133.txt,Function,Training the dataset using wekaCascadeKMeans algorithm,Filtering Training Data,0.652156949,Calculate NBR For Pre-Fire Image,0.998313785,Stacking Multiple Images,0.881551206,Machine Learning Model Training,0.839112401,Train And Apply Random Forest Classifier,4903
36,script_119133.txt,Function,Statistical analysis and visualization of results,Data Visualization,0.813971102,Spatial Analysis And Modeling,0.999181926,Estimating Phenology Metrics,0.902888894,Generate Visualizations And Statistical Charts For Classification Results,0.896641254,Statistics Calculation,4880
37,script_119133.txt,Function,Application of filters for result visualization,Filter And Visualize,0.814942837,Map Visualization Of Feature Collection,0.999097288,Data Visualization,0.946112275,Filter And Visualize,0.926430225,Cluster Analysis,4880
38,script_119133.txt,Function,Reclassification and multiplication of binary and severity classification images,Binary Image Creation,0.706395626,Generate Visualizations And Statistical Charts For Classification Results,0.998834193,Feature Filtering And Mapping,0.892368078,Prepares Images For Classification,0.878236294,Reclassify,4880
39,script_11983.txt,Function,Cloud and shadow masking,Shadow Masking,0.869046092,Cloud And Cloud Shadow Masking,0.999847174,Cloud And Cloud Shadow Masking,0.969192922,Image Cloud Masking,0.923042893,Cloud And Shadow Masking,4880
40,script_11983.txt,Function,NDVI calculation,Visualize NDVI Results,0.738414049,Seasonal NDVI Analysis,0.999515414,Pixel Count Calculation,0.960101128,Visualize NDVI Results,0.871041358,Image Index Calculation,4880
41,script_11983.txt,Function,Image collection filtering,Filter Image Collection,0.88791275,Filter Image Collection,0.999664903,Temporal Image Collection Filtering,0.983245134,Filter Image Collection,0.987343848,Filter Image Collection,4888
42,script_11983.txt,Function,Image differencing,Image Differencing,0.94023478,Image Differencing,1,Image Differencing,1,Image Differencing,0.986123145,Image Differencing,4888
43,script_11983.txt,Function,Anomaly calculation,Anomaly Calculation,0.970436454,Anomaly Calculation,0.999999762,Anomaly Calculation,0.99999994,Anomaly Calculation,0.990288794,Anomaly Calculation,4888
44,script_120271.txt,Function,Calculate NDVI band,Add NDVI Band To Images,0.801994622,Seasonal NDVI Analysis,0.99930799,Calculate Tree Cover Area,0.940245509,Calculate Data For Specific Spectral Bands,0.861503124,Add NDVI Band To Images,4888
45,script_120271.txt,Function,Filter Sentinel-2 images by date and cloud cover,Filter Images By Cloud Cover,0.761249542,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.999251246,Filter Image Collection By Date And Region,0.878190279,Filter Images By Cloud Cover,0.939125538,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,4888
46,script_120271.txt,Function,Generate median composite image,Displays Composite Image,0.747817218,Generate Image Composites,0.999443889,Create Median Composite Of Images,0.957041264,Export Composite Image,0.87494278,Create Median Composite Of Images,4885
47,script_120271.txt,Function,Clip image to testing area,Clip Images To A Specific Region,0.795221448,Add NDVI Band To Images,0.999033988,Clip Temperature Data To Area Of Interest,0.904893935,Clip Images To A Specific Region,0.916523933,Clip Images To Specific Geographic Boundaries,4885
48,script_120271.txt,Function,Visualize NDVI with color palette,Visualize NDVI Results,0.801898599,Visualize Data With Specific Color Palettes,0.999360919,Visualize True Color Images,0.943803668,Visualize NDVI Results,0.919931769,Visualize NDVI Results,4885
49,script_120271.txt,Function,Calculate min and max values,Compute Maximum Values,0.803288221,Focal Max And Min Calculations,0.99903667,Calculate NBR for Post-Fire Image,0.912493587,Compute Minimum Values,0.934084892,Compute Maximum Values,4885
50,script_120271.txt,Function,Create gradient bar for visualization,Generate Visualizations and Charts For Analysis,0.681638598,Generate Visualizations and Charts For Analysis,0.999184966,Calculate Temporal Spectral Indices,0.945032835,Gradient Calculation,0.849151492,Generate Histograms,4885
51,script_120271.txt,Function,Add frame for visualization,Enhancing Image Visualization,0.794111848,Visualize NDVI And Date Information,0.999032557,Select Specific Polarization From Images,0.944903433,Visualization Setup,0.858812571,Add A Legend,4884
52,script_120271.txt,Function,Add scalebar for visualization,Enhancing Image Visualization,0.736974359,Visualize Terrain Features,0.999060988,Add NDWI Band To Images,0.938512206,Visualize Data Layers,0.833092928,Add A Legend,4884
53,script_120557.txt,Function,Cloud and cloud shadow masking,Shadow Masking,0.843055964,Cloud And Cloud Shadow Masking,0.99999994,Cloud And Cloud Shadow Masking,1,Image Cloud Masking,0.90906626,Cloud And Shade Masking,4884
54,script_120557.txt,Function,Decision tree classification for water and vegetation detection,Filter And Process Images For Water Detection,0.700044036,Filter And Process Images For Water Detection,0.999120533,Training And Sampling For Land Cover Classification,0.923671484,Identify Tree Cover,0.83779788,Decision Tree Classification,4884
55,script_125294.txt,Function,Cloud masking for Landsat 5 imagery,Image Cloud Masking,0.807549596,Filter Images By Cloud Cover,0.998856962,Terrain Occlusion Masking,0.871495843,Image Cloud Masking,0.896756351,Image Cloud Masking,4884
56,script_125294.txt,Function,Image collection filtering by date and cloud cover,Filter Image Collection By Cloud Coverage,0.86286813,Filter Image Collection By Date And Region,0.999439657,Filter Image Collection By Cloud Coverage,0.929344773,Filter Image Collection By Cloud Coverage,0.967042923,Filter Image Collection By Date And Cloud Cover,4899
57,script_125294.txt,Function,Image compositing and visualization,Enhancing Image Visualization,0.822080255,Visualization And Output Generation,0.999041796,Visualization And Output Generation,0.921429038,Image Preprocessing,0.902517617,Generate Image Composites,4899
58,script_125294.txt,Function,Exporting processed images to Google Drive,Export Processed Images To Google Drive,0.970425546,Export Processed Images To Google Drive,0.999840498,Export Processed Images To Google Drive,0.911951184,Export Processed Images To Google Drive,0.980241239,Export Processed Images To Google Drive,4899
59,script_131942.txt,Function,Cloud masking for cloud-free image extraction,Image Cloud Masking,0.813851416,Filter Image Collection By Cloud Coverage,0.999170542,Feature Filtering And Mapping,0.884367704,Image Cloud Masking,0.907122612,Cloud And Shade Masking,4899
60,script_131942.txt,Function,Image clipping over study area,Clip Images To A Specific Region,0.768338501,Filter Image Collection By Region,0.998776913,Spatial Clipping,0.95236218,Clip Images To A Specific Region,0.878366113,Clip Images To A Specific Region,4899
61,script_131942.txt,Function,Filtering Sentinel scenes by date and cloud cover percentage,Filter Images By Cloud Cover,0.71575737,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.999100268,Filter Image Collection By Date And Boundaries,0.815736711,Filter Images By Cloud Cover,0.888216138,Filter Image Collection By Date And Cloud Cover,4887
62,script_131942.txt,Function,Creating training data for classification,Training Data Creation,0.852115273,Training And Sampling For Land Cover Classification,0.998952508,Identifying Homogeneous Areas,0.927927732,Training Data Creation,0.93972832,Sample Collection,4887
63,script_131942.txt,Function,Running random forest classifier,Exporting Classified Raster,0.670212209,Train And Apply Random Forest Classifier,0.999305129,Filtering Administrative Boundaries,0.917938709,Machine Learning Model Training,0.817309201,Random Forest Classification,4887
64,script_131942.txt,Function,Accuracy assessment using confusion matrix,Accuracy Assessment,0.774016261,Evaluate Classifier Performance Using Confusion Matrix,0.999352098,Accuracy Assessment,0.970256209,Evaluate Classifier Performance Using Confusion Matrix,0.89117831,Accuracy Assessment,4887
65,script_131942.txt,Function,Reprojecting classified image to UTM,Image Reprojection,0.734707594,Filter Image Collection By Date And Region,0.998806536,Exporting Prediction Results,0.930565596,Exporting Classified Images,0.859450996,Image Reprojection,4887
66,script_131942.txt,Function,Converting classified image to vector,Exporting Classified Images,0.75325644,Convert Raster To Vector,0.999078512,Applying Mean Filter To Image,0.939114094,Exporting Classified Images,0.880267739,Convert Raster To Vector,4891
67,script_131942.txt,Function,Exporting classified and reprojected images,Exporting Classified Images,0.837515473,Exporting Classified Images,0.999122441,Exporting Classified Images,0.931158066,Exporting Classified Images,0.937758565,Export Processed Images,4891
68,script_144864.txt,Function,Cloud and cirrus mask application,Mask Application,0.753419101,Cloud And Shade Masking,0.999167681,Image Cloud Masking,0.911381602,Mask Application,0.893207729,Cloud And Shadow Removal,4891
69,script_144864.txt,Function,Satellite image selection and processing,Visualize Satellite Images,0.714630663,Sort Image Collection By Region,0.999117851,Terrain Data Generation and Analysis,0.935822248,Visualize Satellite Images,0.881573737,Image Band Manipulation,4891
70,script_144864.txt,Function,NDVI calculation and land cover classification,Land Cover Classification And Mapping,0.761091173,Training And Sampling For Land Cover Classification,0.999160111,"Maximum, Minimum And Mean Statistical Analysis (NDVI and Vegetation Indices)",0.926820576,Vegetation Indices/Index Calculation,0.881016374,Calculate NDVI And Date Information,4891
71,script_144864.txt,Function,Area calculation of classified land cover,Area Calculation,0.783237994,Map Visualization Of Feature Collection,0.999129236,Forest Area Calculation,0.945314527,Calculates And Displays Area For Each Land Cover Category,0.922303915,Area Calculation,4887
72,script_146128.txt,Function,Image selection based on date and cloud cover,Filter Images By Cloud Cover,0.804153323,Filter Image Collection By Date And Region,0.999500751,Filter Image Collection By Date And Region,0.903165281,Filter Images By Cloud Cover,0.929133892,Filter Image Collection By Date And Cloud Cover,4887
73,script_146128.txt,Function,Feature collection merging for training data creation,Merge Feature Collections For Training Data,0.92344898,Feature Collection Sampling For Training,0.999319851,Merge Feature Collections For Training Data,0.947254181,Merge Feature Collections For Training Data,0.97531867,Merge Feature Collections,4887
74,script_146128.txt,Function,Classifier training using CART algorithm,Evaluate Classifier Performance Using Confusion Matrix,0.680910468,Training CART Classifier,0.999283254,Sampling Regions For Classifier Training,0.936569571,Machine Learning Classification,0.856319904,Training CART Classifier,4887
75,script_146128.txt,Function,Image classification based on trained classifier,Classify Images Based On Trained Model,0.851449311,Classify Images Based On Trained Model,0.998974264,Sampling Regions For Classifier Training,0.937812805,Classify Images Based On Training Data,0.956786513,Machine Learning Classification,4887
76,script_15043.txt,Function,Training data preparation for RF and CART classifiers,Data Preparation For Training,0.769701064,Phenological characteristics computation,0.998876274,Training Data Creation,0.929496288,Data Preparation For Training,0.919758916,Training Data Sampling,4875
77,script_15043.txt,Function,Feature importance computation,Feature Importance Calculation,0.905576646,Feature Importance Calculation,0.999601722,Feature Importance Calculation,0.976433754,Feature Importance Calculation,0.964663744,Feature Importance Analysis,4875
78,script_15043.txt,Function,RF and CART classification of imagery,Image Differencing,0.670464396,Stack VV And VH Bands,0.998301268,Land Cover Classification And Mapping,0.915700078,Prepares Images For Classification,0.844585836,Machine Learning Classification,4875
79,script_15043.txt,Function,Accuracy assessment of classification results,Accuracy Assessment,0.814639568,Validation And Accuracy Assessment,0.999129891,Refinement Of Results,0.950419724,Correct Classification Results Using Specified Conditions,0.901330709,Accuracy Assessment,4875
80,script_15043.txt,Function,Visualizing classification results,Generate Visualizations And Statistical Charts For Classification Results,0.845932007,Validating Classification,0.999245226,Identifying Homogeneous Areas,0.923081279,Generate Visualizations And Statistical Charts For Classification Results,0.922910988,Data Visualization,4875
81,script_155017.txt,Function,Filtering MODIS images by location and date,Filter Images By Date And Region,0.829271674,Filter Images By Date And Region,0.999498904,Filtering Polygons,0.890764356,Filter Images By Date And Region,0.895531714,Filter Image Collection By Date And Region,4887
82,script_155017.txt,Function,Scaling MODIS LST data,Scaling Image Values,0.685582161,Link Maps For Synchronized Viewing,0.999069273,Scaling index/indices values,0.927287698,Apply Scale Factors To Features,0.824339747,Image Scaling,4887
83,script_155017.txt,Function,Calculating mean LST for settlements,Compute Mean Values,0.634160519,Creating Median Composites For Specific Time Periods,0.999014735,Estimating Watersheds Area,0.936342478,Compute Mean Values,0.854735076,Calculate Mean Of Image Collection,4887
84,script_155017.txt,Function,Formatting and exporting time series data,Export Time Series Data,0.874237061,Convert And Format Spatial Data For Export,0.99917227,Generating Histograms,0.887966692,Export Time Series Data,0.95075047,Export Time Series Data,4887
85,script_159299.txt,Function,Image collection filtering,Filter Image Collection,0.88791275,Filter Image Collection,0.999664903,Temporal Image Collection Filtering,0.983245134,Filter Image Collection,0.987343848,Filter Image Collection,4887
86,script_159299.txt,Function,Image median calculation,Image Index Calculation,0.803302109,Image Fraction Calculation,0.999561429,Image Index Calculation,0.970810652,Image Index Calculation,0.8823452,Calculate Median Of Image Collection,4863
87,script_159299.txt,Function,Feature collection merging,Merge Feature Collections For Training Data,0.779835939,Merge Feature Collections,0.999463618,Conversion Feature Collection,0.925148249,Merge Feature Collections For Training Data,0.931102097,Merge Feature Collections,4863
88,script_159299.txt,Function,Training data creation,Training Data Creation,0.951555014,Training Data Creation,1.000000119,Training Data Creation,1,Training Data Creation,0.991856694,Training Data Creation,4863
89,script_159299.txt,Function,Classifier training,Classify Images Based On Training Data,0.738928378,Quality Masking,0.999135137,Threshold Application,0.94171679,Trains And Applies Classifier,0.918477535,Training Model,4863
90,script_159299.txt,Function,Image classification,Image Differencing,0.792265058,Slope Classification,0.999238849,Image Mapping,0.967412829,Classify Images Based On Training Data,0.934904814,Classification,4863
91,script_165234.txt,Function,Cloud masking,Image Cloud Masking,0.901710093,Image Cloud Masking,0.999600053,Edge Masking,0.973454833,Cloud Filtering,0.935080171,Image Cloud Masking,4868
92,script_165234.txt,Function,NDVI calculation,Visualize NDVI Results,0.738414049,Seasonal NDVI Analysis,0.999515414,Pixel Count Calculation,0.960101128,Visualize NDVI Results,0.871041358,Calculate NDVI,4868
93,script_165234.txt,Function,Date extraction,Elevation Data Extraction,0.715724587,Burn Date Extraction,0.999157667,Topographic Variable Extraction,0.938683391,Endmember extraction,0.832034349,Add Date Bands To Images,4868
94,script_165234.txt,Function,Month extraction,Spectral Values Extraction,0.644966125,Topographic Variable Extraction,0.999026895,Endmember extraction,0.929406881,Endmember extraction,0.850899458,Filter Image Collection By Month,4868
95,script_165234.txt,Function,DOY extraction,Texture Feature Extraction,0.564462423,Gradient Calculation,0.998979568,Endmember extraction,0.932495594,Endmember extraction,0.885774493,Calculate NDVI,4868
96,script_165234.txt,Function,Quality mosaic,Quality Mosaic Generation,0.782504439,Quality Mosaic Generation,0.999364972,Quality Mosaic Generation,0.973571539,Quality Mosaic Generation,0.868239045,Quality Mosaic,4876
97,script_173652.txt,Function,Cloud and shadow masking,Shadow Masking,0.869046092,Cloud And Cloud Shadow Masking,0.999847174,Cloud And Cloud Shadow Masking,0.969192922,Image Cloud Masking,0.923042893,Cloud And Shade Masking,4876
98,script_173652.txt,Function,LandTrendr change detection algorithm execution,Change Detection,0.625645697,Sort Images By Acquisition Time,0.999070585,Cloud Correction Function,0.924302459,Run Algorithm For Change Detection,0.890787482,Change Detection,4876
99,script_174376.txt,Function,Composite creation from Landsat images,Filter And Mosaic Landsat Images,0.747120798,Filter And Mosaic Landsat Images,0.99915421,Mosaic Landsat Images,0.928340077,Mosaic Landsat Images,0.892347634,Generate Image Composites,4876
100,script_174376.txt,Function,Training data sampling,Data Preparation For Training,0.818870842,Training Data Sampling,0.999999881,Training Data Sampling,1,Training Data Creation,0.902142942,Training Data Sampling,4876
101,script_174376.txt,Function,Random Forest classification,Machine Learning Classification,0.691641629,Random Forest Classification,1.000000358,Random Forest Classification,1,Machine Learning Classification,0.861192942,Random Forest Classification,4871
102,script_174376.txt,Function,Classification visualization,Data Visualization,0.816664577,Validating Classification,0.999214172,Animal Density Visualization,0.960403979,Generate Visualizations And Statistical Charts For Classification Results,0.908801317,Classification And Machine Learning,4871
103,script_174474.txt,Function,Cloud masking operation,Image Cloud Masking,0.812716782,Image Cloud Masking,0.999565482,Cloud Correction Function,0.957912922,Cloud Filtering,0.926835775,Cloud And Shade Masking,4871
104,script_174474.txt,Function,NDVI calculation operation,Visualize NDVI Results,0.712132573,Seasonal NDVI Analysis,0.9993698,Cloud Correction Function,0.948590338,Visualize NDVI Results,0.864146948,Calculate NDVI,4871
105,script_174747.txt,Function,Filtering country boundaries,Filtering Administrative Boundaries,0.868163347,Angle Filtering,0.998986781,Filtering Administrative Boundaries,0.938811064,Filtering Administrative Boundaries,0.880611539,Filtering Administrative Boundaries,4871
106,script_174747.txt,Function,Calculating mean temperature,Temperature Calculation,0.86078763,Temperature Calculation,0.999175072,Slope calculation,0.946525812,Temperature Calculation,0.923380256,'Calculate Mean Values',4886
107,script_174747.txt,Function,Testing trend significance,Significance Testing,0.638839662,Significance Testing,0.999532819,Significance Testing,0.978033006,Significance Testing,0.915867209,'Trend Analysis',4886
108,script_176914.txt,Function,Training a classifier for land cover classification,Training And Sampling For Land Cover Classification,0.865885615,Training And Sampling For Land Cover Classification,0.999166667,Identifying Water Body,0.933757246,Training And Sampling For Land Cover Classification,0.906276345,'Training Model',4886
109,script_176914.txt,Function,Classifying the image based on trained classifier,Classify Images Based On Trained Model,0.885306716,Classify Images Based On Trained Model,0.998704553,Classify Images Based On Trained Model,0.953729749,Classify Images Based On Training Data,0.956052482,'Machine Learning Classification',4886
110,script_176914.txt,Function,Calculating area for each land cover class,Calculates And Displays Area For Each Land Cover Category,0.86819917,Calculates And Displays Area For Each Land Cover Category,0.99936533,Estimating Watersheds Area,0.924532175,Calculates And Displays Area For Each Land Cover Category,0.925489068,'Calculates Area',4886
111,script_176914.txt,Function,Assessing classification accuracy,Accuracy Assessment,0.789090693,Validating Classification,0.999106944,Analyzing Soil Properties,0.913079858,Validating Classification,0.911181092,Accuracy Assessment,4884
112,script_179626.txt,Function,Cloud masking for image preprocessing,Image Cloud Masking,0.857090473,Data Acquisition And Preprocessing,0.999087453,Image Cloud Masking,0.953079939,Image Cloud Masking,0.959971547,Cloud And Shade Masking,4884
113,script_179626.txt,Function,NDVI calculation for vegetation analysis,"Maximum, Minimum And Mean Statistical Analysis (NDVI and Vegetation Indices)",0.743422627,Fractional Vegetation Calculation,0.999246001,Nighttime light data analysis,0.935923159,Vegetation Indices/Index Calculation,0.877439618,Vegetation Indices/Index Calculation,4884
114,script_179626.txt,Function,LST calculation for temperature mapping,Temperature Calculation,0.716488183,Unit Conversion For Temperature Data,0.999209881,Unit Conversion For Temperature Data,0.970159948,Temperature Calculation,0.884165943,Surface Temperature Calculation,4884
115,script_180257.txt,Function,Buffering points for analysis,Buffering Features,0.776754439,Buffering Points To Create Zones For Analysis,0.999192238,Buffering Points For Sample Expansion,0.971167445,Buffering Features,0.865181744,Buffering Points For Sample Expansion,4884
116,script_180257.txt,Function,Calculating zonal statistics for Landsat images,Calculate Area Statistics,0.700757861,Calculates Median Of Image Collection,0.998868704,Estimating Watersheds Area,0.917078495,Calculate Area Statistics,0.874895096,Statistics Calculation,4890
117,script_186294.txt,Function,Masking clouds in Sentinel-2 images,Image Cloud Masking,0.79563731,Clip Images To Specific Geographic Boundaries,0.998950839,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.821410894,Image Cloud Masking,0.920149922,Image Cloud Masking,4890
118,script_186294.txt,Function,Calculating NDVI from NIR and RED bands,Add NDVI Band To Images,0.749431014,Add NDWI Band To Images,0.998882234,Calculate Spectral Indices And Ratios From Satellite Bands,0.874027014,Calculate Data For Specific Spectral Bands,0.869957745,Spectral Index Computation,4890
119,script_186319.txt,Function,NDVI calculation for image collection,Calculate Statistical Indicators Of Image Collection,0.752661407,Generate Time Series Data For NDVI Changes,0.999320388,Pixel Area Calculation,0.9342978,Calculate Statistical Indicators Of Image Collection,0.886042356,Temporal Data Filtering,4890
