ancestor_note,sub_note,similarity
NITROGEN OXIDES,NITROGEN COMPOUNDS,0.952202293
PARTICULATES,AIR QUALITY,0.763548162
SMOG,AIR QUALITY,0.763548162
SULFUR OXIDES,SULFUR COMPOUNDS,0.830643883
TROPOSPHERIC OZONE,AIR QUALITY,0.763548162
TURBIDITY,WATER CHARACTERISTICS,0.758711478
VISIBILITY,AIR QUALITY,0.763548162
VOLATILE ORGANIC COMPOUNDS,AIR QUALITY,0.763548162
ALTITUDE,ATMOSPHERE,0.478424083
BAROMETRIC ALTITUDE,ALTITUDE,0.809885237
GEOPOTENTIAL HEIGHT,ALTITUDE,0.809885237
MESOPAUSE,ALTITUDE,0.809885237
PLANETARY BOUNDARY LAYER HEIGHT,ATMOSPHERIC PRESSURE,0.753887809
STATION HEIGHT,ALTITUDE,0.809885237
STRATOPAUSE,ALTITUDE,0.809885237
TROPOPAUSE,ALTITUDE,0.809885237
ATMOSPHERIC CHEMISTRY,ATMOSPHERE,0.640994597
CARBON AND HYDROCARBON COMPOUNDS,ATMOSPHERIC CHEMISTRY,0.771597449
ACETYLENE,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
ATMOSPHERIC CARBON DIOXIDE,CARBON AND HYDROCARBON COMPOUNDS,0.820439977
CARBON DIOXIDE PROFILES,ATMOSPHERIC CARBON DIOXIDE,0.905712131
CARBON DIOXIDE SURFACE,ATMOSPHERIC CARBON DIOXIDE,0.905712131
PARTIAL PRESSURE OF CARBON DIOXIDE,ATMOSPHERIC CARBON DIOXIDE,0.905712131
ATMOSPHERIC CARBON MONOXIDE,CARBON AND HYDROCARBON COMPOUNDS,0.801224334
CARBON MONOXIDE PROFILES,ATMOSPHERIC CARBON MONOXIDE,0.925499031
CARBON MONOXIDE SURFACE,ATMOSPHERIC CARBON MONOXIDE,0.925499031
CHLORINATED HYDROCARBONS,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
DICARBON MONOXIDE,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
ETHANE,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
FORMALDEHYDE,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
FORMIC ACID,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
HYDROGEN CYANIDE,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
HYPOCHLOROUS MONOXIDE,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
ISOPRENE,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
METHANE,ICE CORE RECORDS,0.763548162
METHYL CYANIDE,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
NON-METHANE HYDROCARBONS/VOLATILE ORGANIC COMPOUNDS,CARBON AND HYDROCARBON COMPOUNDS,0.775620894
HALOCARBONS AND HALOGENS,ATMOSPHERIC CHEMISTRY,0.784600862
BROMINE MONOXIDE,HALOCARBONS AND HALOGENS,0.762672918
CARBON TETRACHLORIDE,HALOCARBONS AND HALOGENS,0.762672918
CARBON TETRAFLUORIDE,HALOCARBONS AND HALOGENS,0.762672918
CARBONYL FLUORIDE,HALOCARBONS AND HALOGENS,0.762672918
CHLORINE DIOXIDE,HALOCARBONS AND HALOGENS,0.762672918
CHLORINE MONOXIDE,HALOCARBONS AND HALOGENS,0.762672918
CHLORINE NITRATE,HALOCARBONS AND HALOGENS,0.762672918
CHLOROFLUOROCARBONS,HALOCARBONS AND HALOGENS,0.788124066
CFC-11,CHLOROFLUOROCARBONS,0.925499031
CFC-12,CHLOROFLUOROCARBONS,0.925499031
HALOCARBONS,HALOCARBONS AND HALOGENS,0.762672918
HALONS,HALOCARBONS AND HALOGENS,0.762672918
HYDROCHLOROFLUOROCARBONS,HALOCARBONS AND HALOGENS,0.762672918
HCFC-22,HYDROCHLOROFLUOROCARBONS,0.952202293
HYDROFLUOROCARBONS,HALOCARBONS AND HALOGENS,0.762672918
HYDROGEN CHLORIDE,HALOCARBONS AND HALOGENS,0.762672918
HYDROGEN FLUORIDE,HALOCARBONS AND HALOGENS,0.762672918
HYPOCHLOROUS ACID,HALOCARBONS AND HALOGENS,0.762672918
METHANOL,HALOCARBONS AND HALOGENS,0.762672918
METHYL BROMIDE,HALOCARBONS AND HALOGENS,0.762672918
METHYL CHLORIDE,HALOCARBONS AND HALOGENS,0.762672918
METHYL FLUORIDE,HALOCARBONS AND HALOGENS,0.762672918
HYDROGEN COMPOUNDS,ATMOSPHERIC CHEMISTRY,0.709719836
DEUTERIUM OXIDE/HEAVY WATER,HYDROGEN COMPOUNDS,0.839505817
HYDROGEN OXIDES,HYDROGEN COMPOUNDS,0.865726995
HYDROGEN OXIDE PROFILES,HYDROGEN OXIDES,0.925499031
HYDROGEN OXIDE SURFACE,HYDROGEN OXIDES,0.925499031
HYDROGEN-DEUTERIUM OXIDE,HYDROGEN COMPOUNDS,0.839505817
HYDROPEROXY,HYDROGEN COMPOUNDS,0.839505817
HYDROXYL,HYDROGEN COMPOUNDS,0.839505817
MOLECULAR HYDROGEN,HYDROGEN COMPOUNDS,0.839505817
NITROGEN COMPOUNDS,WATER CHARACTERISTICS,0.758711478
AMMONIA,OCEAN CHEMISTRY,0.690307391
ATMOSPHERIC NITRIC ACID,NITROGEN COMPOUNDS,0.952202293
CLOUD-SCREENED TOTAL COLUMN NITROGEN DIOXIDE (NO2),NITROGEN COMPOUNDS,0.952202293
CLOUD-SCREENED TROPOSHERIC COLUMN NO2,NITROGEN COMPOUNDS,0.952202293
DINITROGEN PENTOXIDE,NITROGEN COMPOUNDS,0.952202293
MOLECULAR NITROGEN,NITROGEN COMPOUNDS,0.952202293
NITRIC OXIDE,NITROGEN COMPOUNDS,0.952202293
NITROGEN DIOXIDE,OCEAN CHEMISTRY,0.690307391
NITROUS OXIDE,ICE CORE RECORDS,0.763548162
PEROXYACETYL NITRATE,NITROGEN COMPOUNDS,0.952202293
PEROXYNITRIC ACID,NITROGEN COMPOUNDS,0.952202293
Peroxyacyl Nitrate,NITROGEN COMPOUNDS,0.952202293
NOBLE GAS,ATMOSPHERIC CHEMISTRY,0.646966806
ATMOSPHERIC RADON,NOBLE GAS,0.935035236
RADON PROFILES,ATMOSPHERIC RADON,0.925499031
RADON SURFACE,ATMOSPHERIC RADON,0.925499031
OXYGEN COMPOUNDS,ATMOSPHERIC CHEMISTRY,0.690087312
ATMOSPHERIC OZONE,OXYGEN COMPOUNDS,0.906689593
OZONE PROFILES,ATMOSPHERIC OZONE,0.905712131
OZONE SURFACE,ATMOSPHERIC OZONE,0.905712131
TOTAL OZONE,ATMOSPHERIC OZONE,0.905712131
HYDROGEN PEROXIDE,OXYGEN COMPOUNDS,0.860596437
MOLECULAR OXYGEN,OXYGEN COMPOUNDS,0.860596437
PHOTOCHEMISTRY,ATMOSPHERIC CHEMISTRY,0.624152941
PHOTOLYSIS RATES,PHOTOCHEMISTRY,0.934542359
SULFUR COMPOUNDS,ATMOSPHERIC CHEMISTRY,0.718083897
CARBONYL SULFIDE,SULFUR COMPOUNDS,0.830643883
DIMETHYL SULFIDE,SULFUR COMPOUNDS,0.830643883
SULFATE,SULFUR COMPOUNDS,0.830643883
SULFUR DIOXIDE,SULFUR COMPOUNDS,0.856792623
SULFUR DIOXIDE PROFILES,SULFUR DIOXIDE,0.925499031
SULFUR DIOXIDE SURFACE,SULFUR DIOXIDE,0.925499031
SULFUR HEXAFLUORIDE,SULFUR COMPOUNDS,0.856792623
SULFUR HEXAFLUORIDE PROFILES,SULFUR HEXAFLUORIDE,0.925499031
SULFUR HEXAFLUORIDE SURFACE,SULFUR HEXAFLUORIDE,0.925499031
TRACE ELEMENTS/TRACE METALS,ATMOSPHERIC CHEMISTRY,0.624152941
TRACE GASES/TRACE SPECIES,ATMOSPHERIC CHEMISTRY,0.624152941
ATMOSPHERIC ELECTRICITY,ATMOSPHERE,0.454497855
ATMOSPHERIC CONDUCTIVITY,ATMOSPHERIC ELECTRICITY,0.842323637
ELECTRIC FIELD,ATMOSPHERIC ELECTRICITY,0.842323637
LIGHTNING,WEATHER EVENTS,0.585034662
TOTAL ELECTRON CONTENT,SOLAR ENERGETIC PARTICLE PROPERTIES,0.809885237
ATMOSPHERIC PRESSURE,ATMOSPHERE,0.522540589
AIR MASS/DENSITY,ATMOSPHERIC PRESSURE,0.753887809
ANTICYCLONES/CYCLONES,ATMOSPHERIC PRESSURE,0.753887809
ATMOSPHERIC PRESSURE MEASUREMENTS,ATMOSPHERIC PRESSURE,0.753887809
DIFFERENTIAL PRESSURE,ATMOSPHERIC PRESSURE,0.753887809
GRAVITY WAVE,ATMOSPHERIC PRESSURE,0.753887809
HYDROSTATIC PRESSURE,ATMOSPHERIC PRESSURE,0.753887809
OSCILLATIONS,ATMOSPHERIC PRESSURE,0.753887809
PLANETARY/ROSSBY WAVES,ATMOSPHERIC PRESSURE,0.753887809
PRESSURE ANOMALIES,ATMOSPHERIC PRESSURE,0.753887809
PRESSURE TENDENCY,ATMOSPHERIC PRESSURE,0.753887809
PRESSURE THICKNESS,ATMOSPHERIC PRESSURE,0.753887809
SEA LEVEL PRESSURE,OCEAN PRESSURE,0.857113253
STATIC PRESSURE,ATMOSPHERIC PRESSURE,0.753887809
SURFACE PRESSURE,ATMOSPHERIC PRESSURE,0.753887809
TOPOGRAPHIC WAVES,OCEAN WAVES,0.716832502
ATMOSPHERIC RADIATION,ATMOSPHERE,0.559068204
ABSORPTION,OCEAN OPTICS,0.745175622
ACTINIC FLUX,ATMOSPHERIC RADIATION,0.710911366
AIRGLOW,ATMOSPHERIC RADIATION,0.710911366
ALBEDO,SNOW/ICE,0.716832502
ANISOTROPY,SURFACE RADIATIVE PROPERTIES,0.842323637
ATMOSPHERIC EMITTED RADIATION,ATMOSPHERIC RADIATION,0.710911366
ATMOSPHERIC HEATING,ATMOSPHERIC RADIATION,0.710911366
EARTH RADIATION BUDGET,ATMOSPHERIC RADIATION,0.710911366
EMISSIVITY,SURFACE RADIATIVE PROPERTIES,0.842323637
HEAT FLUX,SEA ICE,0.700064891
INCOMING SOLAR RADIATION,ATMOSPHERIC RADIATION,0.710911366
LONGWAVE RADIATION,OCEAN HEAT BUDGET,0.753887809
DOWNWELLING LONGWAVE RADIATION,LONGWAVE RADIATION,0.934542359
UPWELLING LONGWAVE RADIATION,LONGWAVE RADIATION,0.934542359
NET RADIATION,ATMOSPHERIC RADIATION,0.710911366
OPTICAL DEPTH/THICKNESS,ATMOSPHERIC RADIATION,0.710911366
OUTGOING LONGWAVE RADIATION,ATMOSPHERIC RADIATION,0.710911366
POLARIZED REFLECTANCE,ATMOSPHERIC RADIATION,0.710911366
RADIATIVE FLUX,ATMOSPHERIC RADIATION,0.710911366
RADIATIVE FORCING,ATMOSPHERIC RADIATION,0.710911366
REFLECTANCE,SEA ICE,0.700064891
TOP OF ATMOSPHERE (TOA) REFLECTANCE,REFLECTANCE,0.934542359
SCATTERING,OCEAN OPTICS,0.745175622
SHORTWAVE RADIATION,OCEAN HEAT BUDGET,0.753887809
DOWNWELLING SHORTWAVE RADIATION,SHORTWAVE RADIATION,0.934542359
SOLAR IRRADIANCE,SOLAR ACTIVITY,0.753887809
SHORTWAVE DOWNWARD IRRADIANCE,SOLAR IRRADIANCE,0.934542359
SOLAR RADIATION,ATMOSPHERIC RADIATION,0.710911366
SPECTRAL IRRADIANCE,ATMOSPHERIC RADIATION,0.710911366
SUNSHINE,ATMOSPHERIC RADIATION,0.710911366
TRANSMITTANCE,ATMOSPHERIC RADIATION,0.710911366
ULTRAVIOLET RADIATION,ATMOSPHERIC RADIATION,0.710911366
UV SPECTRAL,ULTRAVIOLET RADIATION,0.934542359
ATMOSPHERIC TEMPERATURE,ATMOSPHERE,0.573176009
ATMOSPHERIC STABILITY,ATMOSPHERIC TEMPERATURE,0.695064901
ATMOSPHERIC TEMPERATURE INDICES,ATMOSPHERIC TEMPERATURE,0.808796638
COMMON SENSE CLIMATE INDEX,TEMPERATURE INDICES,0.830643883
COOLING DEGREE DAYS,TEMPERATURE INDICES,0.830643883
FREEZING INDEX,TEMPERATURE INDICES,0.830643883
GROWING DEGREE DAYS,TEMPERATURE INDICES,0.830643883
HEAT INDEX,ATMOSPHERIC TEMPERATURE INDICES,0.815229685
HEATING DEGREE DAYS,TEMPERATURE INDICES,0.830643883
RESIDENTIAL ENERGY DEMAND TEMPERATURE INDEX,TEMPERATURE INDICES,0.830643883
TEMPERATURE CONCENTRATION INDEX,ATMOSPHERIC TEMPERATURE INDICES,0.815229685
THAWING INDEX,TEMPERATURE INDICES,0.830643883
WIND CHILL INDEX,ATMOSPHERIC TEMPERATURE INDICES,0.815229685
SURFACE TEMPERATURE,ATMOSPHERIC TEMPERATURE,0.833613068
AIR TEMPERATURE,SURFACE TEMPERATURE,0.790589579
BOUNDARY LAYER TEMPERATURE,UPPER AIR TEMPERATURE,0.822601138
DEICED TEMPERATURE,UPPER AIR TEMPERATURE,0.822601138
DEW POINT TEMPERATURE,WATER VAPOR INDICATORS,0.802084293
DEWPOINT DEPRESSION,DEW POINT TEMPERATURE,0.952202293
MAXIMUM/MINIMUM TEMPERATURE,SURFACE TEMPERATURE,0.851315231
24 HOUR MAXIMUM TEMPERATURE,MAXIMUM/MINIMUM TEMPERATURE,0.88985509
24 HOUR MINIMUM TEMPERATURE,MAXIMUM/MINIMUM TEMPERATURE,0.88985509
6 HOUR MAXIMUM TEMPERATURE,MAXIMUM/MINIMUM TEMPERATURE,0.88985509
6 HOUR MINIMUM TEMPERATURE,MAXIMUM/MINIMUM TEMPERATURE,0.88985509
POTENTIAL TEMPERATURE,OCEAN TEMPERATURE,0.786853286
SKIN TEMPERATURE,SURFACE THERMAL PROPERTIES,0.809885237
STATIC TEMPERATURE,SURFACE TEMPERATURE,0.790589579
TEMPERATURE ANOMALIES,UPPER AIR TEMPERATURE,0.822601138
TEMPERATURE TENDENCY,SURFACE TEMPERATURE,0.790589579
VIRTUAL TEMPERATURE,UPPER AIR TEMPERATURE,0.822601138
UPPER AIR TEMPERATURE,ATMOSPHERIC TEMPERATURE,0.801464684
DEW POINT DEPRESSION,DEW POINT TEMPERATURE,0.952202293
VERTICAL PROFILES,UPPER AIR TEMPERATURE,0.883988398
DRY ADIABATIC LAPSE RATE,VERTICAL PROFILES,0.88985509
ENVIRONMENTAL LAPSE RATE,VERTICAL PROFILES,0.88985509
INVERSION HEIGHT,VERTICAL PROFILES,0.88985509
SATURATED ADIABATIC LAPSE RATE,VERTICAL PROFILES,0.88985509
ATMOSPHERIC WATER VAPOR,ATMOSPHERE,0.556512166
WATER VAPOR INDICATORS,ATMOSPHERIC WATER VAPOR,0.841952887
HUMIDITY,WATER VAPOR INDICATORS,0.876319135
ABSOLUTE HUMIDITY,HUMIDITY,0.876553714
HUMIDITY MIXING RATIO,HUMIDITY,0.876553714
RELATIVE HUMIDITY,HUMIDITY,0.876553714
SATURATION SPECIFIC HUMIDITY,HUMIDITY,0.876553714
SPECIFIC HUMIDITY,HUMIDITY,0.876553714
LAYERED PRECIPITABLE WATER,WATER VAPOR INDICATORS,0.802084293
SATURATION VAPOR PRESSURE,WATER VAPOR INDICATORS,0.802084293
STABLE ISOTOPES,ISOTOPES,0.908396025
TOTAL PRECIPITABLE WATER,WATER VAPOR INDICATORS,0.802084293
VAPOR PRESSURE,WATER VAPOR INDICATORS,0.802084293
WATER VAPOR,WATER VAPOR INDICATORS,0.802084293
WATER VAPOR INDICES,ATMOSPHERIC WATER VAPOR,0.738158906
HUMIDITY INDEX,HUMIDITY INDICES,0.88905287
WATER VAPOR TRANSPORT INDEX,HUMIDITY INDICES,0.88905287
WATER VAPOR PROCESSES,ATMOSPHERIC WATER VAPOR,0.828677983
CONDENSATION,OCEAN HEAT BUDGET,0.753887809
EVAPORATION,OCEAN SALINITY BUDGET,0.854904945
EVAPOTRANSPIRATION,WATER VAPOR PROCESSES,0.84124227
EFFECTIVE EVAPOTRANSPIRATION,EVAPOTRANSPIRATION,0.925499031
POTENTIAL EVAPOTRANSPIRATION,EVAPOTRANSPIRATION,0.925499031
SUBLIMATION,SNOW VOLUME BUDGET,0.860596437
SUPERSATURATION,WATER VAPOR PROCESSES,0.815229685
WATER VAPOR CONVERGENCE,WATER VAPOR PROCESSES,0.815229685
WATER VAPOR DIVERGENCE,WATER VAPOR PROCESSES,0.815229685
WATER VAPOR FLUX,WATER VAPOR PROCESSES,0.815229685
WATER VAPOR TENDENCY,WATER VAPOR PROCESSES,0.815229685
WATER VAPOR PROFILES,ATMOSPHERIC WATER VAPOR,0.756454486
VERTICALLY RESOLVED BACKSCATTER LIGHT,WATER VAPOR PROFILES,0.88905287
WATER VAPOR CONCENTRATION PROFILES,WATER VAPOR PROFILES,0.88905287
WATER VAPOR MIXING RATIO PROFILES,WATER VAPOR PROFILES,0.88905287
ATMOSPHERIC WINDS,ATMOSPHERE,0.593180164
LOCAL WINDS,ATMOSPHERIC WINDS,0.785581521
DUST DEVILS,LOCAL WINDS,0.815229685
LAND BREEZES,LOCAL WINDS,0.815229685
MICROBURSTS,LOCAL WINDS,0.815229685
OROGRAPHIC WINDS,LOCAL WINDS,0.901342482
ANABATIC WINDS,OROGRAPHIC WINDS,0.865056341
BORA WINDS,OROGRAPHIC WINDS,0.865056341
FOEHN WINDS,OROGRAPHIC WINDS,0.865056341
KATABATIC WINDS,OROGRAPHIC WINDS,0.865056341
MOUNTAIN BREEZES,OROGRAPHIC WINDS,0.865056341
VALLEY BREEZES,OROGRAPHIC WINDS,0.865056341
SEA BREEZES,LOCAL WINDS,0.815229685
SURFACE WINDS,OCEAN WINDS,0.812103881
STORM RELATIVE WINDS,UPPER LEVEL WINDS,0.830643883
U/V WIND COMPONENTS,UPPER LEVEL WINDS,0.830643883
WIND DIRECTION,SURFACE WINDS,0.908396025
WIND DIRECTION TENDENCY,UPPER LEVEL WINDS,0.830643883
WIND SPEED,SURFACE WINDS,0.908396025
WIND SPEED TENDENCY,UPPER LEVEL WINDS,0.830643883
UPPER LEVEL WINDS,ATMOSPHERIC WINDS,0.770452583
BOUNDARY LAYER WINDS,UPPER LEVEL WINDS,0.830643883
FLIGHT LEVEL WINDS,UPPER LEVEL WINDS,0.830643883
WIND DYNAMICS,ATMOSPHERIC WINDS,0.810170101
ADVECTION,OCEAN SALINITY BUDGET,0.854904945
CONVECTION,OCEAN HEAT BUDGET,0.753887809
CONVERGENCE,WIND DYNAMICS,0.790589579
DIVERGENCE,WIND DYNAMICS,0.790589579
HORIZONTAL WIND VELOCITY/SPEED,WIND DYNAMICS,0.790589579
OROGRAPHIC LIFTING,WIND DYNAMICS,0.790589579
STREAMFUNCTIONS,WIND DYNAMICS,0.790589579
TURBULENCE,OCEAN WINDS,0.786853286
VERTICAL WIND VELOCITY/SPEED,WIND DYNAMICS,0.790589579
VORTICITY,OCEAN WINDS,0.786853286
POTENTIAL VORTICITY,VORTICITY,0.934542359
