ID,Script_ID,Entity_Type,Value,Value_BAAI,Top1_Similarity_BAAI,Value_BERT,Top1_Similarity_BERT,Value_BERT0,Top1_Similarity_BERT0,Value_sentence-t5-large,Top1_Similarity_sentence-t5-large,Value_LLAMA70B,Usage,Value_sentence-t5-large2,Top1_Similarity_sentence-t5-large2,Value_BAAI2,Top1_Similarity_BAAI2
11,script_103827.txt,Function,Filtering Sentinel-1 images by date and polarization,Filter Images By Date,0.744705319,Filter Images By Date And Region,0.998938978,Filter Image Collection By Date And Region,0.872448504,Select Specific Polarization From Images,0.879771233,Filter Image Collection By Date And Polarization,"{'prompt_tokens': 4019, 'completion_tokens': 9, 'total_tokens': 4028}",Select Specific Polarization From Images,0.8797712326049805,Filter Images By Date And Region,0.7223713397979736
12,script_103827.txt,Function,Clipping images to a region,Clip Images To A Specific Region,0.925281227,Clip Images To A Specific Region,0.999365926,Stacking Multiple Images,0.913688123,Clip Images To A Specific Region,0.97443068,Clip Images To A Specific Region,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}",Clip Images To A Specific Region,0.9744306802749634,Clip Images To A Specific Region,0.9252812266349792
13,script_103827.txt,Function,Compositing images,Generate Image Composites,0.885098934,Temporal Compositing,0.99950403,Filter Images,0.951145172,Generate Image Composites,0.930617809,Image Mosaicking,"{'prompt_tokens': 4012, 'completion_tokens': 4, 'total_tokens': 4016}",Displays Composite Image,0.9083441495895386,Displays Composite Image,0.8202567100524902
14,script_103827.txt,Function,Visualizing images,Enhancing Image Visualization,0.907701969,Data Visualization,0.999188304,Visualizing Land Cover,0.943438768,Enhancing Image Visualization,0.923815846,Data Visualization,"{'prompt_tokens': 4011, 'completion_tokens': 3, 'total_tokens': 4014}",Enhancing Image Visualization,0.9238157272338868,Enhancing Image Visualization,0.907701849937439
15,script_106121.txt,Function,Filtering image collection by cloud percentage and date,Filter Image Collection By Cloud Coverage,0.82098496,Filter Image Collection By Date And Region,0.999386311,Filter Image Collection By Date And Boundaries,0.882321,Filter Image Collection By Cloud Coverage,0.943821192,Filter Image Collection By Cloud Coverage,"{'prompt_tokens': 4017, 'completion_tokens': 7, 'total_tokens': 4024}",Filter Image Collection By Cloud Coverage,0.9438211917877196,Filter Image Collection By Cloud Coverage,0.820984959602356
16,script_106121.txt,Function,Selecting specific bands from image,Select Specific Bands From Images,0.948621392,Select Specific Bands From Images,0.999622703,Select Specific Bands From Images,0.966842651,Select Specific Bands From Images,0.979169726,Select Specific Bands From Images,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}",Select Specific Bands From Images,0.9791697263717652,Select Specific Bands From Images,0.948621392250061
17,script_106121.txt,Function,Reprojecting image to EPSG:4326,Image Reprojection,0.68018651,Add NDWI Band To Images,0.998702347,Reduction To Single Image,0.883422613,Image Reprojection,0.853513122,Projection,"{'prompt_tokens': 4020, 'completion_tokens': 1, 'total_tokens': 4021}",Image Reprojection,0.8535131216049194,Image Reprojection,0.6801865100860596
18,script_106121.txt,Function,Exporting image to Google Drive,Export Processed Images To Google Drive,0.878956199,Export Processed Images To Google Drive,0.999650598,Export Processed Images To Google Drive,0.902317166,Export Processed Images To Google Drive,0.945185423,Export Processed Images To Google Drive,"{'prompt_tokens': 4014, 'completion_tokens': 7, 'total_tokens': 4021}",Export Processed Images To Google Drive,0.9451854228973388,Export Processed Images To Google Drive,0.8789561986923218
19,script_106121.txt,Function,Visualizing image on Google Map API,Enhancing Image Visualization,0.738985479,Export Processed Images To Google Drive,0.99916023,Export Processed Data To Google Drive,0.885424316,Display Interactive Map,0.866061091,Display Interactive Map,"{'prompt_tokens': 4015, 'completion_tokens': 4, 'total_tokens': 4019}",Display Interactive Map,0.8660610914230347,Enhancing Image Visualization,0.7389856576919556
20,script_10828.txt,Function,Cloud masking,Image Cloud Masking,0.901710093,Image Cloud Masking,0.999600053,Edge Masking,0.973454833,Cloud And Shade Masking,0.958947599,Image Cloud Masking,"{'prompt_tokens': 4011, 'completion_tokens': 4, 'total_tokens': 4015}",Cloud Filtering,0.9350801706314088,Image Cloud Masking,0.9017100930213928
21,script_10828.txt,Function,NDVI calculation,Compute Median Of NDVI,0.863728523,Seasonal NDVI Analysis,0.999515414,Pixel Count Calculation,0.960101128,Computes Normalized Difference Vegetation Index (NDVI),0.900147438,Vegetation Indices/Index Calculation,"{'prompt_tokens': 4011, 'completion_tokens': 9, 'total_tokens': 4020}",Visualize NDVI Results,0.8710413575172424,Visualize NDVI Results,0.7384140491485596
22,script_10828.txt,Function,Linear interpolation,Interpolation,0.924953043,Performs Linear Interpolation,0.999544203,Cubic Interpolation,0.952060699,Performs Linear Interpolation,0.965872169,Performs Linear Interpolation,"{'prompt_tokens': 4010, 'completion_tokens': 6, 'total_tokens': 4016}",Performs Linear Interpolation,0.9658721685409546,Interpolation,0.924953043460846
23,script_10828.txt,Function,Image collection filtering,Filter Image Collection,0.88791275,Filter Image Collection,0.999664903,Temporal Image Collection Filtering,0.983245134,Filter Image Collection,0.987343848,Filter Image Collection,"{'prompt_tokens': 4011, 'completion_tokens': 3, 'total_tokens': 4014}",Filter Image Collection,0.9873438477516174,Filter Image Collection,0.8879127502441406
24,script_10828.txt,Function,Region reduction,Reduction Of Image Regions,0.801023304,Mean Reduction,0.999230921,Mean Reduction,0.939730704,Reduction Of Image Regions,0.905161858,Reduction Of Image Regions,"{'prompt_tokens': 4010, 'completion_tokens': 8, 'total_tokens': 4018}",Reduction Of Image Regions,0.9051618576049804,Reduction Of Image Regions,0.8010233044624329
25,script_10828.txt,Function,Feature collection iteration,Filter Feature Collection,0.767270923,Filter Feature Collection,0.999416649,Filter Feature Collection,0.91871202,Filter Feature Collection,0.899132729,Filter Feature Collection,"{'prompt_tokens': 4011, 'completion_tokens': 3, 'total_tokens': 4014}",Filter Feature Collection,0.8991327285766602,Filter Feature Collection,0.7672709226608276
26,script_10828.txt,Function,Table export,Export Results,0.707285404,Export Processed Data,0.998981476,Export Results,0.969160736,Export Results,0.878396749,Export Processed Data,"{'prompt_tokens': 4010, 'completion_tokens': 4, 'total_tokens': 4014}",Export Results,0.87839674949646,Export Results,0.7072854042053223
27,script_118175.txt,Function,Apply scale factors to image bands,Apply Scale Factors To Image,0.859493971,Apply Scale Factors To Image,0.999643683,Apply Scale Factors To Image,0.982328594,Apply Scale Factors To Image,0.914170325,Apply Scale Factors To Image,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}",Apply Scale Factors To Image,0.9141703248023988,Apply Scale Factors To Image,0.8594939708709717
28,script_118175.txt,Function,Mask clouds in Sentinel-2 images,Image Cloud Masking,0.712874353,Clip Images To Specific Geographic Boundaries,0.998812377,Filter And Mosaic Landsat Images,0.884469986,Image Cloud Masking,0.916989207,Cloud Filtering,"{'prompt_tokens': 4016, 'completion_tokens': 3, 'total_tokens': 4019}",Image Cloud Masking,0.9169892072677612,Image Cloud Masking,0.7128743529319763
29,script_118175.txt,Function,Calculate NDVI index,Compute Median Of NDVI,0.858838439,Seasonal NDVI Analysis,0.99941659,Calculate Temporal Spectral Indices,0.950232327,Computes Normalized Difference Vegetation Index (NDVI),0.886515081,Vegetation Indices/Index Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 9, 'total_tokens': 4021}",Calculate Normalized Difference Water Body Index (NDWBI),0.8858809471130371,Visualize NDVI Results,0.7428330183029175
30,script_118175.txt,Function,Calculate NDWI index,Calculates Normalized Difference Water Index (NDWI),0.79883188,Seasonal NDVI Analysis,0.999077141,Calculate Temporal Spectral Indices,0.94814527,Calculates Normalized Difference Water Index (NDWI),0.921834946,Calculates Normalized Difference Water Index (NDWI),"{'prompt_tokens': 4012, 'completion_tokens': 12, 'total_tokens': 4024}",Calculates Normalized Difference Water Index (NDWI),0.9218349456787108,Calculates Normalized Difference Water Index (NDWI),0.7988318800926208
31,script_118175.txt,Function,Calculate MNDWI index,Calculates Modified Normalized Difference Water Index (MNDWI),0.826884925,Image Index Calculation,0.999037445,Calculate Temporal Spectral Indices,0.958633602,Geometric Index Calculation,0.891162872,Calculates Modified Normalized Difference Water Index (MNDWI),"{'prompt_tokens': 4013, 'completion_tokens': 14, 'total_tokens': 4027}",Geometric Index Calculation,0.8911628723144531,Calculates Modified Normalized Difference Water Index (MNDWI),0.826884925365448
32,script_118175.txt,Function,Calculate NDSI index,Compute Median Of NDVI,0.743230462,Seasonal NDVI Analysis,0.999199092,Calculate Temporal Spectral Indices,0.958334327,Image Index Calculation,0.902490616,Water Indices/Index Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 7, 'total_tokens': 4019}",Image Index Calculation,0.9024906158447266,Calculate Normalized Difference Flood Index (NDFI),0.7272266149520874
33,script_118175.txt,Function,Calculate EWI index,"Calculate Other Vegetation Indices/index (SAVI, EVI)",0.711871505,Image Index Calculation,0.99909997,Calculate Temporal Spectral Indices,0.963332295,Geometric Index Calculation,0.878010631,Spectral Index Computation,"{'prompt_tokens': 4012, 'completion_tokens': 5, 'total_tokens': 4017}",Geometric Index Calculation,0.878010630607605,Topographic Wetness Index (TWI) Computation,0.7035402059555054
34,script_118175.txt,Function,Filter image collection by date and cloud cover,Filter Images By Cloud Cover,0.876588404,Filter Image Collection By Date And Boundaries,0.999637723,Filter Image Collection By Date And Region,0.947519898,Filter Image Collection By Cloud Coverage,0.972568989,Filter Image Collection By Date And Cloud Cover,"{'prompt_tokens': 4016, 'completion_tokens': 8, 'total_tokens': 4024}",Filter Image Collection By Cloud Coverage,0.9725689888000488,Filter Images By Cloud Cover,0.8765882849693298
35,script_118175.txt,Function,Join image collections based on time difference,Filter Image Collection By Time,0.774710774,Filter Image Collection By Date And Region,0.999150872,Sort Image Collection By Feature,0.927222013,Filter Image Collection By Time,0.913605869,Temporal Collection Creation,"{'prompt_tokens': 4015, 'completion_tokens': 3, 'total_tokens': 4018}",Filter Image Collection By Time,0.9136058688163756,Filter Image Collection By Time,0.7747107744216919
36,script_118175.txt,Function,Clip images to a specific region,Clip Images To A Specific Region,0.981087506,Clip Images To A Specific Region,0.99999994,Clip Images To A Specific Region,1.000000119,Clip Images To A Specific Region,0.994143605,Spatial Clipping,"{'prompt_tokens': 4014, 'completion_tokens': 3, 'total_tokens': 4017}",Clip Images To A Specific Region,0.9941436052322388,Clip Images To A Specific Region,0.9810875058174133
37,script_118175.txt,Function,Create a mosaic of images,Image Mosaicking,0.774778247,Create A Thematic Map,0.999029875,Visualize Data Layers,0.939535737,Generate Image Composites,0.897460103,Image Mosaicking,"{'prompt_tokens': 4014, 'completion_tokens': 4, 'total_tokens': 4018}",Image Mosaicking,0.8937111496925354,Image Mosaicking,0.7747782468795776
38,script_118175.txt,Function,Compute maximum value of images,Compute Maximum Values,0.810194016,Reduce Image Collection To Minimum Value,0.99913311,Create Median Composite Of Images,0.949078918,Compute Maximum Values,0.910643518,"Maximum, Minimum And Mean Statistical Analysis","{'prompt_tokens': 4013, 'completion_tokens': 7, 'total_tokens': 4020}",Compute Maximum Values,0.9106435179710388,Compute Maximum Values,0.8101940155029297
39,script_119133.txt,Function,Calculate normalized burn ratio,Calculate Difference Normalized Burn Ratio (dNBR),0.823730052,Add Normalized Difference Band,0.999170721,Calculate Difference Normalized Burn Ratio (dNBR),0.955971956,Calculate Difference Normalized Burn Ratio (dNBR),0.934794545,Index Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 3, 'total_tokens': 4015}",Burn Area Index Calculation,0.8841986656188965,Calculate Burned Area,0.7584846615791321
40,script_119133.txt,Function,Perform clustering analysis,Cluster Analysis,0.722390532,Cluster Analysis,0.999236107,Calculate Features To Refine Flood Analysis,0.925905526,Cluster Analysis,0.941702843,Cluster Analysis,"{'prompt_tokens': 4011, 'completion_tokens': 2, 'total_tokens': 4013}",Cluster Analysis,0.9417028427124025,Cluster Analysis,0.7223905324935913
41,script_119133.txt,Function,Generate training dataset,Training Data Creation,0.79930371,Training Data Creation,0.999388993,Generate Time Series Charts Of Corrected Data,0.922120571,Training Data Creation,0.934489071,Data Preparation For Training,"{'prompt_tokens': 4011, 'completion_tokens': 5, 'total_tokens': 4016}",Training Data Creation,0.9344890713691713,Training Data Creation,0.7993037104606628
42,script_119133.txt,Function,Visualize classification results,Generate Visualizations And Statistical Charts For Classification Results,0.815187931,Filter And Visualize,0.999269605,Visualize NDVI Results,0.965259612,Generate Visualizations And Statistical Charts For Classification Results,0.931243062,Display Classified Image and Indices,"{'prompt_tokens': 4012, 'completion_tokens': 7, 'total_tokens': 4019}",Generate Visualizations And Statistical Charts For Classification Results,0.9312430024147034,Generate Visualizations And Statistical Charts For Classification Results,0.8151878714561462
43,script_119133.txt,Function,Apply filter to classification results,Apply Mask To Classification Results,0.796127558,Apply Mask To Classification Results,0.999505401,Apply Mask To Classification Results,0.960019052,Apply Mask To Classification Results,0.915082037,Correct Classification Results Using Specified Conditions,"{'prompt_tokens': 4013, 'completion_tokens': 8, 'total_tokens': 4021}",Apply Mask To Classification Results,0.9150820374488832,Apply Mask To Classification Results,0.7961275577545166
44,script_119133.txt,Function,Multiply binary classification with severity classification,Severity Classification,0.748910785,Evaluate Classifier Performance Using Confusion Matrix,0.998692453,Evaluate Classifier Performance Using Confusion Matrix,0.936445415,Severity Classification,0.836040318,Classification,"{'prompt_tokens': 4015, 'completion_tokens': 1, 'total_tokens': 4016}",Machine Learning Classification,0.8319154977798462,Binary Image Creation,0.6042139530181885
45,script_11983.txt,Function,Filtering image collection by date and bounds,Filter Image Collection By Date And Boundaries,0.947230577,Filter Image Collection By Date And Boundaries,0.999483347,Filter Image Collection By Date And Boundaries,0.893042564,Filter Image Collection By Date And Boundaries,0.98748827,Filter Image Collection By Date And Boundaries,"{'prompt_tokens': 4016, 'completion_tokens': 8, 'total_tokens': 4024}",Filter Image Collection By Date And Boundaries,0.9874882698059082,Filter Image Collection By Date And Boundaries,0.9472305774688721
46,script_11983.txt,Function,Masking clouds and shadows,Cloud And Shade Masking,0.88965708,Cloud And Shade Masking,0.999528825,Cloud And Snow Masking,0.871067226,Cloud And Shade Masking,0.955621719,Image Masking,"{'prompt_tokens': 4013, 'completion_tokens': 3, 'total_tokens': 4016}",Image Cloud Masking,0.906356692314148,Shadow Masking,0.8696749210357666
47,script_11983.txt,Function,Calculating NDVI,Compute Median Of NDVI,0.877925038,Seasonal NDVI Analysis,0.999420285,Gradient Calculation,0.937127352,Computes Normalized Difference Vegetation Index (NDVI),0.893216074,Vegetation Indices/Index Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 9, 'total_tokens': 4021}",Visualize NDVI Results,0.8916456699371338,Visualize NDVI Results,0.7631584405899048
48,script_11983.txt,Function,Creating image composites,Generate Image Composites,0.935142875,Generate Image Composites,0.999779701,Generating Histograms,0.932839632,Generate Image Composites,0.957761049,Image Mosaicking,"{'prompt_tokens': 4012, 'completion_tokens': 4, 'total_tokens': 4016}",Export Composite Image,0.9095728397369384,Displays Composite Image,0.8165175914764404
49,script_11983.txt,Function,Charting NDVI time series,Generate Time Series Charts For NDVI,0.898371398,Seasonal NDVI Analysis,0.999289513,Interpolate Time Series,0.923538744,Generate Time Series Charts For NDVI,0.954255939,Generate Time Series Charts For NDVI,"{'prompt_tokens': 4014, 'completion_tokens': 8, 'total_tokens': 4022}",Generate Time Series Charts For NDVI,0.9542559385299684,Generate Time Series Charts For NDVI,0.8983713984489441
50,script_11983.txt,Function,Creating GIF animation,Binary Image Creation,0.680473566,Image Resampling,0.99873203,Filtering Precipitation Data,0.904453993,Creates Animation Of NDVI Over Time,0.838112235,Visualization And Output Generation,"{'prompt_tokens': 4012, 'completion_tokens': 5, 'total_tokens': 4017}",Creates Animation Of NDVI Over Time,0.8381122350692749,Binary Image Creation,0.6804735660552979
51,script_11983.txt,Function,Calculating image differences,Difference Calculation,0.818551242,Image Masking,0.999127626,Scaling Image Values,0.926125944,Image Differencing,0.926550508,Image Differencing,"{'prompt_tokens': 4012, 'completion_tokens': 4, 'total_tokens': 4016}",Image Differencing,0.9265505075454712,Image Differencing,0.8146580457687378
52,script_11983.txt,Function,Calculating standard anomalies,Anomaly Calculation,0.787130773,Add A Feature Collection,0.999162912,Estimating Soil Loss,0.950702667,Anomaly Calculation,0.903097153,Anomaly Calculation,"{'prompt_tokens': 4013, 'completion_tokens': 5, 'total_tokens': 4018}",Anomaly Calculation,0.9030971527099608,Anomaly Calculation,0.7871307730674744
53,script_120271.txt,Function,Filtering image collection by date and cloud coverage,Filter Image Collection By Cloud Coverage,0.879156113,Filter Image Collection By Cloud Coverage,0.999418497,Filter Image Collection By Date And Boundaries,0.880733252,Filter Image Collection By Cloud Coverage,0.96168375,Filter Image Collection By Date And Cloud Coverage,"{'prompt_tokens': 4017, 'completion_tokens': 9, 'total_tokens': 4026}",Filter Image Collection By Cloud Coverage,0.961683750152588,Filter Image Collection By Cloud Coverage,0.8791561126708984
54,script_120271.txt,Function,Calculating NDVI band,Add NDVI Band To Images,0.807825685,Seasonal NDVI Analysis,0.999257624,Pixel Area Calculation,0.92820406,Add NDVI Band To Images,0.86496973,Vegetation Indices/Index Calculation,"{'prompt_tokens': 4013, 'completion_tokens': 9, 'total_tokens': 4022}",Add NDVI Band To Images,0.8649697303771973,Add NDVI Band To Images,0.8078256845474243
55,script_120271.txt,Function,Applying median reduction to image collection,Reduction Of Image Collection,0.860897899,Calculates Median Of Image Collection,0.999393344,Applying Mean Filter To Image,0.946648836,Calculates Median Of Image Collection,0.93803972,Reduction Of Image Collection,"{'prompt_tokens': 4015, 'completion_tokens': 5, 'total_tokens': 4020}",Reduce Image Collection To Minimum Value,0.9009134769439696,Reduction Of Image Collection,0.8608978986740112
56,script_120271.txt,Function,Clipping image to testing area,Clip Images To A Specific Region,0.801764846,Add NDVI Band To Images,0.999004781,Feature Collection Sampling For Training,0.919830978,Clip Images To A Specific Region,0.913380444,Clip Images To A Specific Region,"{'prompt_tokens': 4014, 'completion_tokens': 6, 'total_tokens': 4020}",Clip Images To A Specific Region,0.9133804440498352,Clip Images To A Specific Region,0.8017648458480835
57,script_120271.txt,Function,Generating gradient bar,Gradient Calculation,0.704606175,Elevation Masking,0.99885118,Compute Minimum Values,0.949094057,Gradient Calculation,0.861634493,Gradient Calculation,"{'prompt_tokens': 4012, 'completion_tokens': 3, 'total_tokens': 4015}",Gradient Calculation,0.8616345524787903,Gradient Calculation,0.7046061754226685
58,script_120271.txt,Function,Creating frame,Generating Histograms,0.709195852,Display Selected Band,0.998653531,Creating Seasonal Composite,0.9525792,Creating Seasonal Composite,0.823314905,Buffer Creation,"{'prompt_tokens': 4010, 'completion_tokens': 2, 'total_tokens': 4012}",Legend Creation,0.8151016235351562,Generating Histograms,0.7091957330703735
59,script_120271.txt,Function,Drawing scale bar,Scaling Image Values,0.656774044,Display Selected Band,0.998702407,Filter Feature,0.920576692,Image Scaling,0.830940962,Buffer Creation,"{'prompt_tokens': 4012, 'completion_tokens': 2, 'total_tokens': 4014}",Image Scaling,0.8309409618377686,Scaling Image Values,0.6567740440368652
60,script_120557.txt,Function,Filtering image collection by region,Filter Image Collection By Region,0.942394078,Filter Image Collection By Region,0.999785542,Filter Image Collection By Region,0.947056293,Filter Image Collection By Region,0.990995884,Filter Image Collection By Region,"{'prompt_tokens': 4014, 'completion_tokens': 5, 'total_tokens': 4019}",Filter Image Collection By Region,0.9909958839416504,Filter Image Collection By Region,0.9423940777778625
61,script_120557.txt,Function,Masking cloudy pixels,Image Cloud Masking,0.854009271,Clear Pixel Masking,0.999475121,Filtering Pixels,0.926825285,Filtering Pixels,0.914608717,Cloud Filtering,"{'prompt_tokens': 4013, 'completion_tokens': 3, 'total_tokens': 4016}",Filtering Pixels,0.9146087169647216,Image Cloud Masking,0.8540092706680298
62,script_120557.txt,Function,Computing QA bits,Quantifying Pixels,0.680122018,Creating Monthly Composite,0.998745143,Remapping Values,0.907213509,Quality Control,0.81020999,Quality Filtering,"{'prompt_tokens': 4011, 'completion_tokens': 3, 'total_tokens': 4014}",Quality Control,0.8102099895477295,Quantifying Pixels,0.6801220178604126
63,script_120557.txt,Function,Classifying land cover using decision tree,Training And Sampling For Land Cover Classification,0.739244699,Map Visualization Of Feature Collection,0.998997569,Decision Tree Classification,0.941606164,Decision Tree Classification,0.915434837,Classification And Machine Learning,"{'prompt_tokens': 4015, 'completion_tokens': 4, 'total_tokens': 4019}",Land Cover Classification And Mapping,0.8682223558425903,Training And Sampling For Land Cover Classification,0.7392445802688599
64,script_125294.txt,Function,Cloud masking for Landsat 5 images,Image Cloud Masking,0.804281235,Filter Images By Cloud Cover,0.998939335,Image Cloud Masking,0.902937531,Filter And Mosaic Landsat Images For Specific Dates And Cloud Cover,0.916881204,Image Cloud Masking,"{'prompt_tokens': 4017, 'completion_tokens': 4, 'total_tokens': 4021}",Image Cloud Masking,0.902102828025818,Image Cloud Masking,0.8042812347412109
65,script_125294.txt,Function,Image collection filtering by date and cloud cover,Filter Image Collection By Cloud Coverage,0.86286813,Filter Image Collection By Date And Region,0.999439657,Filter Image Collection By Cloud Coverage,0.929344773,Filter Image Collection By Cloud Coverage,0.967042923,Filter Image Collection By Date And Cloud Cover,"{'prompt_tokens': 4016, 'completion_tokens': 8, 'total_tokens': 4024}",Filter Image Collection By Cloud Coverage,0.9670429229736328,Filter Image Collection By Cloud Coverage,0.8628681302070618
66,script_125294.txt,Function,Percentile calculation for image collection,Calculates Mean Of Image Collection,0.790060878,Calculates Median Of Image Collection,0.99938798,Pixel Area Calculation,0.946266353,Calculates Mean Of Image Collection,0.906626225,Statistics Calculation,"{'prompt_tokens': 4015, 'completion_tokens': 3, 'total_tokens': 4018}",Calculate Statistical Indicators Of Image Collection,0.9006299376487732,Calculate Statistical Indicators Of Image Collection,0.7618856430053711
67,script_125294.txt,Function,Image clipping to region of interest,Clip Images To A Specific Region,0.876522899,Clip Temperature Data To Area Of Interest,0.999184906,Clip Temperature Data To Area Of Interest,0.93678236,Clip Images To A Specific Region,0.944788814,Clip Images To A Specific Region,"{'prompt_tokens': 4015, 'completion_tokens': 6, 'total_tokens': 4021}",Clip Images To A Specific Region,0.9447888135910034,Clip Images To A Specific Region,0.8765228986740112
68,script_125294.txt,Function,Image visualization with multiple bands,Visualize Images In Different Band Combinations,0.89397943,Visualize Satellite Imagery Changes Over Time,0.999190867,Harmonization Of Images,0.943836808,Visualize Images In Different Band Combinations,0.957364917,Visualize Images In Different Band Combinations,"{'prompt_tokens': 4013, 'completion_tokens': 8, 'total_tokens': 4021}",Visualize Images In Different Band Combinations,0.9573649168014526,Visualize Images In Different Band Combinations,0.8939794301986694
69,script_125294.txt,Function,Image export to Drive,Export Processed Images To Drive,0.884583116,Export Processed Images To Drive,0.999388099,Export Processed Data To Drive,0.935655832,Export Processed Images To Drive,0.946893811,Export Processed Data To Drive,"{'prompt_tokens': 4012, 'completion_tokens': 6, 'total_tokens': 4018}",Export Processed Images To Drive,0.9468936324119568,Export Processed Images To Drive,0.8845832347869873
70,script_144864.txt,Function,Filtering image collection by cloud cover,Filter Image Collection By Cloud Coverage,0.926324844,Filter Image Collection By Cloud Coverage,0.999663949,Filter Image Collection By Cloud Coverage,0.942290723,Filter Image Collection By Cloud Coverage,0.984700799,Filter Image Collection By Cloud Coverage,"{'prompt_tokens': 4015, 'completion_tokens': 7, 'total_tokens': 4022}",Filter Image Collection By Cloud Coverage,0.9847007989883424,Filter Image Collection By Cloud Coverage,0.9263248443603516
