Script_ID,Head_Entity_update,Tail_Entity_update
script_15043.txt,users/abuhafsgaa/,Split Data Into Training And Testing Sets
script_15043.txt,users/abuhafsgaa/,Training CART Classifier
script_15043.txt,users/abuhafsgaa/,Feature Importance Calculation
script_15043.txt,users/abuhafsgaa/,Classify Images Based On Trained Model
script_15043.txt,users/abuhafsgaa/,Generating Confusion Matrix
script_155017.txt,MOD11A1.061 Terra Land Surface Temperature and Emissivity Daily Global 1km,Filter Image Collection By Bounds
script_155017.txt,MOD11A1.061 Terra Land Surface Temperature and Emissivity Daily Global 1km,Filter Image Collection By Date
script_155017.txt,MOD11A1.061 Terra Land Surface Temperature and Emissivity Daily Global 1km,Clip Images To A Specific Region
script_155017.txt,MOD11A1.061 Terra Land Surface Temperature and Emissivity Daily Global 1km,Temperature Calculation
script_155017.txt,MOD11A1.061 Terra Land Surface Temperature and Emissivity Daily Global 1km,Convert And Format Spatial Data For Export
script_159299.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Clip Images To A Specific Region
script_159299.txt,users/jannat/,Clip Images To A Specific Region
script_165234.txt,MOD09GA.061 Terra Surface Reflectance Daily Global 1km and 500m,Image Cloud Masking
script_165234.txt,MOD09GA.061 Terra Surface Reflectance Daily Global 1km and 500m,Scaling Image Values
script_165234.txt,MOD09GA.061 Terra Surface Reflectance Daily Global 1km and 500m,Add NDVI Band To Images
script_165234.txt,MOD09GA.061 Terra Surface Reflectance Daily Global 1km and 500m,Add Date Bands To Images
script_173652.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Clip Images To A Specific Region
script_173652.txt,users/jrmancerafGEE/,Export Processed Data To Google Drive
script_174376.txt,USGS Landsat 8 Collection 2 Tier 1 Raw Scenes,Filter Image Collection By Date
script_174376.txt,USGS Landsat 8 Collection 2 Tier 1 Raw Scenes,Create Image Composites To Minimize Cloud Cover
script_174376.txt,USGS Landsat 8 Collection 2 Tier 1 Raw Scenes,Calculate Detection Accuracy
script_174474.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Cloud And Shade Masking
script_174474.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Clip Images To A Specific Region
script_174474.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Compute Median Of NDVI
script_174474.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Add NDVI Band To Images
script_174747.txt,MOD11A2.061 Terra Land Surface Temperature and Emissivity 8-Day Global 1km,Filter Image Collection By Date
script_174747.txt,MOD11A2.061 Terra Land Surface Temperature and Emissivity 8-Day Global 1km,Unit Conversion For Temperature Data
script_176914.txt,"USGS Landsat 5 Level 2, Collection 2, Tier 1",Calculates And Displays Area For Each Land Cover Category
script_176914.txt,"USGS Landsat 5 Level 2, Collection 2, Tier 1",Accuracy Assessment
script_179626.txt,users/KARTIKA_EAA/,Image Cloud Masking
script_179626.txt,users/KARTIKA_EAA/,Calculates Median Of Image Collection
script_179626.txt,users/KARTIKA_EAA/,Computes Normalized Difference Vegetation Index (NDVI)
script_179626.txt,users/KARTIKA_EAA/,Selects Temperature Data
script_179626.txt,users/KARTIKA_EAA/,Compute Median Of NDVI
script_179626.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking
script_179626.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Calculates Median Of Image Collection
script_179626.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI)
script_179626.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Selects Temperature Data
script_179626.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Compute Median Of NDVI
script_180257.txt,"USGS Landsat 7 Level 2, Collection 2, Tier 1",Filter Image Collection By Date
script_186294.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Add NDVI Band To Images
script_186319.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Compute Median Of NDVI
script_186319.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186319.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Export Selected Image
script_186319.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
script_186319.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186319.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
script_186319.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Selected Image
script_186320.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
script_186320.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images To Drive
script_186321.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
script_186323.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI)
script_186323.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186323.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186323.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186323.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
script_186323.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
script_186323.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
script_186323.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Selected Image
script_186325.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Compute Median Of NDVI
script_186325.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186325.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Export Processed Images
script_186325.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Export Processed Images
script_186325.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186326.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Compute Median Of NDVI
script_186326.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Mosaicking
script_186329.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Images By Cloud Cover
script_186329.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Filter Images By Cloud Cover
script_186329.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Filter Images By Cloud Cover
script_186329.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Compute Median Of NDVI
script_186329.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186329.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Compute Median Of NDVI
script_186329.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Filter Images By Cloud Cover
script_186329.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Filter Images By Cloud Cover
script_186329.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186329.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Export Selected Image
script_186329.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Export Selected Image
script_186332.txt,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Clip Images To A Specific Region
script_186332.txt,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Computes Normalized Difference Vegetation Index (NDVI)
script_186333.txt,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Compute Median Of NDVI
script_186333.txt,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Cluster Image Data
script_186334.txt,MOD09Q1.061 Terra Surface Reflectance 8-Day Global 250m,Computes Normalized Difference Vegetation Index (NDVI)
script_186338.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Seasonal Filtering
script_186338.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Detect Trends In Time Series Data
script_186365.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Filter Image Collection By Date And Region
script_186365.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Sort Image Collections By Cloud Cover
script_186365.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Performs Linear Interpolation
script_186365.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Spectral Unmixing
script_186365.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Create RGB Composite Image
script_186365.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
script_186365.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Sort Image Collections By Cloud Cover
script_186365.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Performs Linear Interpolation
script_186378.txt,users/khoapv/,Reduction Of Image Regions
script_186378.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI)
script_186378.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
script_186380.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
script_186380.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Clip Images To A Specific Region
script_186380.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186380.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Filter Image Collection By Date And Region
script_186380.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Clip Images To A Specific Region
script_186380.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186380.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Creating Monthly Composite
script_186411.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Random Forest Classification
script_186411.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Accuracy Assessment
script_186418.txt,USGS Landsat 8 Collection 2 Tier 1 Raw Scenes,Radiance calculation
script_186418.txt,USGS Landsat 8 Collection 2 Tier 1 Raw Scenes,Brightness Temperature Calculation
script_186418.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Brightness Temperature Calculation
script_186418.txt,"NCEP/NCAR Reanalysis Data, Surface Temperature",Brightness Temperature Calculation
script_186418.txt,"NCEP/NCAR Reanalysis Data, Water Vapor",Brightness Temperature Calculation
script_186449.txt,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Generate And Display A Scatter Plot
script_186466.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Date
script_186466.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Export Processed Images
script_186503.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Cloud Coverage
script_186503.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Refined Lee Speckle Filtering
script_186507.txt,USGS Landsat 8 Collection 2 Tier 1 TOA Reflectance,Create Median Composite Of Images
script_186507.txt,USGS Landsat 7 Collection 2 Tier 1 TOA Reflectance,Create Median Composite Of Images
script_186507.txt,USGS Landsat 5 TM Collection 2 Tier 1 TOA Reflectance,Create Median Composite Of Images
script_186507.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Create Median Composite Of Images
script_186507.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes,Create Median Composite Of Images
script_186507.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Create Median Composite Of Images
script_186521.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking
script_186521.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Random Forest Classification
script_186528.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Generate Image Composites
script_186540.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Image Cloud Masking
script_186540.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Add NDVI Band To Images
script_186540.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186548.txt,Copernicus CORINE Land Cover,Image Masking
script_186548.txt,Copernicus CORINE Land Cover,Filter Images by wind conditions
script_186548.txt,Copernicus CORINE Land Cover,Refined Lee Speckle Filtering
script_186548.txt,GlobCover: Global Land Cover Map,Refined Lee Speckle Filtering
script_186548.txt,Copernicus CORINE Land Cover,Convert Radar Backscatter
script_186548.txt,Copernicus CORINE Land Cover,Apply Threshold To Identify Water Surface
script_186548.txt,"CFSV2: NCEP Climate Forecast System Version 2, 6-Hourly Products",Filter Images by wind conditions
script_186562.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI)
script_186562.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186562.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186562.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186562.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
script_186570.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI)
script_186570.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186570.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Creates And Exports Image Mosaics
script_186570.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
script_186570.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186570.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186570.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
script_186570.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Creates And Exports Image Mosaics
script_186570.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
script_186570.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Creates And Exports Image Mosaics
script_186601.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Filter Image Collection By Date
script_186601.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Export Processed Images To Google Drive
script_186601.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Displays Composite Image
script_186601.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Link Maps For Synchronized Viewing
script_186605.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI)
script_186605.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186605.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186605.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Mosaicking
script_186605.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Image Mosaicking
script_186605.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Image Mosaicking
script_186607.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI)
script_186607.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186607.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186607.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Computes Normalized Difference Vegetation Index (NDVI)
script_186607.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
script_186815.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Compute Median Of NDVI
script_186815.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186815.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186815.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Selected Image
script_186829.txt,"NCEP/NCAR Reanalysis Data, Surface Temperature",Temperature Calculation
script_186856.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Image Cloud Masking
script_186856.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Cloud And Shade Masking
script_186856.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Shadow Projection
script_186886.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Compute Median Of NDVI
script_186886.txt,USGS Landsat 8 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186886.txt,USGS Landsat 5 TM Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186886.txt,USGS Landsat 7 Collection 2 Tier 2 TOA Reflectance,Compute Median Of NDVI
script_186886.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Compute Median Of NDVI
script_186888.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Radiance calculation
script_186888.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Computes Normalized Difference Vegetation Index (NDVI)
script_186888.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data TOA Reflectance,Radiance calculation
script_186892.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Image Collection By Cloud Coverage
script_186892.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Computes Normalized Difference Vegetation Index (NDVI)
script_186892.txt,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Export Processed Images To Drive
script_186914.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Generates Visual Comparisons Of Pre- And Post-Event Images
script_186914.txt,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Apply Threshold To Identify Flood Extent
script_186914.txt,GPWv411: Population Count (Gridded Population of the World Version 4.11),Clip Population Data To Flood-Affected Regions
script_186915.txt,GPWv411: Population Count (Gridded Population of the World Version 4.11),Clip Population Data To Flood-Affected Regions
script_186940.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,"Merge, Harmonize, And Standardize Landsat Image Collections"
script_186940.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Building Annual Mosaic Collection
script_186940.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes,Building Annual Mosaic Collection
script_186940.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Building Annual Mosaic Collection
script_186940.txt,users/juandb/,Building Annual Mosaic Collection
script_186974.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Image Cloud Masking
script_186974.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Filter Image Collection By Date And Region
script_186974.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Rename Image Bands
script_186974.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,"Merge, Harmonize, And Standardize Landsat Image Collections"
script_186974.txt,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Calculates Modified Normalized Difference Water Index (MNDWI)
script_186974.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking
script_186974.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Image Collection By Date And Region
script_186974.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes,Rename Image Bands
script_186974.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes,"Merge, Harmonize, And Standardize Landsat Image Collections"
script_186974.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes,Calculates Modified Normalized Difference Water Index (MNDWI)
script_186974.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking
script_186974.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Image Collection By Date And Region
script_186974.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Rename Image Bands
script_186974.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,"Merge, Harmonize, And Standardize Landsat Image Collections"
script_186974.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Calculates Modified Normalized Difference Water Index (MNDWI)
script_187038.txt,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Rename Image Bands
script_187038.txt,USGS Landsat 7 Collection 2 Tier 1 and Real-Time data Raw Scenes,Rename Image Bands
