ID,Script_ID,Value_BAAI
175,script_49902.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
176,script_49902.txt,SOIL MOISTURE/WATER CONTENT
177,script_50.txt,FOREST COMPOSITION/VEGETATION STRUCTURE
178,script_51624.txt,RADAR IMAGERY
179,script_52026.txt,ATMOSPHERIC OZONE
180,script_54980.txt,URBANIZATION/URBAN SPRAWL
181,script_59099.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
182,script_62526.txt,CIRRUS CLOUD SYSTEMS
183,script_65671.txt,LAND SURFACE TEMPERATURE
184,script_67562.txt,VEGETATION
185,script_67562.txt,WATER CHARACTERISTICS
186,script_67562.txt,URBAN AREAS
187,script_67562.txt,TERRAIN ELEVATION
188,script_71184.txt,CLOUD OPTICAL DEPTH/THICKNESS
189,script_72.txt,FOREST MENSURATION
190,script_7366.txt,LAND USE/LAND COVER CLASSIFICATION
191,script_75448.txt,SURFACE SALINITY
192,script_76696.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
193,script_76709.txt,BATHYMETRY/SEAFLOOR TOPOGRAPHY
194,script_76805.txt,GRAZING DYNAMICS/PLANT HERBIVORY
195,script_76839.txt,VEGETATION INDEX
196,script_76840.txt,VEGETATION WATER POTENTIAL
197,script_76841.txt,VEGETATION INDEX
198,script_78663.txt,LAND USE/LAND COVER
199,script_78805.txt,VEGETATION INDEX
200,script_85061.txt,SATELLITE SOIL MOISTURE INDEX
201,script_85217.txt,LAND USE/LAND COVER CLASSIFICATION
202,script_85219.txt,FOREST MENSURATION
203,script_89887.txt,SOLAR IMAGERY
204,script_95721.txt,VEGETATION INDEX
205,script_95950.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
206,script_96316.txt,VEGETATION INDEX
207,script_96317.txt,VEGETATION WATER POTENTIAL
208,script_96322.txt,VEGETATION INDEX
209,script_96332.txt,VEGETATION WATER POTENTIAL
210,script_96361.txt,LANDSCAPE PROCESSES
211,script_96424.txt,WATER CHARACTERISTICS
212,script_96426.txt,LAKE LEVELS
213,script_96427.txt,LAKE LEVELS
214,script_96458.txt,LAND USE/LAND COVER CLASSIFICATION
215,script_96458.txt,WATER DEPTH
216,script_96458.txt,VEGETATION
217,script_96458.txt,LAND SURFACE/AGRICULTURE INDICATORS
218,script_96459.txt,URBAN AREAS
219,script_96459.txt,SOIL COMPACTION
220,script_96519.txt,FLOODING
221,script_96519.txt,EARTHQUAKE MAGNITUDE/INTENSITY
222,script_96519.txt,URBAN AREAS
224,script_96537.txt,LAND USE/LAND COVER CLASSIFICATION
225,script_96538.txt,ENVIRONMENTAL ASSESSMENTS
226,script_96558.txt,FOREST COMPOSITION/VEGETATION STRUCTURE
227,script_96578.txt,FOREST COMPOSITION/VEGETATION STRUCTURE
228,script_96593.txt,LAND USE/LAND COVER
229,script_96611.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
230,script_97207.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
231,script_97208.txt,FIRE WEATHER INDEX
234,script_97211.txt,FOREST MENSURATION
236,script_97250.txt,LAND USE/LAND COVER CLASSIFICATION
237,script_97292.txt,SOIL CLASSIFICATION
238,script_97295.txt,LAND USE/LAND COVER CLASSIFICATION
239,script_97367.txt,PHOTOSYNTHESIS
240,script_97371.txt,AGRICULTURE PRODUCTION
241,script_97430.txt,VEGETATION INDEX
242,script_97431.txt,SURFACE WATER PROCESSES/MEASUREMENTS
243,script_97446.txt,RADAR REFLECTIVITY
244,script_97475.txt,LAND USE/LAND COVER CLASSIFICATION
245,script_97477.txt,VEGETATION WATER CONTENT
246,script_97479.txt,APPARENT SURFACE REFLECTIVITY
247,script_97507.txt,LAND SURFACE/AGRICULTURE INDICATORS
248,script_97508.txt,LAND USE/LAND COVER CLASSIFICATION
249,script_97509.txt,SOLAR IMAGERY
250,script_97510.txt,BRIGHTNESS TEMPERATURE
251,script_97512.txt,TOXICITY LEVELS
252,script_97538.txt,SOIL TEMPERATURE
253,script_97539.txt,SOIL TEMPERATURE
254,script_97582.txt,FIRE MODELS
255,script_97609.txt,SURFACE PRECIPITATION
256,script_97610.txt,TORNADO CLIMATOLOGY
257,script_97622.txt,LAND USE/LAND COVER CLASSIFICATION
258,script_97651.txt,CLOUD OPTICAL DEPTH/THICKNESS
259,script_97683.txt,LAND SURFACE
260,script_97700.txt,VEGETATION INDEX
261,script_97700.txt,WATER CHARACTERISTICS
262,script_97700.txt,SURFACE CONDUCTIVITY
263,script_97704.txt,DIGITAL ELEVATION/TERRAIN MODEL (DEM)
264,script_97718.txt,VEGETATION INDEX
265,script_97718.txt,SURFACE SOIL MOISTURE
266,script_97724.txt,INVASIVE SPECIES
267,script_97954.txt,LAND USE/LAND COVER
268,script_97954.txt,FOREST MENSURATION
269,script_97955.txt,LAND USE/LAND COVER
270,script_97974.txt,LAND USE/LAND COVER
271,script_97988.txt,LAND USE/LAND COVER CLASSIFICATION
272,script_97991.txt,LAND USE/LAND COVER CLASSIFICATION
273,script_97991.txt,PHOTOSYNTHESIS
274,script_98003.txt,MARINE ENVIRONMENT MONITORING
275,script_98005.txt,SOLAR IMAGERY
276,script_98169.txt,NORMALIZED DIFFERENCE VEGETATION INDEX (NDVI)
277,script_98257.txt,FLOOD FREQUENCY
278,script_98258.txt,FLOOD FREQUENCY
279,script_98259.txt,INUNDATION FREQUENCY
280,script_98260.txt,FLOODING
281,script_98261.txt,FLOOD FREQUENCY
282,script_98262.txt,HYDROGRAPHY
283,script_98263.txt,FOREST MENSURATION
284,script_98266.txt,RADAR IMAGERY
285,script_98267.txt,INUNDATION FREQUENCY
286,script_98275.txt,FLOOD FREQUENCY
287,script_98281.txt,WATER CHARACTERISTICS
288,script_98287.txt,VEGETATION WATER POTENTIAL
289,script_98289.txt,ENVIRONMENTAL ASSESSMENTS
290,script_98290.txt,LAND USE/LAND COVER CLASSIFICATION
