ID,Script_ID,Entity_Type,Value,Value_BAAI
35,script_110133.txt,Function,Calculate difference between before and after images,Generates Visual Comparisons Of Pre- And Post-Event Images
36,script_110133.txt,Function,Apply threshold to identify flood extent,Apply Threshold To Identify Flood Extent
37,script_110133.txt,Function,Mask permanent water bodies and refine flood extent,Mask Areas To Refine Flood Detection
38,script_110133.txt,Function,Exclude areas with steep slopes from flood results,Flood Area Calculation
39,script_110133.txt,Function,Calculate total flood extent area in hectares,Calculates Total Flooded Area In Hectares
40,script_110133.txt,Function,Estimate population exposed to flooding,Estimate Population Affected By Flood
41,script_110133.txt,Function,Export flood extent as raster and vector data,Export Flood Extent
42,script_115907.txt,Function,Filter image collections by date and region,Filter Image Collection By Date And Region
43,script_115907.txt,Function,Apply cloud masking to images,Image Cloud Masking
44,script_115907.txt,Function,Calculate NDVI and add as a band to images,Add NDVI Band To Images
45,script_115907.txt,Function,Create time variable from image metadata,Add Date Information To Images
46,script_115907.txt,Function,Generate time series charts of NDVI for analysis,Generate Time Series Charts For NDVI
47,script_115907.txt,Function,Map visualization of feature collections,Map Visualization Of Feature Collection
48,script_118175.txt,Function,Filter image collections by date and cloud cover,Filter Images By Cloud Cover
49,script_118175.txt,Function,Apply scale factors to correct satellite imagery,Apply Scale Factors To Image
50,script_118175.txt,Function,Mask clouds and calculate spectral indices,Add Cloud Probability And Mask As Image Bands
51,script_118175.txt,Function,Merge image collections and sort by acquisition date,Merge And Sort Image Collections
52,script_118175.txt,Function,Perform spatial joins and mosaicking of images,Image Mosaicking
53,script_118175.txt,Function,Visualize processed images on a map,Visualize The Processed Data
54,script_119133.txt,Function,Calculate normalized burn ratio before the fire,Calculate Difference Normalized Burn Ratio (dNBR)
55,script_119133.txt,Function,Calculate normalized burn ratio after the fire,Calculate NBR for Post-Fire Image
56,script_119133.txt,Function,Compute difference between pre and post-fire NBR,Compute Difference Between Pre- And Post-Fire NBR
57,script_119133.txt,Function,Stack post-fire NBR and difference NBR into a new dataset,Calculate NBR for Post-Fire Image
58,script_119133.txt,Function,Sample the stacked image for training data,Feature Sampling For Training
59,script_119133.txt,Function,Train a clustering model to classify fire severity,Classify And Visualize Burn Severity
60,script_119133.txt,Function,Generate statistics and histograms for each cluster,Generate Histograms For Image Data Analysis
61,script_119133.txt,Function,Apply a mode filter to classify data using neighborhood analysis,Filter And Classify
62,script_119133.txt,Function,Reclassify binary fire/no-fire data,Classify Images Based On Pre And Post Fire Data
63,script_119133.txt,Function,Multiply binary classification by severity classification to refine results,Severity Classification
64,script_11983.txt,Function,Filters image collection by geographic bounds,Filter Image Collection By Bounds
65,script_11983.txt,Function,Masks clouds and shadows in satellite images,Cloud And Shade Masking
66,script_11983.txt,Function,Calculates median of images annually,Calculates Median Of Image Collection
67,script_11983.txt,Function,Computes NDVI for each image,Creates Animation Of NDVI Over Time
68,script_11983.txt,Function,Generates time-series charts for specific points,Generate Time Series Charts
69,script_11983.txt,Function,Creates GIF animation of NDVI over time,Creates Animation Of NDVI Over Time
70,script_11983.txt,Function,Performs image differencing to compare changes,Performs Image Differencing To Compare Changes
71,script_11983.txt,Function,Calculates anomalies using standard deviation,Anomaly Calculation
72,script_120271.txt,Function,Filter image collection by date and cloud coverage,Filter Image Collection By Cloud Coverage
73,script_120271.txt,Function,Calculate NDVI for each image in the collection,Calculate Statistical Indicators Of Image Collection
74,script_120271.txt,Function,Compute median of NDVI values across images,Compute Median Of NDVI
75,script_120271.txt,Function,Clip the median NDVI image to a specific area,Clip Images To A Specific Region
76,script_120271.txt,Function,Calculate percentile values for NDVI visualization,Visualize NDVI Results
77,script_120271.txt,Function,Draw a gradient bar for NDVI visualization,Visualize NDVI Results
78,script_120271.txt,Function,Draw a frame around the map area,Create A Thematic Map
79,script_120271.txt,Function,Draw a scalebar on the map,Layer Addition To Map
80,script_120557.txt,Function,Select specific geographic region by name,Filter Images By Region
81,script_120557.txt,Function,Filter image collection by geographic bounds,Filter Image Collection By Bounds
82,script_120557.txt,Function,Filter image collection by date range,Filter Image Collection By Date
83,script_120557.txt,Function,Extract specific quality bits from image,Select Specific Bands From Images
84,script_120557.txt,Function,Mask images based on cloud and shadow detection,Cloud And Shade Masking
85,script_120557.txt,Function,Calculate indices and classify pixels into water and vegetation,Water Indices/Index Calculation
86,script_120557.txt,Function,Aggregate classified images to calculate frequency,Aggregate Multiple Images
87,script_120557.txt,Function,Display results on a map with visualization parameters,Visualize The Processed Data
88,script_125294.txt,Function,Filter image collection by date and cloud cover,Filter Images By Cloud Cover
89,script_125294.txt,Function,Apply cloud and edge pixel masking to images,Image Cloud Masking
90,script_125294.txt,Function,Reduce image collection to statistical percentiles,Reduce Image Collection To Minimum Value
91,script_125294.txt,Function,Clip the statistical composites to a specific region,Clip Images To A Specific Region
92,script_125294.txt,Function,Visualize different statistical layers on a map,Visualize Data Layers
93,script_125294.txt,Function,Link multiple map views for synchronized browsing,Link Maps For Synchronized Viewing
94,script_125294.txt,Function,Export selected image composites to Google Drive,Export Processed Images To Google Drive
95,script_131942.txt,Function,Filter satellite images by date and cloud percentage,Filter Images By Date
96,script_131942.txt,Function,Mask clouds and cirrus from satellite images,Image Cloud Masking
97,script_131942.txt,Function,Clip images to a specific study area,Clip Images To A Specific Region
98,script_131942.txt,Function,Classify images based on training data,Classify Images Based On Training Data
99,script_131942.txt,Function,Assess classification accuracy with a confusion matrix,Evaluate Classifier Performance Using Confusion Matrix
100,script_131942.txt,Function,Reproject classified image to a specific coordinate system,Image Reprojection
101,script_131942.txt,Function,Convert classified raster to vector format,Convert Raster To Vector
102,script_131942.txt,Function,Export images to drive in GeoTIFF format,Export Processed Images To Drive
103,script_144864.txt,Function,Extracts and displays a specific regional boundary,Boundary Extraction
104,script_144864.txt,Function,Filters images by cloud and cirrus coverage,Filter Images By Cloud Cover
105,script_144864.txt,Function,Collects satellite images within date and cloud cover limits,Filter Image Collection By Date And Boundaries
106,script_144864.txt,Function,Applies cloud filtering and computes median composite,Create Median Composite Of Images
107,script_144864.txt,Function,Clips composite image to the specified boundary,Clip Images To Specific Geographic Boundaries
108,script_144864.txt,Function,Calculates NDVI and classifies it into predefined categories,Compute Median Of NDVI
109,script_144864.txt,Function,Calculates and displays area for each land cover category,Calculates And Displays Area For Each Land Cover Category
110,script_146128.txt,Function,Filter satellite images by date and location,Filter Images By Date And Region
111,script_146128.txt,Function,Sort images by cloud cover,Sort Image Collections By Cloud Cover
112,script_146128.txt,Function,Merge different land cover feature collections,Merge Different Land Cover Feature Collections
113,script_146128.txt,Function,Sample pixel values for classifier training,Sampling Regions For Classifier Training
114,script_146128.txt,Function,Train a decision tree classifier,Train And Apply Random Forest Classifier
115,script_146128.txt,Function,Classify satellite images based on trained model,Classify Images Based On Trained Model
116,script_146128.txt,Function,Display classified image on map,Display Classified Image and Indices
117,script_15043.txt,Function,Sample regions from images for training data,Sampling Regions For Training Data
118,script_15043.txt,Function,Split data into training and testing sets,Split Data Into Training And Testing Sets
119,script_15043.txt,Function,Train Random Forest and CART classifiers,Training CART Classifier
120,script_15043.txt,Function,Calculate variable importance for features,Feature Importance Calculation
121,script_15043.txt,Function,Classify images using trained classifiers,Classify Images Based On Trained Model
122,script_15043.txt,Function,Generate confusion matrices for accuracy assessment,Generating Confusion Matrix
123,script_15043.txt,Function,Visualize classified images on map,Visualize Classified Data And Indices
124,script_155017.txt,Function,Filter image collection by geographical bounds,Filter Image Collection By Bounds
125,script_155017.txt,Function,Filter image collection by date range,Filter Image Collection By Date
126,script_155017.txt,Function,Clip images to a specific geographical area,Clip Images To A Specific Region
127,script_155017.txt,Function,Select specific data band from images,Select Specific Bands From Images
128,script_155017.txt,Function,Scale and adjust temperature values,Scaling index/indices values
129,script_155017.txt,Function,Calculate mean temperature for defined regions,Temperature Calculation
130,script_155017.txt,Function,Format and structure data for export,Convert And Format Spatial Data For Export
131,script_155017.txt,Function,Export data table to CSV format,Export Sampled Data
132,script_159299.txt,Function,Filter satellite images by location and cloud percentage,Filter Images By Cloud Cover
133,script_159299.txt,Function,Calculate median of filtered images,Calculates Median Of Image Collection
134,script_159299.txt,Function,Clip the median image to a specific region,Clip Images To A Specific Region
135,script_159299.txt,Function,Merge feature collections for training data,Merge Feature Collections For Training Data
136,script_159299.txt,Function,Sample image regions for classifier training,Sampling Regions For Classifier Training
137,script_159299.txt,Function,Train a classification model on image data,Classify Images Based On Trained Model
138,script_159299.txt,Function,Classify image based on trained model,Classify Images Based On Trained Model
139,script_159299.txt,Function,Export classified image to drive,Exporting Classified Images
140,script_165234.txt,Function,Filters MODIS images by year,Filter Images By Year
141,script_165234.txt,Function,Applies cloud masking to MODIS images,Image Cloud Masking
142,script_165234.txt,Function,Scales MODIS image values,Scaling Image Values
143,script_165234.txt,Function,Calculates NDVI and adds it as a band,Add NDVI Band To Images
144,script_165234.txt,Function,Extracts and adds date information as a band,Add Date Bands To Images
145,script_165234.txt,Function,Extracts and adds month information as a band,Add Date Bands To Images
146,script_165234.txt,Function,Extracts and adds day of year information as a band,Add Date Bands To Images
147,script_165234.txt,Function,Selects the pixel with the highest NDVI value,Add NDVI Band To Images
148,script_165234.txt,Function,Displays NDVI and other indices on a map,Visualize NDVI And Date Information
149,script_173652.txt,Function,Filter and mask satellite images for clouds and shadows,Cloud And Shade Masking
150,script_173652.txt,Function,Calculate median values of filtered images,Calculates Median Of Image Collection
151,script_173652.txt,Function,Clip processed images to area of interest,Clip Images To A Specific Region
152,script_173652.txt,Function,Run LandTrendr algorithm for change detection,Run Algorithm For Change Detection
153,script_173652.txt,Function,Visualize changes using dynamic color mapping,Visualize Temporal changes
154,script_173652.txt,Function,Export change detection results to Google Drive,Export Processed Data To Google Drive
155,script_174376.txt,Function,Filter image collection by date range,Filter Image Collection By Date
156,script_174376.txt,Function,Create cloud-free composite images,Create Image Composites To Minimize Cloud Cover
157,script_174376.txt,Function,Merge feature collections for training data,Merge Feature Collections For Training Data
158,script_174376.txt,Function,Sample regions for classifier training,Sampling Regions For Classifier Training
159,script_174376.txt,Function,Train Random Forest classifier,Train And Apply Random Forest Classifier
160,script_174376.txt,Function,Classify images based on trained classifier,Classify Images Based On Trained Model
161,script_174376.txt,Function,Calculate and display classifier accuracy,Calculate Detection Accuracy
162,script_174474.txt,Function,Filters images by cloud cover percentage,Filter Images By Cloud Cover
163,script_174474.txt,Function,Filters images by date range,Filter Images By Date
164,script_174474.txt,Function,Applies cloud and shadow masking to images,Cloud And Shade Masking
165,script_174474.txt,Function,Calculates median of image collection,Calculates Median Of Image Collection
166,script_174474.txt,Function,Clips images to a specific geometry,Clip Images To A Specific Region
167,script_174474.txt,Function,Calculates NDVI for each image,Compute Median Of NDVI
168,script_174474.txt,Function,Adds NDVI band to images,Add NDVI Band To Images
169,script_174747.txt,Function,Filter dataset by country name,Filter Images By Region
170,script_174747.txt,Function,Map visualization of feature collection,Map Visualization Of Feature Collection
171,script_174747.txt,Function,Filter image collection by date,Filter Image Collection By Date
172,script_174747.txt,Function,Scale and convert temperature data,Unit Conversion For Temperature Data
173,script_174747.txt,Function,Generate time series chart of temperature,Generate Time Series Charts Of Temperature Data
174,script_174747.txt,Function,Calculate mean temperature over time,Temperature Calculation
175,script_174747.txt,Function,Export temperature data to Drive,Export Processed Data To Drive
176,script_176914.txt,Function,Filters satellite images by location and date,Filter Images By Date And Region
177,script_176914.txt,Function,Sorts images by cloud cover and selects the first,Sort Image Collections By Cloud Cover
178,script_176914.txt,Function,Merges feature collections of different land covers,Merge Different Land Cover Feature Collections
179,script_176914.txt,Function,Samples regions for classifier training,Sampling Regions For Classifier Training
180,script_176914.txt,Function,Trains a classification model,Trains And Applies Classifier
181,script_176914.txt,Function,Classifies satellite images based on trained model,Classify Images Based On Trained Model
182,script_176914.txt,Function,Calculates area for each land cover type,Calculates And Displays Area For Each Land Cover Category
183,script_176914.txt,Function,Performs accuracy assessment of classification,Accuracy Assessment
184,script_179626.txt,Function,Apply cloud mask to satellite images,Image Cloud Masking
185,script_179626.txt,Function,Filter image collection by date and region,Filter Image Collection By Date And Region
186,script_179626.txt,Function,Calculate median of image collection,Calculates Median Of Image Collection
187,script_179626.txt,Function,Clip processed image to specific geometry,Clip Images To Specific Geographic Boundaries
188,script_179626.txt,Function,Calculate normalized difference vegetation index (NDVI),Computes Normalized Difference Vegetation Index (NDVI)
189,script_179626.txt,Function,Select thermal band and scale values,Selects Temperature Data
190,script_179626.txt,Function,Calculate fractional vegetation (FV),Fractional Vegetation Calculation
191,script_179626.txt,Function,Compute emissivity from NDVI,Compute Median Of NDVI
192,script_179626.txt,Function,Calculate land surface temperature using thermal band and emissivity,Derive Land Surface Temperature Using Thermal Properties
193,script_179626.txt,Function,Display results on map with visualization parameters,Visualize The Processed Data
194,script_180257.txt,Function,Filter image collection by date range,Filter Image Collection By Date
195,script_180257.txt,Function,Apply cloud and shadow masking to images,Image Cloud Masking
196,script_180257.txt,Function,Rename spectral bands for clarity,Rename Spectral Bands
197,script_180257.txt,Function,Buffer points to create zones for analysis,Buffering Points To Create Zones For Analysis
198,script_180257.txt,Function,Calculate mean values of spectral bands within zones,Calculate Data For Specific Spectral Bands
199,script_180257.txt,Function,Export zonal statistics to a table,Export Sampled Data
200,script_186294.txt,Function,Filters Sentinel-2 images by date and region,Filter Images By Date And Region
201,script_186294.txt,Function,Masks images based on quality band,Image Masking
202,script_186294.txt,Function,Calculates NDVI from near-infrared and red bands,Add NDVI Band To Images
203,script_186294.txt,Function,Visualizes NDVI results on a map,Visualize NDVI Results
204,script_186294.txt,Function,Exports NDVI image to Google Drive,Export Processed Images To Google Drive
205,script_186319.txt,Function,Filter image collection by date and region,Filter Image Collection By Date And Region
206,script_186319.txt,Function,Sort image collection by start time,Sort Images By Start Time
207,script_186319.txt,Function,Calculate NDVI for images,Compute Median Of NDVI
208,script_186319.txt,Function,Calculate NBR for images,Calculate Normalized Burn Ratio (NBR) For Images
209,script_186319.txt,Function,Select specific bands from images,Select Specific Bands From Images
210,script_186319.txt,Function,Create and export image mosaic,Creates And Exports Image Mosaics
211,script_186319.txt,Function,Export image properties to a CSV file,Export Selected Image
212,script_186319.txt,Function,Export individual images,Export Selected Image
213,script_186320.txt,Function,Filters image collection by date and area,Filter Image Collection By Date And Region
214,script_186320.txt,Function,Sorts images by start time,Sort Images By Start Time
215,script_186320.txt,Function,Calculates NDVI for vegetation analysis,Computes Normalized Difference Vegetation Index (NDVI)
216,script_186320.txt,Function,Calculates NBR for burn severity assessment,Calculate dNBR For Fire Severity
217,script_186320.txt,Function,Generates image mosaics for visualization,Generate Image Composites
218,script_186320.txt,Function,Exports image properties and mosaics to drive,Export Processed Images To Drive
219,script_186321.txt,Function,Filters image collection by date and area,Filter Image Collection By Date And Region
220,script_186321.txt,Function,Calculates normalized difference vegetation index (NDVI),Computes Normalized Difference Vegetation Index (NDVI)
221,script_186321.txt,Function,Calculates normalized burn ratio (NBR),Calculate Normalized Burn Ratio (NBR) For Images
222,script_186321.txt,Function,Exports image properties to a CSV file,Exporting Classified Images
223,script_186321.txt,Function,Creates and exports image mosaics,Creates And Exports Image Mosaics
224,script_186321.txt,Function,Generates visual comparisons of pre- and post-event satellite imagery,Generates Visual Comparisons Of Pre- And Post-Event Images
225,script_186323.txt,Function,Filter image collection by date and area,Filter Image Collection By Date And Region
226,script_186323.txt,Function,Sort image collection by start time,Sort Images By Start Time
227,script_186323.txt,Function,Calculate Normalized Difference Vegetation Index (NDVI),Computes Normalized Difference Vegetation Index (NDVI)
228,script_186323.txt,Function,Calculate Normalized Burn Ratio (NBR),Calculate Normalized Burn Ratio (NBR) For Images
229,script_186323.txt,Function,Create and export image mosaic,Creates And Exports Image Mosaics
230,script_186323.txt,Function,Export image properties to a CSV file,Export Selected Image
231,script_186323.txt,Function,Display images with specific visualization parameters,Visualize Radar Images With Specific Visualization Parameters
232,script_186325.txt,Function,Filter image collection by date and region,Filter Image Collection By Date And Region
233,script_186325.txt,Function,Sort images by start time,Sort Images By Start Time
234,script_186325.txt,Function,Calculate NDVI for each image,Compute Median Of NDVI
235,script_186325.txt,Function,Calculate NBR for each image,Calculate Normalized Burn Ratio (NBR) For Images
236,script_186325.txt,Function,Select specific bands from images,Select Specific Bands From Images
237,script_186325.txt,Function,Generate a mosaic from images,Generate Image Composites
238,script_186325.txt,Function,Export image properties and images,Export Processed Images
239,script_186326.txt,Function,Filter image collection by date and region,Filter Image Collection By Date And Region
240,script_186326.txt,Function,Calculate NDVI and NBR indices,Compute Median Of NDVI
241,script_186326.txt,Function,Create image mosaics,Image Mosaicking
242,script_186326.txt,Function,Export image properties and mosaics,Creates And Exports Image Mosaics
243,script_186326.txt,Function,Visualize changes in forest cover and fire detection,Visualize Changes In Forest Cover Over Time
244,script_186329.txt,Function,Filter image collection by date and cloud cover,Filter Images By Cloud Cover
245,script_186329.txt,Function,Sort image collection by start time,Sort Images By Start Time
246,script_186329.txt,Function,Calculate NDVI for each image,Compute Median Of NDVI
247,script_186329.txt,Function,Calculate NBR for each image,Calculate Normalized Burn Ratio (NBR) For Images
248,script_186329.txt,Function,Select specific bands from images,Select Specific Bands From Images
249,script_186329.txt,Function,Create and export image mosaic,Creates And Exports Image Mosaics
250,script_186329.txt,Function,Export image properties to a CSV file,Export Selected Image
251,script_186329.txt,Function,Export individual images,Export Selected Image
252,script_186332.txt,Function,Clip MODIS images to a specific region,Clip Images To A Specific Region
253,script_186332.txt,Function,Calculate NDVI for vegetation analysis,Computes Normalized Difference Vegetation Index (NDVI)
254,script_186332.txt,Function,Generate time-series NDVI as multiband image,Generate Time Series Charts For NDVI
255,script_186332.txt,Function,Sample multiband image for clustering,Sampling Image
256,script_186332.txt,Function,Cluster image data to classify land use,Cluster Image Data
257,script_186332.txt,Function,Remap cluster results to merge similar classes,Remap Cluster Results To Simplified Classes
258,script_186332.txt,Function,Mask and refine classification based on proximity to sugar mills,Apply Mask To Classification Results
259,script_186332.txt,Function,Create a mosaic of refined classifications,Create Median Composite Of Images
260,script_186333.txt,Function,Filter image collection by date and region,Filter Image Collection By Date And Region
261,script_186333.txt,Function,Calculate NDVI from satellite images,Compute Median Of NDVI
262,script_186333.txt,Function,Generate multiband image from time-series NDVI,Generate Time Series Charts For NDVI
263,script_186333.txt,Function,Sample multiband image for clustering,Sampling Image
264,script_186333.txt,Function,Cluster image data into vegetation types,Cluster Image Data
265,script_186333.txt,Function,Remap cluster results to simplified classes,Remap Cluster Results To Simplified Classes
266,script_186333.txt,Function,Mask and refine classification based on proximity to sugar mills,Apply Mask To Classification Results
267,script_186333.txt,Function,Visualize the classification results on a map,Generate Visualizations And Statistical Charts For Classification Results
268,script_186334.txt,Function,Filter satellite images by date and clip to a specific region.,Filter Images By Date And Region
269,script_186334.txt,Function,Calculate Normalized Difference Vegetation Index (NDVI) for each image.,Computes Normalized Difference Vegetation Index (NDVI)
270,script_186334.txt,Function,Compile a time-series of NDVI into a single multiband image.,Generate Time Series Charts For NDVI
271,script_186334.txt,Function,Sample the multiband image to create a training dataset for clustering.,Sampling Regions For Training Data
272,script_186334.txt,Function,Train a KMeans clusterer on the NDVI data.,Train A Clusterer
273,script_186334.txt,Function,Apply the trained clusterer to classify the multiband image.,Classify Images Based On Trained Model
274,script_186334.txt,Function,Remap cluster results into meaningful vegetation classes.,Remap Cluster Results To Simplified Classes
275,script_186334.txt,Function,Refine classification by proximity to sugar mills and merge results.,Refine Detection Results
276,script_186334.txt,Function,Visualize the classification results on a map.,Generate Visualizations And Statistical Charts For Classification Results
277,script_186338.txt,Function,Calculates terrain aspect and slope from DEM data,Terrain Slope Calculation
278,script_186338.txt,Function,Filters images based on slope and satellite pass direction,Filter Images by wind conditions
279,script_186338.txt,Function,Models seasonal variations in backscatter signals,Seasonal Filtering
280,script_186338.txt,Function,Removes seasonal backscatter signal components,Seasonal Filtering
281,script_186338.txt,Function,Fits linear regression to detect trends in time series data,Detect Trends In Time Series Data
282,script_186338.txt,Function,Fits step functions to identify abrupt changes,Change Detection
283,script_186338.txt,Function,Identifies spikes in backscatter data over time,Detect Trends In Time Series Data
284,script_186356.txt,Function,"Filter image collection by polarization, pass, mode, date, and region",Filter Image Collection By Date And Region
285,script_186356.txt,Function,Apply speckle noise reduction to radar images,Radar Image Noise Reduction
286,script_186356.txt,Function,Generate image composites and calculate ratios and differences,Generate Image Composites
287,script_186356.txt,Function,Sample image properties for classification training,Feature Sampling For Training
288,script_186356.txt,Function,Train a classifier and classify images based on land cover,Training And Sampling For Land Cover Classification
289,script_186356.txt,Function,Visualize classified images with specific color palettes,Visualize Data With Specific Color Palettes
290,script_186365.txt,Function,Filters image collection by location and date,Filter Image Collection By Date And Region
291,script_186365.txt,Function,Sorts images by cloud cover and selects the first,Sort Image Collections By Cloud Cover
292,script_186365.txt,Function,Calculates normalized difference for indices,Calculate Normalized Difference And Other Indices
293,script_186365.txt,Function,Applies mathematical expression for index calculation,Image Index Calculation
294,script_186365.txt,Function,Performs matrix multiplication for transformation,Performs Linear Interpolation
295,script_186365.txt,Function,Reduces region to calculate mean values,Calculates Median Values
296,script_186365.txt,Function,Solves matrix equation for spectral unmixing,Spectral Unmixing
297,script_186365.txt,Function,Converts RGB to HSV and back to RGB,Create RGB Composite Image
298,script_186378.txt,Function,Filter image collections by date and area,Filter Image Collection By Date And Region
299,script_186378.txt,Function,Calculate normalized difference vegetation index (NDVI),Computes Normalized Difference Vegetation Index (NDVI)
300,script_186378.txt,Function,Add time bands to images,Add Date Bands To Images
301,script_186378.txt,Function,Join image collections based on time proximity,Filter Image Collection By Time
302,script_186378.txt,Function,Reduce image data to regional statistics,Reduction Of Image Regions
303,script_186380.txt,Function,Buffer survey points by 200 meters,Buffering Points For Sample Expansion
304,script_186380.txt,Function,Clip satellite images to buffered survey areas,Clip Images To A Specific Region
305,script_186380.txt,Function,Filter image collections by date and location,Filter Image Collection By Date And Region
306,script_186380.txt,Function,Mask clouds using quality assessment bands,Quality Masking
307,script_186380.txt,Function,Calculate normalized difference vegetation index (NDVI),Computes Normalized Difference Vegetation Index (NDVI)
308,script_186380.txt,Function,Calculate normalized difference water body index (NDWBI),Calculate Normalized Difference Water Body Index (NDWBI)
309,script_186380.txt,Function,Calculate normalized difference water index (NDWI),Calculates Normalized Difference Water Index (NDWI)
310,script_186380.txt,Function,Add time as a band to images for temporal analysis,Add Date Bands To Images
311,script_186380.txt,Function,Reduce image collections to mean values around survey points,Reduce Image Collection To Minimum Value
312,script_186380.txt,Function,Generate monthly averages of spectral indices,Creating Monthly Composite
313,script_186411.txt,Function,Composite satellite images to reduce cloud impacts,Create Image Composites To Minimize Cloud Cover
314,script_186411.txt,Function,Classify land cover types using random forest,Random Forest Classification
315,script_186411.txt,Function,Detect changes by comparing pre and post-event images,Generates Visual Comparisons Of Pre- And Post-Event Images
316,script_186411.txt,Function,Calculate Normalized Burn Ratio to assess fire damage,Calculate Normalized Burn Ratio (NBR) For Images
317,script_186411.txt,Function,Perform error matrix analysis for accuracy assessment,Accuracy Assessment
318,script_186411.txt,Function,Compute spectral differences to identify changes,Performs Image Differencing To Compare Changes
319,script_186418.txt,Function,Filters image collections by date and spatial bounds,Filter Image Collection By Date And Boundaries
320,script_186418.txt,Function,Calculates calibrated radiance for thermal bands,Radiance calculation
321,script_186418.txt,Function,Applies cloud scoring and selects specific bands,Select Specific Bands From Images
322,script_186418.txt,Function,Maps NCEP atmospheric data to surface reflectance images,Surface Reflectance Correction
323,script_186418.txt,Function,Joins two Landsat collections based on acquisition time,"Merge, Harmonize, And Standardize Landsat Image Collections"
324,script_186418.txt,Function,Calculates NDVI and adds it as a band,Add NDVI Band To Images
325,script_186418.txt,Function,Computes emissivity based on NDVI,Emissivity Calculation
326,script_186418.txt,Function,Calculates surface temperature from radiance and brightness temperature,Brightness Temperature Calculation
327,script_186442.txt,Function,Calculate mean surface temperature from MODIS data.,Surface Temperature Calculation
328,script_186442.txt,Function,Filter and mask NDVI data for quality.,Addition Of NDVI
329,script_186442.txt,Function,Compute NMDI using MODIS reflectance bands.,Compute Median Of NDVI
330,script_186442.txt,Function,Extract maximum BAI index from MODIS data.,Compute Maximum Values
331,script_186442.txt,Function,Classify image stack using multiple classifiers.,Stacking Multiple Images
332,script_186442.txt,Function,Create a mosaic of environmental layers for analysis.,Image Mosaicking
333,script_186449.txt,Function,Merge multiple land cover features into a single collection,Merge Different Land Cover Feature Collections
334,script_186449.txt,Function,Display an image layer on the map,Layer Addition To Map
335,script_186449.txt,Function,Set map center and zoom level,Layer Addition To Map
336,script_186449.txt,Function,Sample image regions based on land cover features,Mapping Land Cover
337,script_186449.txt,Function,Generate and display a scatter plot of NIR vs SWIR bands,Generate And Display A Scatter Plot
338,script_186466.txt,Function,Filter image collection by polarization and date,Filter Image Collection By Date
339,script_186466.txt,Function,Create composite images from different angles,Generate Image Composites
340,script_186466.txt,Function,Export image properties and images,Export Processed Images
