Relation_ID,Script_ID,Head_Entity,Relation_Type,Tail_Entity,Head_Entity_update,Tail_Entity_update
37,script_110133.txt,COPERNICUS/S1_GRD,Be_Acted_On,Export flood extent as raster and vector data,"Sentinel-1 SAR GRD: C-band Synthetic Aperture Radar Ground Range Detected, log scaling",Export Flood Extent
38,script_110133.txt,JRC/GSW1_0/GlobalSurfaceWater,Be_Acted_On,Mask permanent water bodies and refine flood extent,"JRC Global Surface Water Mapping Layers, v1.4",Mask Areas To Refine Flood Detection
39,script_110133.txt,WWF/HydroSHEDS/03VFDEM,Be_Acted_On,Exclude areas with steep slopes from flood results,"WWF HydroSHEDS Void-Filled DEM, 3 Arc-Seconds",Flood Area Calculation
40,script_110133.txt,JRC/GHSL/P2016/POP_GPW_GLOBE_V1/2015,Be_Acted_On,Estimate population exposed to flooding,"GHSL: Global Human Settlement Layers, Built-Up Grid 1975-1990-2000-2015 (P2016)",Estimate Population Affected By Flood
41,script_110133.txt,users/felixgeooperations/Drin/20210112_Drin_flood,Be_Acted_On,Calculate total flood extent area in hectares,users/felixgeooperations/Drin/,Calculates Total Flooded Area In Hectares
42,script_115907.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Filter image collections by date and region,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Image Collection By Date And Region
43,script_115907.txt,COPERNICUS/S2_SR,Be_Acted_On,Filter image collections by date and region,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Image Collection By Date And Region
44,script_115907.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Apply cloud masking to images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Image Cloud Masking
45,script_115907.txt,COPERNICUS/S2_SR,Be_Acted_On,Apply cloud masking to images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Cloud Masking
46,script_115907.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Calculate NDVI and add as a band to images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Add NDVI Band To Images
47,script_115907.txt,COPERNICUS/S2_SR,Be_Acted_On,Calculate NDVI and add as a band to images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Add NDVI Band To Images
48,script_115907.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Create time variable from image metadata,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Add Date Information To Images
49,script_115907.txt,COPERNICUS/S2_SR,Be_Acted_On,Create time variable from image metadata,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Add Date Information To Images
50,script_115907.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Generate time series charts of NDVI for analysis,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Generate Time Series Charts For NDVI
51,script_115907.txt,COPERNICUS/S2_SR,Be_Acted_On,Generate time series charts of NDVI for analysis,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Generate Time Series Charts For NDVI
52,script_115907.txt,users/nicolasalejandromari/Sitios_NDVI_Tessi,Be_Acted_On,Map visualization of feature collections,users/nicolasalejandromari/,Map Visualization Of Feature Collection
53,script_115907.txt,users/franciscoalaggia/Transectas,Be_Acted_On,Map visualization of feature collections,users/franciscoalaggia/,Map Visualization Of Feature Collection
54,script_118175.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Filter image collections by date and cloud cover,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Filter Images By Cloud Cover
55,script_118175.txt,LANDSAT/LC08/C02/T1_L2,Be_Acted_On,Filter image collections by date and cloud cover,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Filter Images By Cloud Cover
56,script_118175.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Apply scale factors to correct satellite imagery,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image
57,script_118175.txt,LANDSAT/LC08/C02/T1_L2,Be_Acted_On,Apply scale factors to correct satellite imagery,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Apply Scale Factors To Image
58,script_118175.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Merge image collections and sort by acquisition date,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Merge And Sort Image Collections
59,script_118175.txt,LANDSAT/LC08/C02/T1_L2,Be_Acted_On,Merge image collections and sort by acquisition date,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Merge And Sort Image Collections
60,script_118175.txt,LANDSAT/LC09/C02/T1_L2,Be_Acted_On,Visualize processed images on a map,"USGS Landsat 9 Level 2, Collection 2, Tier 1",Visualize The Processed Data
61,script_118175.txt,LANDSAT/LC08/C02/T1_L2,Be_Acted_On,Visualize processed images on a map,"USGS Landsat 8 Level 2, Collection 2, Tier 1",Visualize The Processed Data
62,script_118175.txt,COPERNICUS/S2_SR,Be_Acted_On,Filter image collections by date and cloud cover,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Images By Cloud Cover
63,script_118175.txt,COPERNICUS/S2_SR,Be_Acted_On,Mask clouds and calculate spectral indices,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Add Cloud Probability And Mask As Image Bands
64,script_118175.txt,COPERNICUS/S2_SR,Be_Acted_On,Perform spatial joins and mosaicking of images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Mosaicking
65,script_118175.txt,COPERNICUS/S2_SR,Be_Acted_On,Visualize processed images on a map,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Visualize The Processed Data
66,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Calculate normalized burn ratio before the fire,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Difference Normalized Burn Ratio (dNBR)
67,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Compute difference between pre and post-fire NBR,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Compute Difference Between Pre- And Post-Fire NBR
68,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Stack post-fire NBR and difference NBR into a new dataset,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate NBR for Post-Fire Image
69,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Sample the stacked image for training data,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Feature Sampling For Training
70,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Train a clustering model to classify fire severity,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Classify And Visualize Burn Severity
71,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Generate statistics and histograms for each cluster,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Generate Histograms For Image Data Analysis
72,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Apply a mode filter to classify data using neighborhood analysis,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter And Classify
73,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Reclassify binary fire/no-fire data,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Classify Images Based On Pre And Post Fire Data
74,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200720T110619_20200720T111156_T29SPB,Be_Acted_On,Multiply binary classification by severity classification to refine results,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Severity Classification
75,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Calculate normalized burn ratio after the fire,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate NBR for Post-Fire Image
76,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Compute difference between pre and post-fire NBR,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Compute Difference Between Pre- And Post-Fire NBR
77,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Stack post-fire NBR and difference NBR into a new dataset,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate NBR for Post-Fire Image
78,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Sample the stacked image for training data,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Feature Sampling For Training
79,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Train a clustering model to classify fire severity,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Classify And Visualize Burn Severity
80,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Generate statistics and histograms for each cluster,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Generate Histograms For Image Data Analysis
81,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Apply a mode filter to classify data using neighborhood analysis,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter And Classify
82,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Reclassify binary fire/no-fire data,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Classify Images Based On Pre And Post Fire Data
83,script_119133.txt,COPERNICUS/S2_SR_HARMONIZED/20200908T110619_20200908T111404_T29SPB,Be_Acted_On,Multiply binary classification by severity classification to refine results,"Harmonized Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Severity Classification
84,script_11983.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Filters image collection by geographic bounds,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Image Collection By Bounds
85,script_11983.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Masks clouds and shadows in satellite images,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Cloud And Shade Masking
86,script_11983.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Calculates median of images annually,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Calculates Median Of Image Collection
87,script_11983.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Computes NDVI for each image,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Creates Animation Of NDVI Over Time
88,script_11983.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Generates time-series charts for specific points,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Generate Time Series Charts
89,script_11983.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Creates GIF animation of NDVI over time,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Creates Animation Of NDVI Over Time
90,script_11983.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Performs image differencing to compare changes,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Performs Image Differencing To Compare Changes
91,script_11983.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Calculates anomalies using standard deviation,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Anomaly Calculation
92,script_120271.txt,COPERNICUS/S2_SR,Be_Acted_On,Filter image collection by date and cloud coverage,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Image Collection By Cloud Coverage
93,script_120271.txt,COPERNICUS/S2_SR,Be_Acted_On,Calculate NDVI for each image in the collection,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculate Statistical Indicators Of Image Collection
94,script_120271.txt,COPERNICUS/S2_SR,Be_Acted_On,Compute median of NDVI values across images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Compute Median Of NDVI
95,script_120271.txt,COPERNICUS/S2_SR,Be_Acted_On,Clip the median NDVI image to a specific area,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Clip Images To A Specific Region
96,script_120271.txt,COPERNICUS/S2_SR,Be_Acted_On,Calculate percentile values for NDVI visualization,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Visualize NDVI Results
97,script_120271.txt,COPERNICUS/S2_SR,Be_Acted_On,Draw a gradient bar for NDVI visualization,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Visualize NDVI Results
98,script_120271.txt,COPERNICUS/S2_SR,Be_Acted_On,Draw a frame around the map area,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Create A Thematic Map
99,script_120271.txt,COPERNICUS/S2_SR,Be_Acted_On,Draw a scalebar on the map,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Layer Addition To Map
100,script_120557.txt,TIGER/2016/States,Be_Acted_On,Select specific geographic region by name,TIGER: US Census States 2016,Filter Images By Region
101,script_120557.txt,TIGER/2016/States,Be_Acted_On,Filter image collection by geographic bounds,TIGER: US Census States 2016,Filter Image Collection By Bounds
102,script_120557.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Filter image collection by geographic bounds,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Image Collection By Bounds
103,script_120557.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Filter image collection by date range,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Filter Image Collection By Date
104,script_120557.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Extract specific quality bits from image,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Select Specific Bands From Images
105,script_120557.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Mask images based on cloud and shadow detection,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Cloud And Shade Masking
106,script_120557.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Calculate indices and classify pixels into water and vegetation,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Water Indices/Index Calculation
107,script_120557.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Aggregate classified images to calculate frequency,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Aggregate Multiple Images
108,script_120557.txt,LANDSAT/LC08/C01/T1_SR,Be_Acted_On,Display results on a map with visualization parameters,USGS Landsat 8 Collection 2 Tier 1 and Real-Time data Raw Scenes,Visualize The Processed Data
109,script_125294.txt,LANDSAT/LT05/C01/T1_SR,Be_Acted_On,Filter image collection by date and cloud cover,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Filter Images By Cloud Cover
110,script_125294.txt,LANDSAT/LT05/C01/T1_SR,Be_Acted_On,Apply cloud and edge pixel masking to images,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Image Cloud Masking
111,script_125294.txt,LANDSAT/LT05/C01/T1_SR,Be_Acted_On,Reduce image collection to statistical percentiles,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Reduce Image Collection To Minimum Value
112,script_125294.txt,LANDSAT/LT05/C01/T1_SR,Be_Acted_On,Clip the statistical composites to a specific region,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Clip Images To A Specific Region
113,script_125294.txt,LANDSAT/LT05/C01/T1_SR,Be_Acted_On,Visualize different statistical layers on a map,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Visualize Data Layers
114,script_125294.txt,LANDSAT/LT05/C01/T1_SR,Be_Acted_On,Link multiple map views for synchronized browsing,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Link Maps For Synchronized Viewing
115,script_125294.txt,LANDSAT/LT05/C01/T1_SR,Be_Acted_On,Export selected image composites to Google Drive,USGS Landsat 5 TM Collection 2 Tier 1 Raw Scenes,Export Processed Images To Google Drive
116,script_125294.txt,users/GeoForPy/Tesis/EcorregionAltoParana,Be_Acted_On,Filter image collection by date and cloud cover,users/GeoForPy/Tesis/,Filter Images By Cloud Cover
117,script_125294.txt,users/GeoForPy/Tesis/EcorregionAltoParana,Be_Acted_On,Clip the statistical composites to a specific region,users/GeoForPy/Tesis/,Clip Images To A Specific Region
118,script_131942.txt,COPERNICUS/S2_SR,Be_Acted_On,Filter satellite images by date and cloud percentage,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Images By Date
119,script_131942.txt,COPERNICUS/S2_SR,Be_Acted_On,Mask clouds and cirrus from satellite images,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Cloud Masking
120,script_131942.txt,COPERNICUS/S2_SR,Be_Acted_On,Clip images to a specific study area,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Clip Images To A Specific Region
121,script_131942.txt,COPERNICUS/S2_SR,Be_Acted_On,Classify images based on training data,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Classify Images Based On Training Data
122,script_131942.txt,COPERNICUS/S2_SR,Be_Acted_On,Assess classification accuracy with a confusion matrix,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Evaluate Classifier Performance Using Confusion Matrix
123,script_131942.txt,COPERNICUS/S2_SR,Be_Acted_On,Reproject classified image to a specific coordinate system,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Image Reprojection
124,script_131942.txt,COPERNICUS/S2_SR,Be_Acted_On,Convert classified raster to vector format,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Convert Raster To Vector
125,script_131942.txt,COPERNICUS/S2_SR,Be_Acted_On,Export images to drive in GeoTIFF format,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Export Processed Images To Drive
126,script_144864.txt,users/thao226355/share/VietNam_Ranh_gioi_tinh,Be_Acted_On,Extracts and displays a specific regional boundary,users/thao226355/share/,Boundary Extraction
127,script_144864.txt,users/thao226355/share/VietNam_Ranh_gioi_tinh,Be_Acted_On,Clips composite image to the specified boundary,users/thao226355/share/,Clip Images To Specific Geographic Boundaries
128,script_144864.txt,COPERNICUS/S2_SR,Be_Acted_On,Filters images by cloud and cirrus coverage,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Images By Cloud Cover
129,script_144864.txt,COPERNICUS/S2_SR,Be_Acted_On,Collects satellite images within date and cloud cover limits,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Filter Image Collection By Date And Boundaries
130,script_144864.txt,COPERNICUS/S2_SR,Be_Acted_On,Applies cloud filtering and computes median composite,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Create Median Composite Of Images
131,script_144864.txt,COPERNICUS/S2_SR,Be_Acted_On,Calculates NDVI and classifies it into predefined categories,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Compute Median Of NDVI
132,script_144864.txt,COPERNICUS/S2_SR,Be_Acted_On,Calculates and displays area for each land cover category,"Sentinel-2 MSI: MultiSpectral Instrument, Level-2A",Calculates And Displays Area For Each Land Cover Category
133,script_146128.txt,COPERNICUS/S2,Be_Acted_On,Filter satellite images by date and location,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Filter Images By Date And Region
134,script_146128.txt,COPERNICUS/S2,Be_Acted_On,Sort images by cloud cover,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Sort Image Collections By Cloud Cover
135,script_146128.txt,COPERNICUS/S2,Be_Acted_On,Merge different land cover feature collections,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Merge Different Land Cover Feature Collections
136,script_146128.txt,COPERNICUS/S2,Be_Acted_On,Sample pixel values for classifier training,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Sampling Regions For Classifier Training
137,script_146128.txt,COPERNICUS/S2,Be_Acted_On,Train a decision tree classifier,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Train And Apply Random Forest Classifier
138,script_146128.txt,COPERNICUS/S2,Be_Acted_On,Classify satellite images based on trained model,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Classify Images Based On Trained Model
139,script_146128.txt,COPERNICUS/S2,Be_Acted_On,Display classified image on map,"Sentinel-2 MSI: MultiSpectral Instrument, Level-1C",Display Classified Image and Indices
